uei,psc,desc,dollars
WYDAKCJ5K219,4320,POWER AND HAND PUMPS,378344585.14
N1PJDANWUJ61,1325,BOMBS,355371463.51
N1PJDANWUJ61,1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS,355371463.51
N1PJDANWUJ61,1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS",355371463.51
N1PJDANWUJ61,1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS",355371463.51
N1PJDANWUJ61,1410,GUIDED MISSILES,355371463.51
N1PJDANWUJ61,1420,GUIDED MISSILE COMPONENTS,355371463.51
N1PJDANWUJ61,1550,UNMANNED AIRCRAFT,355371463.51
N1PJDANWUJ61,1560,AIRFRAME STRUCTURAL COMPONENTS,355371463.51
N1PJDANWUJ61,1610,AIRCRAFT PROPELLERS AND COMPONENTS,355371463.51
N1PJDANWUJ61,1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",355371463.51
N1PJDANWUJ61,1620,AIRCRAFT LANDING GEAR COMPONENTS,355371463.51
N1PJDANWUJ61,1675,SPACE VEHICLE COMPONENTS,355371463.51
N1PJDANWUJ61,1710,AIRCRAFT LANDING EQUIPMENT,355371463.51
N1PJDANWUJ61,1725,SPACE VEHICLE LAUNCHERS,355371463.51
N1PJDANWUJ61,2010,SHIP AND BOAT PROPULSION COMPONENTS,355371463.51
N1PJDANWUJ61,2040,MARINE HARDWARE AND HULL ITEMS,355371463.51
N1PJDANWUJ61,2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED",355371463.51
N1PJDANWUJ61,2355,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED",355371463.51
N1PJDANWUJ61,2845,ROCKET ENGINES AND COMPONENTS,355371463.51
N1PJDANWUJ61,3446,FORGING MACHINERY AND HAMMERS,355371463.51
N1PJDANWUJ61,3605,FOOD PRODUCTS MACHINERY AND EQUIPMENT,355371463.51
N1PJDANWUJ61,3615,PULP AND PAPER INDUSTRIES MACHINERY,355371463.51
N1PJDANWUJ61,3660,INDUSTRIAL SIZE REDUCTION MACHINERY,355371463.51
N1PJDANWUJ61,3670,"SPECIALIZED SEMICONDUCTOR, MICROCIRCUIT, AND PRINTED CIRCUIT BOARD MANUFACTURING MACHINERY",355371463.51
N1PJDANWUJ61,3693,INDUSTRIAL ASSEMBLY MACHINES,355371463.51
N1PJDANWUJ61,3805,EARTH MOVING AND EXCAVATING EQUIPMENT,355371463.51
N1PJDANWUJ61,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",355371463.51
N1PJDANWUJ61,3835,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT,355371463.51
N1PJDANWUJ61,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,355371463.51
N1PJDANWUJ61,4470,NUCLEAR REACTORS,355371463.51
