piid,builder,sub_report_id,sub_date,fy,amount_usd,vendor_uei,parent_uei,vendor_name,raw_description,code,swbs_group,hull,component_text,n_component_words
N0002411C2307,HII-Ingalls,20684461,2014-05-06,2014,33600.0,E383LRP25MY6,,YOUNG ENGINEERING COMPANY INC.,08013-09,08013-09,,,,0
N0002411C2307,HII-Ingalls,20684460,2016-08-03,2016,342876.37,J3AFGKXWYK73,Z2N8C3NL8FW5,YORK INTERNATIONAL CORPORATION,OSI DDG114 FMR 159 COSAL,,,DDG114,OSI,1
N0002411C2307,HII-Ingalls,20684459,2017-03-09,2017,54932.0,J3AFGKXWYK73,Z2N8C3NL8FW5,YORK INTERNATIONAL CORPORATION,VSR NO.SA13968,,,,VSR,1
N0002411C2307,HII-Ingalls,20684458,2016-10-27,2017,53950.0,J3AFGKXWYK73,Z2N8C3NL8FW5,YORK INTERNATIONAL CORPORATION,VSR NO.SA14249,,,,VSR,1
N0002411C2307,HII-Ingalls,20684457,2016-03-01,2016,27850.0,J3AFGKXWYK73,Z2N8C3NL8FW5,YORK INTERNATIONAL CORPORATION,VSR NO.SA6756,,,,VSR,1
N0002411C2307,HII-Ingalls,20684456,2017-05-04,2017,91762.56,J6DMEL935CD1,J6DMEL935CD1,XYLEM INC.,BACK FIT CHANNEL,,,,BACK FIT CHANNEL,3
N0002411C2307,HII-Ingalls,20684455,2013-11-26,2014,25440.0,ZSJFXM833NA3,JB4NTVR9XMN4,Xerox Corporation,01056-09 (M1KJ-FE00-13),01056-09,,,,0
N0002411C2307,HII-Ingalls,20684454,2017-12-19,2018,166365.0,HMBSX7Z72UK4,JQTLH33SXNQ7,"WESTLAND TECHNOLOGIES, INC.",TILE HALF ROUND,,,,TILE HALF ROUND,3
N0002411C2307,HII-Ingalls,20684453,2014-01-27,2014,155357.5,HMBSX7Z72UK4,,"WESTLAND TECHNOLOGIES, INC.",05140-03,05140-03,,,,0
N0002411C2307,HII-Ingalls,20684452,2013-05-09,2013,106047.99,HMBSX7Z72UK4,,"WESTLAND TECHNOLOGIES, INC.",05149-01,05149-01,,,,0
N0002411C2307,HII-Ingalls,20684451,2017-04-05,2017,25852.81,LQP7LJVDX6M6,LU7KP9UJJ5L7,"WESCO DISTRIBUTION, INC.",LDD 5314-013,,,,,0
N0002411C2307,HII-Ingalls,20684450,2015-02-23,2015,74880.0,NGE4ALP2M661,,"WEAVER SUPPLY COMPANY, LLC",TRACK FACE DUAL DOUBLE(DDG114),,,DDG114,TRACK FACE DUAL DOUBLE,4
N0002411C2307,HII-Ingalls,20684449,2013-11-19,2014,33100.0,NGE4ALP2M661,,"WEAVER SUPPLY COMPANY, LLC",01050-01 HACKSAW,01050-01,,,HACKSAW,1
N0002411C2307,HII-Ingalls,20684448,2015-06-09,2015,34727.0,JA2KCX21NL48,GCWKULHML2S3,"WARTSILA DEFENSE, INC.",VSR NO. SA6721,,,,VSR,1
