primary_naics_6,desc,vendors,dollars_$M,pct_dollars
335312,Motor and Generator Manufacturing,6,2160.5,16.48
(no_primary_naics6),,429,1638.67,12.5
336611,Ship Building and Repairing,43,1203.02,9.18
335311,"Power, Distribution, and Specialty Transformer Manufacturing",11,579.98,4.42
332911,Industrial Valve Manufacturing,21,545.29,4.16
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",10,520.81,3.97
332111,Iron and Steel Forging,7,467.1,3.56
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,6,394.57,3.01
332312,Fabricated Structural Metal Manufacturing,17,357.01,2.72
336412,Aircraft Engine and Engine Parts Manufacturing,6,349.83,2.67
332410,Power Boiler and Heat Exchanger Manufacturing,6,339.52,2.59
332313,Plate Work Manufacturing,6,334.62,2.55
335313,Switchgear and Switchboard Apparatus Manufacturing,7,226.6,1.73
332710,Machine Shops,31,220.07,1.68
325212,Synthetic Rubber Manufacturing,1,218.32,1.67
332912,Fluid Power Valve and Hose Fitting Manufacturing,12,202.04,1.54
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",3,173.06,1.32
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",14,153.56,1.17
332996,Fabricated Pipe and Pipe Fitting Manufacturing,9,133.49,1.02
326291,Rubber Product Manufacturing for Mechanical Use,6,128.45,0.98
334417,Electronic Connector Manufacturing,9,118.69,0.91
339999,All Other Miscellaneous Manufacturing,11,110.29,0.84
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,10,107.73,0.82
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",1,100.78,0.77
334419,Other Electronic Component Manufacturing,9,98.78,0.75
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,11,97.44,0.74
332420,Metal Tank (Heavy Gauge) Manufacturing,5,93.01,0.71
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",2,86.98,0.66
331513,Steel Foundries (except Investment),8,82.57,0.63
332919,Other Metal Valve and Pipe Fitting Manufacturing,6,79.43,0.61
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,16,79.31,0.6
333995,Fluid Power Cylinder and Actuator Manufacturing,5,76.18,0.58
541330,Engineering Services,30,71.14,0.54
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",19,70.6,0.54
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",2,65.59,0.5
333310,Commercial and Service Industry Machinery Manufacturing,4,61.05,0.47
333912,Air and Gas Compressor Manufacturing,3,60.42,0.46
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",10,58.59,0.45
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,6,56.49,0.43
333611,Turbine and Turbine Generator Set Units Manufacturing,5,54.78,0.42
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7,41.73,0.32
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,9,41.13,0.31
333613,Mechanical Power Transmission Equipment Manufacturing,4,40.66,0.31
541611,Administrative Management and General Management Consulting Services,4,38.93,0.3
238210,Electrical Contractors and Other Wiring Installation Contractors,4,37.68,0.29
332991,Ball and Roller Bearing Manufacturing,4,35.41,0.27
334290,Other Communications Equipment Manufacturing,4,34.87,0.27
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",12,34.58,0.26
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,13,33.6,0.26
423830,Industrial Machinery and Equipment Merchant Wholesalers,13,32.13,0.25
541613,Marketing Consulting Services,1,31.57,0.24
488510,Freight Transportation Arrangement,1,30.22,0.23
334111,Electronic Computer Manufacturing,16,29.21,0.22
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,2,28.36,0.22
331529,Other Nonferrous Metal Foundries (except Die-Casting),6,28.11,0.21
332322,Sheet Metal Work Manufacturing,6,27.5,0.21
513210,Software Publishers,6,27.42,0.21
333120,Construction Machinery Manufacturing,1,23.64,0.18
332323,Ornamental and Architectural Metal Work Manufacturing,2,23.49,0.18
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,6,20.19,0.15
333517,Machine Tool Manufacturing,6,19.3,0.15
236210,Industrial Building Construction,6,19.22,0.15
335929,Other Communication and Energy Wire Manufacturing,4,17.96,0.14
325991,Custom Compounding of Purchased Resins,2,15.82,0.12
424710,Petroleum Bulk Stations and Terminals,1,15.59,0.12
541519,Other Computer Related Services,6,15.36,0.12
334519,Other Measuring and Controlling Device Manufacturing,8,15.2,0.12
423690,Other Electronic Parts and Equipment Merchant Wholesalers,7,14.64,0.11
333992,Welding and Soldering Equipment Manufacturing,3,14.33,0.11
236220,Commercial and Institutional Building Construction,7,14.2,0.11
331420,"Copper Rolling, Drawing, Extruding, and Alloying",3,13.56,0.1
561320,Temporary Help Services,6,13.52,0.1
332721,Precision Turned Product Manufacturing,4,13.5,0.1
423840,Industrial Supplies Merchant Wholesalers,13,13.28,0.1
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,2,13.2,0.1
541512,Computer Systems Design Services,3,13.15,0.1
238320,Painting and Wall Covering Contractors,2,11.5,0.09
332112,Nonferrous Forging,2,10.53,0.08
332321,Metal Window and Door Manufacturing,2,10.25,0.08
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",3,9.83,0.07
483113,Coastal and Great Lakes Freight Transportation,1,9.82,0.07
336612,Boat Building,2,9.79,0.07
238290,Other Building Equipment Contractors,1,9.69,0.07
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,1,8.84,0.07
423510,Metal Service Centers and Other Metal Merchant Wholesalers,5,8.34,0.06
484121,"General Freight Trucking, Long-Distance, Truckload",1,8.14,0.06
611430,Professional and Management Development Training,1,7.18,0.05
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,5,6.83,0.05
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,9,6.24,0.05
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,2,6.2,0.05
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,5,5.71,0.04
551112,Offices of Other Holding Companies,1,5.23,0.04
335314,Relay and Industrial Control Manufacturing,3,5.14,0.04
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",3,5.1,0.04
325520,Adhesive Manufacturing,3,4.97,0.04
561910,Packaging and Labeling Services,1,4.44,0.03
335931,Current-Carrying Wiring Device Manufacturing,3,4.41,0.03
335910,Battery Manufacturing,1,4.36,0.03
339113,Surgical Appliance and Supplies Manufacturing,2,4.35,0.03
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,4,4.14,0.03
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",6,3.69,0.03
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3,3.67,0.03
332216,Saw Blade and Handtool Manufacturing,1,3.25,0.02
425120,Wholesale Trade Agents and Brokers,1,2.83,0.02
332510,Hardware Manufacturing,3,2.79,0.02
423710,Hardware Merchant Wholesalers,2,2.78,0.02
331110,Iron and Steel Mills and Ferroalloy Manufacturing,2,2.69,0.02
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",2,2.66,0.02
322211,Corrugated and Solid Fiber Box Manufacturing,1,2.59,0.02
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,2,2.53,0.02
221310,Water Supply and Irrigation Systems,3,2.51,0.02
333248,All Other Industrial Machinery Manufacturing,2,2.5,0.02
336414,Guided Missile and Space Vehicle Manufacturing,1,2.24,0.02
541511,Custom Computer Programming Services,3,2.02,0.02
562910,Remediation Services,2,1.9,0.01
561612,Security Guards and Patrol Services,2,1.88,0.01
541380,Testing Laboratories and Services,4,1.87,0.01
337127,Institutional Furniture Manufacturing,1,1.74,0.01
325211,Plastics Material and Resin Manufacturing,1,1.64,0.01
332613,Spring Manufacturing,1,1.52,0.01
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,1,1.45,0.01
923110,Administration of Education Programs,1,1.25,0.01
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",3,1.16,0.01
334516,Analytical Laboratory Instrument Manufacturing,1,1.13,0.01
561990,All Other Support Services,1,1.01,0.01
336411,Aircraft Manufacturing,1,1.0,0.01
238990,All Other Specialty Trade Contractors,3,0.94,0.01
541614,"Process, Physical Distribution, and Logistics Consulting Services",1,0.94,0.01
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,1,0.94,0.01
326199,All Other Plastics Product Manufacturing,3,0.91,0.01
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",1,0.89,0.01
237990,Other Heavy and Civil Engineering Construction,1,0.83,0.01
541990,"All Other Professional, Scientific, and Technical Services",1,0.81,0.01
424690,Other Chemical and Allied Products Merchant Wholesalers,2,0.8,0.01
331524,Aluminum Foundries (except Die-Casting),2,0.8,0.01
334412,Bare Printed Circuit Board Manufacturing,1,0.7,0.01
