naics6,desc,assigned_cat,assigned_cat_name,gradable,hii_records,hii_dollars_$M,modal_swbs1,modal_swbs1_name,modal_swbs1_share,modal_swbs3,modal_swbs3_share,swbs1_entropy_bits,category_swbs_agreement,swbs_implied_cat,swbs_implied_cat_name,mismatch
(no_primary),,99,Unresolved capability / insufficient evidence,process_not_swbs_gradable,74,465.568,3,Electric Plant,0.598,310,0.559,1.304,,01,"Electrical power equipment, conversion & distribution",
336412,Aircraft Engine and Engine Parts Manufacturing,02,"Propulsion, engines & mechanical power transmission",system,20,339.112,2,Propulsion Plant,0.979,234,0.979,0.148,0.979,02,"Propulsion, engines & mechanical power transmission",
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,04,"Thermal management, HVAC & air handling",system,122,223.009,5,Auxiliary Systems,0.967,516,0.69,0.209,0.764,04,"Thermal management, HVAC & air handling",
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",02,"Propulsion, engines & mechanical power transmission",system,4,168.908,2,Propulsion Plant,1.0,241,1.0,-0.0,1.0,02,"Propulsion, engines & mechanical power transmission",
335311,"Power, Distribution, and Specialty Transformer Manufacturing",01,"Electrical power equipment, conversion & distribution",system,103,132.461,3,Electric Plant,1.0,324,0.934,-0.0,1.0,01,"Electrical power equipment, conversion & distribution",
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",10,"Sensors, instrumentation, controls & communications",system_home_not_observable,23,96.08,5,Auxiliary Systems,0.98,561,0.98,0.143,,03,"Fluid systems, flow control & piping",
335313,Switchgear and Switchboard Apparatus Manufacturing,01,"Electrical power equipment, conversion & distribution",system,35,89.842,3,Electric Plant,1.0,324,0.758,-0.0,1.0,01,"Electrical power equipment, conversion & distribution",
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,99,Unresolved capability / insufficient evidence,process_not_swbs_gradable,94,46.052,3,Electric Plant,1.0,314,0.784,-0.0,,01,"Electrical power equipment, conversion & distribution",
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",03,"Fluid systems, flow control & piping",system,74,37.813,5,Auxiliary Systems,0.778,503,0.54,0.764,0.778,03,"Fluid systems, flow control & piping",
336611,Ship Building and Repairing,13,"Shipyard work, marine integration & outfitting",process_not_swbs_gradable,95,36.576,5,Auxiliary Systems,0.647,581,0.214,1.284,,11,"Industrial machinery, tooling & material handling",
332911,Industrial Valve Manufacturing,03,"Fluid systems, flow control & piping",system,42,35.148,5,Auxiliary Systems,1.0,505,0.608,-0.0,1.0,03,"Fluid systems, flow control & piping",
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,99,Unresolved capability / insufficient evidence,process_not_swbs_gradable,73,34.664,5,Auxiliary Systems,0.923,571,0.409,0.391,,11,"Industrial machinery, tooling & material handling",
339999,All Other Miscellaneous Manufacturing,99,Unresolved capability / insufficient evidence,process_not_swbs_gradable,25,30.774,5,Auxiliary Systems,1.0,532,0.917,-0.0,,03,"Fluid systems, flow control & piping",
333310,Commercial and Service Industry Machinery Manufacturing,11,"Industrial machinery, tooling & material handling",system,18,28.702,5,Auxiliary Systems,1.0,531,0.772,-0.0,0.0,04,"Thermal management, HVAC & air handling",yes
332410,Power Boiler and Heat Exchanger Manufacturing,04,"Thermal management, HVAC & air handling",system,29,26.389,5,Auxiliary Systems,0.858,541,0.811,0.591,0.0,03,"Fluid systems, flow control & piping",yes
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",09,"Electronic components, computers, interconnects & cable",process_not_swbs_gradable,20,20.43,4,Command/Control/Surveillance,1.0,475,1.0,-0.0,,10,"Sensors, instrumentation, controls & communications",
541613,Marketing Consulting Services,17,"Business, staffing, training & other support",process_not_swbs_gradable,10,19.153,6,Outfit & Furnishings,1.0,624,1.0,-0.0,,18,"Interiors, safety gear & miscellaneous manufactured products",
332991,Ball and Roller Bearing Manufacturing,02,"Propulsion, engines & mechanical power transmission",system,21,18.422,2,Propulsion Plant,1.0,244,1.0,-0.0,1.0,02,"Propulsion, engines & mechanical power transmission",
333912,Air and Gas Compressor Manufacturing,03,"Fluid systems, flow control & piping",system,16,18.11,5,Auxiliary Systems,1.0,551,1.0,-0.0,1.0,03,"Fluid systems, flow control & piping",
238210,Electrical Contractors and Other Wiring Installation Contractors,15,"Installation, construction, maintenance & repair",process_not_swbs_gradable,19,14.268,5,Auxiliary Systems,1.0,555,1.0,-0.0,,03,"Fluid systems, flow control & piping",
335312,Motor and Generator Manufacturing,01,"Electrical power equipment, conversion & distribution",system,12,12.797,3,Electric Plant,1.0,302,0.591,-0.0,1.0,01,"Electrical power equipment, conversion & distribution",
332420,Metal Tank (Heavy Gauge) Manufacturing,05,"Structural fabrication, tanks & ship modules",system_home_not_observable,45,11.184,5,Auxiliary Systems,0.671,593,0.346,0.913,,03,"Fluid systems, flow control & piping",
332312,Fabricated Structural Metal Manufacturing,05,"Structural fabrication, tanks & ship modules",system_home_not_observable,18,10.467,2,Propulsion Plant,0.964,259,0.964,0.222,,02,"Propulsion, engines & mechanical power transmission",
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",10,"Sensors, instrumentation, controls & communications",system_home_not_observable,26,10.214,5,Auxiliary Systems,1.0,504,1.0,-0.0,,10,"Sensors, instrumentation, controls & communications",
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,04,"Thermal management, HVAC & air handling",system,45,9.381,5,Auxiliary Systems,0.756,512,0.309,0.802,0.309,04,"Thermal management, HVAC & air handling",
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",11,"Industrial machinery, tooling & material handling",system,13,8.623,5,Auxiliary Systems,1.0,583,1.0,-0.0,1.0,11,"Industrial machinery, tooling & material handling",
332912,Fluid Power Valve and Hose Fitting Manufacturing,03,"Fluid systems, flow control & piping",system,29,4.35,5,Auxiliary Systems,1.0,551,0.71,-0.0,0.895,03,"Fluid systems, flow control & piping",
334290,Other Communications Equipment Manufacturing,10,"Sensors, instrumentation, controls & communications",system_home_not_observable,22,4.178,4,Command/Control/Surveillance,1.0,433,0.575,-0.0,,10,"Sensors, instrumentation, controls & communications",
333613,Mechanical Power Transmission Equipment Manufacturing,02,"Propulsion, engines & mechanical power transmission",system,3,3.275,2,Propulsion Plant,1.0,244,1.0,-0.0,1.0,02,"Propulsion, engines & mechanical power transmission",
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,99,Unresolved capability / insufficient evidence,process_not_swbs_gradable,7,3.016,4,Command/Control/Surveillance,1.0,475,1.0,-0.0,,10,"Sensors, instrumentation, controls & communications",
541330,Engineering Services,14,"Engineering, software, R&D & testing",process_not_swbs_gradable,3,2.55,2,Propulsion Plant,1.0,259,1.0,-0.0,,02,"Propulsion, engines & mechanical power transmission",
332111,Iron and Steel Forging,06,"Primary metals, forgings & castings",process_not_swbs_gradable,5,1.777,5,Auxiliary Systems,1.0,581,1.0,-0.0,,11,"Industrial machinery, tooling & material handling",
221310,WATER SUPPLY AND IRRIGATION SYSTEMS,17,"Business, staffing, training & other support",process_not_swbs_gradable,13,1.532,6,Outfit & Furnishings,0.843,633,0.843,0.628,,18,"Interiors, safety gear & miscellaneous manufactured products",
332322,Sheet Metal Work Manufacturing,05,"Structural fabrication, tanks & ship modules",system_home_not_observable,9,1.441,5,Auxiliary Systems,1.0,512,1.0,-0.0,,04,"Thermal management, HVAC & air handling",
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",14,"Engineering, software, R&D & testing",process_not_swbs_gradable,2,0.588,2,Propulsion Plant,1.0,244,1.0,-0.0,,02,"Propulsion, engines & mechanical power transmission",
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",16,"Distribution, logistics, rental & commercial supply",process_not_swbs_gradable,4,0.352,3,Electric Plant,1.0,314,1.0,-0.0,,01,"Electrical power equipment, conversion & distribution",
332710,Machine Shops,07,"Precision machining, hardware & metal finishing",process_not_swbs_gradable,7,0.305,5,Auxiliary Systems,1.0,512,1.0,-0.0,,04,"Thermal management, HVAC & air handling",
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,04,"Thermal management, HVAC & air handling",system,4,0.227,5,Auxiliary Systems,0.616,512,0.616,0.961,0.616,04,"Thermal management, HVAC & air handling",
423840,Industrial Supplies Merchant Wholesalers,16,"Distribution, logistics, rental & commercial supply",process_not_swbs_gradable,1,0.075,5,Auxiliary Systems,1.0,551,1.0,-0.0,,03,"Fluid systems, flow control & piping",
333248,All Other Industrial Machinery Manufacturing,11,"Industrial machinery, tooling & material handling",system,1,0.04,5,Auxiliary Systems,1.0,529,1.0,-0.0,0.0,03,"Fluid systems, flow control & piping",yes
