Program,Prime PIID,Prime Entity Name,Award Description,Block / MYP,Date Signed,PoP Start,PoP Current End,PoP Potential End,Total Obligated $M (nominal),Base + All Options $M (nominal),USAspending Subaward Count,USAspending Subaward $M
DDG,N0002411C2307,HUNTINGTON INGALLS INCORPORATED,CONSTRUCTION OF DDG 51 CLASS DESTROYER,DDG FY11 (single-ship),2011-09-26,2011-09-26,2018-04-24,2018-04-24,701.511,716.767,255,27.053
DDG,N0002411C2309,HUNTINGTON INGALLS INCORPORATED,CONSTRUCT DDG 113 DDG 51 CLASS DESTROYER,DDG FY11 (single-ship),2011-06-15,2011-06-15,2024-04-30,2024-04-30,794.237,805.18,226,24.636
DDG,N0002413C2305,BATH IRON WORKS CORPORATION,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,DDG FY13-17 MYP,2013-06-03,2013-06-03,2027-01-31,2027-01-31,4932.454,5037.458,98,7.657
DDG,N0002413C2307,HUNTINGTON INGALLS INCORPORATED,FY13-FY17 DDG 51 CLASS SHIP CONSTRUCTION.,DDG FY13-17 MYP,2013-06-03,2013-06-03,2027-03-31,2027-03-31,3345.823,3493.597,2294,933.382
DDG,N0002418C2305,BATH IRON WORKS CORPORATION,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,DDG FY18-22 MYP,2018-09-27,2018-09-27,2030-12-20,2030-12-20,5338.957,5463.192,26,53.353
DDG,N0002418C2307,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,DDG FY18-22 MYP,2018-09-27,2018-09-27,2032-07-09,2032-07-09,6826.68,6926.347,2303,1176.448
DDG,N0002423C2307,HUNTINGTON INGALLS INCORPORATED,CONSTRUCTION OF DDG 51 SHIPS FY23-27,DDG FY23-27 MYP,2023-08-01,2023-08-01,2034-02-28,2034-02-28,6948.19,15803.816,382,774.131
Virginia,N0002412C2115,ELECTRIC BOAT CORPORATION,SSN 792 LONG LEAD TIME MATERIAL,Virginia Block IV (LLTM),2012-04-17,2012-04-13,2026-01-31,2028-08-30,20179.213,20202.349,1622,233.668
Virginia,N0002416C2111,ELECTRIC BOAT CORPORATION,IGF::OT::IGF VCS LEAD YARD SERVICES,Virginia LYS (cross-block),2016-08-26,2016-08-26,2026-11-30,2026-11-30,1468.509,1572.252,772,285.28
Virginia,N0002417C2100,ELECTRIC BOAT CORPORATION,SSN 802 AND 803 LONG LEAD TIME MATERIAL,Virginia Block V (LLTM),2017-02-14,2017-02-14,2036-06-02,2036-06-02,34664.221,40782.962,5681,4175.801
Virginia,N0002424C2110,ELECTRIC BOAT CORPORATION,SSN 814 & SSN 815 LONG LEAD TIME MATERIAL,Virginia Block VI (LLTM),2023-10-13,2023-10-13,2035-09-30,2035-09-30,4960.017,5131.518,367,417.429
Columbia,N0002417C2117,ELECTRIC BOAT CORPORATION,COLUMBIA CLASS DESIGN COMPLETION,Columbia (design/build),2017-09-21,2017-09-21,2031-12-31,2031-12-31,30825.592,42183.866,5208,7748.855
