Program,Prime PIID,Subawardee UEI,Subawardee Vendor Name,Reports,Distinct Subaward Numbers,Correction Actions,First Action,Last Action,Activity Span (Years),Net Subaward $M (FY2026$)
DDG,N0002411C2307,EV4ZGUNNKMJ6,"PACIFIC SHIP REPAIR & FABRICATION, INC.",,17,,,,,
DDG,N0002411C2307,KCYPSYNH1M94,US JOINER LLC,,4,,,,,
DDG,N0002411C2307,LCZDJ6YPNYG6,MARTIN ENERGY SERVICES LLC,,6,,,,,
DDG,N0002411C2307,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,,11,,,,,
DDG,N0002411C2307,SSD8KRDXKG46,"HILLER COMPANIES, INC., THE",,5,,,,,
DDG,N0002411C2307,ZA1KMNAJMVT3,SURFACE TECHNOLOGIES CORPORATION,,8,,,,,
DDG,N0002411C2307,KNEFNMWXBK39,JO-KELL INC.,,7,,,,,
DDG,N0002411C2307,JNC1BUEVV3B9,"JGILS, LLC",,9,,,,,
DDG,N0002411C2307,SKKACASET588,DYNALEC CORPORATION,,13,,,,,
DDG,N0002411C2307,JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,,4,,,,,
DDG,N0002411C2307,D44RA79E3K57,"PRECISION PRODUCTS, INC.",,4,,,,,
DDG,N0002411C2307,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,,4,,,,,
DDG,N0002411C2307,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",,2,,,,,
DDG,N0002411C2307,W2H3SYSJNLK5,Arastaff,,7,,,,,
DDG,N0002411C2307,DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",,2,,,,,
DDG,N0002411C2307,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",,3,,,,,
DDG,N0002411C2307,WQAKKCKH9LM8,"SECURITAS CRITICAL INFRASTRUCTURE SERVICES, INC.",,2,,,,,
DDG,N0002411C2307,J8ATNVMEGLK1,"CHAND, L.L.C.",,5,,,,,
DDG,N0002411C2307,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,,4,,,,,
DDG,N0002411C2307,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,,1,,,,,
DDG,N0002411C2307,JRHJJRY6DWK3,"CORNELL-CARR CO., INC.",,3,,,,,
DDG,N0002411C2307,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",,3,,,,,
DDG,N0002411C2307,JU2ME5ZK8VL3,"MMC METROLOGY LAB, INC",,3,,,,,
DDG,N0002411C2307,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",,3,,,,,
DDG,N0002411C2307,UWH5HRSJ5ES7,AUTOMATIC COATING LIMITED,,1,,,,,
DDG,N0002411C2307,T99DCLB5NRH7,"OCENCO, INCORPORATED",,1,,,,,
DDG,N0002411C2307,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",,3,,,,,
DDG,N0002411C2307,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,,1,,,,,
DDG,N0002411C2307,MEMSWT1LFU18,JERED LLC,,4,,,,,
DDG,N0002411C2307,DQ35GXAUTW61,"INDUSTRIAL CORROSION CONTROL, INC.",,2,,,,,
DDG,N0002411C2307,G15JF2TNVBL6,SIGNET MARITIME CORPORATION,,2,,,,,
DDG,N0002411C2307,FJMAMQK89ZB8,"CAMERON TECHNOLOGIES US, INC.",,1,,,,,
DDG,N0002411C2307,V32LJNFLKBT7,RFD BEAUFORT INC.,,1,,,,,
DDG,N0002411C2307,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,,2,,,,,
DDG,N0002411C2307,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",,2,,,,,
DDG,N0002411C2307,HNJDANSKDZK9,"SPECTRONICS, INC.",,2,,,,,
DDG,N0002411C2307,PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,,4,,,,,
DDG,N0002411C2307,VJMTKNLENX24,ENGINEERED COIL COMPANY,,3,,,,,
DDG,N0002411C2307,V6JXCLR8QR37,RHINESTAHL CORPORATION,,2,,,,,
DDG,N0002411C2307,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",,2,,,,,
DDG,N0002411C2307,JEP5GQGFPUL9,PORTLAND VALVE LLC,,2,,,,,
DDG,N0002411C2307,JFEWJZWTH4W4,The Tool House Inc,,1,,,,,
DDG,N0002411C2307,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",,1,,,,,
DDG,N0002411C2307,JK16ZQ9FRJ51,TAVERNIER DIDIER,,1,,,,,
DDG,N0002411C2307,D2J1SSHB5EB7,THE HELLAN STRAINER CO,,3,,,,,
DDG,N0002411C2307,NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",,2,,,,,
DDG,N0002411C2307,HNAECT5M9TM4,"SOCAIL, LDA",,2,,,,,
DDG,N0002411C2307,KTMAJCY6JXM3,"LEIDOS, INC.",,1,,,,,
DDG,N0002411C2307,F98TZC6J5XV1,"ARC TECHNOLOGIES, INC.",,1,,,,,
DDG,N0002411C2307,FVFNV3NERP36,"POWERSTAR, INC.",,2,,,,,
DDG,N0002411C2307,CJ8CQLEM2RW3,"SYSCO USA II, LLC",,1,,,,,
DDG,N0002411C2307,J6DMEL935CD1,XYLEM INC.,,1,,,,,
DDG,N0002411C2307,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",,3,,,,,
DDG,N0002411C2307,MSSQQ551LG41,"IMPRES TECHNOLOGY SOLUTIONS, INC.",,1,,,,,
DDG,N0002411C2307,KXWXRYB3FBW3,FLOWSERVE CORPORATION,,1,,,,,
DDG,N0002411C2307,WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",,1,,,,,
DDG,N0002411C2307,VD5WUGZUCJ44,"Triple Son Wholesale Timber, Inc.",,1,,,,,
DDG,N0002411C2307,NQKEVF8KEMP1,PIVOTAL POWER INC,,2,,,,,
DDG,N0002411C2307,M8ZHL8ZXGQP5,"CHROMALOX, INC.",,1,,,,,
DDG,N0002411C2307,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,,2,,,,,
DDG,N0002411C2307,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,,1,,,,,
DDG,N0002411C2307,LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",,1,,,,,
DDG,N0002411C2307,HUKGWGAFW4C7,SOUNDOWN CORPORATION,,1,,,,,
DDG,N0002411C2307,GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",,1,,,,,
DDG,N0002411C2307,HEUNPCKQLMN5,KLUMB LUMBER COMPANY,,1,,,,,
DDG,N0002411C2307,JL4THZCMNKR7,JACKSON PLATING CO.,,1,,,,,
DDG,N0002411C2307,W2GBUE64GMZ6,"DERBYSHIRE MARINE PRODUCTS, LLC",,1,,,,,
DDG,N0002411C2307,TSCZLHCGNQ53,FACET (OKLAHOMA) LLC,,1,,,,,
DDG,N0002411C2307,RYYRAAAGPXB5,"STOCKERT, LAURA",,1,,,,,
DDG,N0002411C2307,GJEXETZX4N96,SHIELD TECHNOLOGIES CORPORATION,,1,,,,,
DDG,N0002411C2307,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",,2,,,,,
DDG,N0002411C2307,DQLZFV6PFCB9,"TATE ANDALE, INC.",,1,,,,,
DDG,N0002411C2307,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,,1,,,,,
DDG,N0002411C2307,FECPDA1S8WJ1,D. W. BOYD CORPORATION,,1,,,,,
DDG,N0002411C2307,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC.,,2,,,,,
DDG,N0002411C2307,R1M8JJH7J5W5,"JOHNSON BRASS & MACHINE FOUNDRY, INC.",,1,,,,,
DDG,N0002411C2307,GXPHJRVG9MR7,"DRS POWER & CONTROL TECHNOLOGIES, INC.",,1,,,,,
DDG,N0002411C2307,TAB4FBLR5UM1,ANIXTER INC.,,1,,,,,
DDG,N0002411C2307,JZXZSN3BBL98,SIEMENS INDUSTRY INC.,,1,,,,,
DDG,N0002411C2307,G871GBTQ94M7,Lona Slade,,1,,,,,
DDG,N0002411C2307,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,,1,,,,,
DDG,N0002411C2307,R71XN254HA36,AKRON BRASS COMPANY,,1,,,,,
DDG,N0002411C2307,KB8ALFD8K1X8,Higgins Marine Services Inc,,1,,,,,
DDG,N0002411C2307,N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,,1,,,,,
DDG,N0002411C2307,D28HQ4AA2ZL8,"EFFORT FOUNDRY, INC.",,1,,,,,
DDG,N0002411C2307,ZQ11WUWJGAA4,"KIDDE-FENWAL, INC.",,1,,,,,
DDG,N0002411C2307,LSGYNGHKB863,DEBAN ENTERPRISES INC,,1,,,,,
DDG,N0002411C2307,JGLLLKELFB57,ITT CORPORATION,,1,,,,,
DDG,N0002411C2307,V72KJGHK3JF2,MGR EQUIPMENT CORP,,1,,,,,
