Subawardee UEI,Subawardee Vendor Name,Distinct PIIDs,Distinct Programs,Distinct Subaward Numbers
LCV2N9FVV739,NORTHROP GRUMMAN SYSTEMS CORPORATION,5,2,39
GXPHJRVG9MR7,DRS NAVAL POWER SYSTEMS INC,11,3,174
HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,6,1,118
WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,5,2,79
N1PJDANWUJ61,SCOT FORGE COMPANY,6,3,541
YNJNTZWVC3H6,BAE SYSTEMS LAND & ARMAMENTS L.P.,2,2,4
J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,4,1,28
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",9,3,59
E8LNMDLEKM35,DC FABRICATORS INC,3,2,13
FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",3,2,67
YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",5,2,32
J3AFGKXWYK73,York International Corporation,5,2,53
DK2SLQURMJF3,BABCOCK MARINE (ROSYTH) LIMITED,1,1,5
FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,3,1,7
HNAECT5M9TM4,"SOCAIL, LDA",3,1,10
KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",2,2,33
JEP5GQGFPUL9,PORTLAND VALVE LLC,8,3,149
PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,5,1,76
ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,10,3,108
WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,3,2,10
G9HKMXL5L973,"OIL STATES INDUSTRIES, INC",4,2,93
SX6BF52K2WB1,VACCO INDUSTRIES,5,2,54
F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,8,3,44
PAH8M4BJACA5,"TELEDYNE INSTRUMENTS, INC.",5,2,127
FK17Z7DJWLL1,APCO TECHNOLOGIES SA,3,2,30
QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,4,3,15
RG6LJJM6JBS3,"AUSTAL USA, LLC",2,2,16
NYGUEDY27AM8,CURTISS-WRIGHT FLOW CONTROL CORPORATION,7,3,101
XQW8RJNNAXX8,"W INTERNATIONAL, LLC",4,2,50
LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,1,1,4
F2LEAK3EK9R3,GRAHAM CORP,1,1,8
JKZNKGGWYZ87,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,5,2,12
DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",7,3,214
Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",2,2,26
VJMTKNLENX24,ENGINEERED COIL COMPANY,9,3,131
Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,9,3,100
Q35JL9GFCAK3,MAROTTA CONTROLS INC,7,3,186
MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",5,2,181
CBMZJ3Z5SC89,GOODRICH CORP,5,3,42
