PIID,Label,SAM records,USA records,Recovered (SAM - USA),SAM $M,USA $M,$M delta (SAM - USA)
N0002417C2100,GDEB Virginia Block V / Block VI master,4389,2500,1889,2426.16,4192.08,-1765.92
N0002417C2117,GDEB Columbia Build I + Build II,4150,2500,1650,7143.53,8174.69,-1031.16
N0002412C2115,GDEB Virginia Block IV MYP,0,1622,-1622,0.0,233.67,-233.67
N0002424C2110,GDEB Virginia Block VI LLTM,367,367,0,417.43,417.43,0.0
N0002409C2104,GDEB Virginia Block II (residual),0,0,0,0.0,0.0,0.0
N0002413C2128,GDEB Columbia Design Drawings,54,608,-554,12.23,273.48,-261.24
N0002419C2125,GDEB Virginia Tech Instructions / HPAD backfit,1292,1292,0,240.92,240.92,0.0
N0002416C2111,GDEB VPM Ventilation Valve,218,772,-554,128.56,285.28,-156.72
N0002410C2118,GDEB VPM Tube Fabrication,0,0,0,0.0,0.0,0.0
N0002411C2109,GDEB SSBN-R concept formulation,0,0,0,0.0,0.0,0.0
N0002420C4312,GDEB USS Hartford (SSN 768) EOH,430,430,0,116.38,116.38,-0.0
N0002419C2114,BPMI Naval Reactor Components (Columbia),39,49,-10,90.47,146.32,-55.84
N0002419C2115,BPMI Columbia Class Industrial Base Increase,44,67,-23,166.16,527.96,-361.8
N0002424C2114,BPMI S9G reactor,0,0,0,0.0,0.0,0.0
N0002410C6266,LM Virginia Combat Systems hardware/software,0,0,0,0.0,0.0,0.0
N0002421C4106,BAE SSN 812 Forward Subassembly,15,14,1,1.75,1.45,0.3
N0002421C4111,Rolls-Royce Virginia Class Submarine Rotor,7,7,0,4.7,4.7,-0.0
