vintage,pb_year,li,p1_section,row_label,fy_label,value
FY22,2022,1045,base,Procurement Quantity (Units in Each),Prior Years,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2020,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2021,1
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2022 Base,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2022 OOC,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2022 Total,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2023,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2024,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2025,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),FY 2026,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),To Complete,-
FY22,2022,1045,base,Procurement Quantity (Units in Each),Total,-
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),Prior Years,0.000
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2020,0.000
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2021,"15,030.533"
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2022 Base,0.000
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2022 OOC,0.000
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2022 Total,0.000
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2023,-
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2024,-
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2025,-
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),FY 2026,-
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),To Complete,-
FY22,2022,1045,base,Gross/Weapon System Cost ($ in Millions),Total,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),Prior Years,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2020,0.000
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2021,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2022 Base,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2022 OOC,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2022 Total,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2023,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2024,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2025,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),FY 2026,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),To Complete,-
FY22,2022,1045,base,Less PY Advance Procurement ($ in Millions),Total,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),Prior Years,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2020,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2021,"6,227.811"
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2022 Base,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2022 OOC,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2022 Total,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2023,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2024,-
FY22,2022,1045,base,Less AP Transfer to NSBDF ($ in Millions),FY 2025,-
