LI,Class,FY,Metric Source,Metric,Value $M,Source PB
1045,Columbia,2020,P-40,Gross/Weapon System Cost ($ in Millions),0.000,PB2022
1045,Columbia,2020,P-40,Less PY Advance Procurement ($ in Millions),0.000,PB2022
1045,Columbia,2020,P-40,Net Procurement (P-1) ($ in Millions),0.000,PB2022
1045,Columbia,2020,P-40,Total Obligation Authority ($ in Millions),1820.927,PB2022
1045,Columbia,2021,P-40,Procurement Quantity (Units in Each),1.000,PB2023
1045,Columbia,2021,P-40,Gross/Weapon System Cost ($ in Millions),15179.058,PB2023
1045,Columbia,2021,P-40,Gross/Weapon System Unit Cost ($ in Millions),15179.058,PB2023
1045,Columbia,2021,P-40,Plus CY Advance Procurement ($ in Millions),1253.175,PB2022
1045,Columbia,2021,P-40,Net Procurement (P-1) ($ in Millions),2869.024,PB2022
1045,Columbia,2021,P-40,Total Obligation Authority ($ in Millions),4122.199,PB2023
1045,Columbia,2021,P-5c,Basic Construction/Conversion,5979.402,
1045,Columbia,2021,P-5c,Plan Costs,6946.282,
1045,Columbia,2021,P-5c,Propulsion Equipment,1700.900,
1045,Columbia,2021,P-5c,Electronics,358.293,
1045,Columbia,2021,P-5c,"Hull, Mechanical, and Electrical",156.299,
1045,Columbia,2021,P-5c,Ordnance,668.502,
1045,Columbia,2021,P-5c,Other Cost,73.446,
1045,Columbia,2021,P-5c,Change Orders,238.476,
1045,Columbia,2021,P-5c,Total Ship Estimate,16121.600,
1045,Columbia,2022,P-40,Gross/Weapon System Cost ($ in Millions),0.000,PB2024
1045,Columbia,2022,P-40,Plus CY Advance Procurement ($ in Millions),1773.980,PB2023
1045,Columbia,2022,P-40,Net Procurement (P-1) ($ in Millions),0.000,PB2024
1045,Columbia,2022,P-40,Total Obligation Authority ($ in Millions),4776.980,PB2024
1045,Columbia,2023,P-40,Gross/Weapon System Cost ($ in Millions),0.000,PB2025
1045,Columbia,2023,P-40,Plus CY Advance Procurement ($ in Millions),2778.553,PB2024
1045,Columbia,2023,P-40,Net Procurement (P-1) ($ in Millions),0.000,PB2025
1045,Columbia,2023,P-40,Total Obligation Authority ($ in Millions),5857.776,PB2025
1045,Columbia,2024,P-40,Procurement Quantity (Units in Each),1.000,PB2026
1045,Columbia,2024,P-40,Gross/Weapon System Cost ($ in Millions),10688.458,PB2026
1045,Columbia,2024,P-40,Gross/Weapon System Unit Cost ($ in Millions),10688.458,PB2026
1045,Columbia,2024,P-40,Less PY Advance Procurement ($ in Millions),769.075,PB2024
1045,Columbia,2024,P-40,Plus CY Advance Procurement ($ in Millions),3390.734,PB2025
1045,Columbia,2024,P-40,Net Procurement (P-1) ($ in Millions),2443.598,PB2025
1045,Columbia,2024,P-40,Total Obligation Authority ($ in Millions),7789.332,PB2026
1045,Columbia,2024,P-5c,Basic Construction/Conversion,6356.087,
1045,Columbia,2024,P-5c,Plan Costs,1443.300,
1045,Columbia,2024,P-5c,Propulsion Equipment,1613.999,
1045,Columbia,2024,P-5c,Electronics,349.701,
1045,Columbia,2024,P-5c,"Hull, Mechanical, and Electrical",119.107,
1045,Columbia,2024,P-5c,Ordnance,596.757,
1045,Columbia,2024,P-5c,Other Cost,66.618,
1045,Columbia,2024,P-5c,Change Orders,143.242,
1045,Columbia,2024,P-5c,Total Ship Estimate,10688.811,
1045,Columbia,2025,P-40,Gross/Weapon System Cost ($ in Millions),0.000,PB2027
1045,Columbia,2025,P-40,Plus CY Advance Procurement ($ in Millions),6215.939,PB2026
1045,Columbia,2025,P-40,Net Procurement (P-1) ($ in Millions),0.000,PB2027
1045,Columbia,2025,P-40,Total Obligation Authority ($ in Millions),9580.774,PB2027
1045,Columbia,2026,P-40,Procurement Quantity (Units in Each),1.000,PB2027
1045,Columbia,2026,P-40,Gross/Weapon System Cost ($ in Millions),10744.317,PB2027
1045,Columbia,2026,P-40,Gross/Weapon System Unit Cost ($ in Millions),10744.317,PB2027
1045,Columbia,2026,P-40,Less PY Advance Procurement ($ in Millions),1183.076,PB2026
1045,Columbia,2026,P-40,Plus CY Advance Procurement ($ in Millions),5350.766,PB2027
1045,Columbia,2026,P-40,Net Procurement (P-1) ($ in Millions),3928.828,PB2027
1045,Columbia,2026,P-40,Total Obligation Authority ($ in Millions),9279.594,PB2027
1045,Columbia,2026,P-5c,Basic Construction/Conversion,7159.768,
1045,Columbia,2026,P-5c,Plan Costs,1095.773,
1045,Columbia,2026,P-5c,Propulsion Equipment,1294.878,
1045,Columbia,2026,P-5c,Electronics,361.283,
1045,Columbia,2026,P-5c,"Hull, Mechanical, and Electrical",102.496,
1045,Columbia,2026,P-5c,Ordnance,468.840,
1045,Columbia,2026,P-5c,Other Cost,43.887,
1045,Columbia,2026,P-5c,Change Orders,217.392,
1045,Columbia,2026,P-5c,Total Ship Estimate,10744.317,
1045,Columbia,2027,P-40,Procurement Quantity (Units in Each),1.000,PB2027
1045,Columbia,2027,P-40,Gross/Weapon System Cost ($ in Millions),10486.369,PB2027
1045,Columbia,2027,P-40,Gross/Weapon System Unit Cost ($ in Millions),10486.369,PB2027
1045,Columbia,2027,P-40,Less PY Advance Procurement ($ in Millions),850.012,PB2027
1045,Columbia,2027,P-40,Plus CY Advance Procurement ($ in Millions),4763.342,PB2027
1045,Columbia,2027,P-40,Net Procurement (P-1) ($ in Millions),6904.785,PB2027
1045,Columbia,2027,P-40,Total Obligation Authority ($ in Millions),15583.102,PB2027
1045,Columbia,2027,P-5c,Basic Construction/Conversion,6853.733,
1045,Columbia,2027,P-5c,Plan Costs,861.527,
1045,Columbia,2027,P-5c,Propulsion Equipment,1541.973,
1045,Columbia,2027,P-5c,Electronics,367.634,
1045,Columbia,2027,P-5c,"Hull, Mechanical, and Electrical",101.710,
1045,Columbia,2027,P-5c,Ordnance,512.585,
1045,Columbia,2027,P-5c,Other Cost,40.078,
1045,Columbia,2027,P-5c,Change Orders,207.129,
1045,Columbia,2027,P-5c,Total Ship Estimate,10486.369,
2013,Virginia,2020,P-40,Procurement Quantity (Units in Each),2.000,PB2022
2013,Virginia,2020,P-40,Gross/Weapon System Cost ($ in Millions),7483.677,PB2022
2013,Virginia,2020,P-40,Gross/Weapon System Unit Cost ($ in Millions),3741.839,PB2022
2013,Virginia,2020,P-40,Less PY Advance Procurement ($ in Millions),1756.902,PB2022
2013,Virginia,2020,P-40,Plus CY Advance Procurement ($ in Millions),2087.588,PB2022
2013,Virginia,2020,P-40,Net Procurement (P-1) ($ in Millions),5365.181,PB2022
2013,Virginia,2020,P-40,Total Obligation Authority ($ in Millions),8334.733,PB2022
2013,Virginia,2021,P-40,Procurement Quantity (Units in Each),2.000,PB2023
2013,Virginia,2021,P-40,Gross/Weapon System Cost ($ in Millions),7215.253,PB2023
2013,Virginia,2021,P-40,Gross/Weapon System Unit Cost ($ in Millions),3607.627,PB2023
