piid,fy,subAwardDate,subAwardAmount_$,subAwardReportId,subAwardNumber,sub_parent_uei,sub_entity_uei,sub_name,foreign,prime_entity_name,prime_naics_code,prime_naics_desc,description_of_requirement
N0002413C2128,2020,2020-01-14,187289.00,20699664,PPG009=086,MHNEK1CGNJS9,FNBNKXCC3QD8,SUPERBOLT INC.,,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,RELEASE OF CLAIMS
N0002413C2128,2020,2019-12-03,28266.00,20699644,PPF232=041,N1PJDANWUJ61,N1PJDANWUJ61,SCOT FORGE COMPANY,,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,DRAWING REVISIONS
N0002413C2128,2020,2019-11-26,26100.00,20699643,PPF229=072,N1PJDANWUJ61,N1PJDANWUJ61,SCOT FORGE COMPANY,,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,DRAWING REVISIONS
N0002413C2128,2019,2018-10-02,-2000000.00,20699624,SNE192=079,,PM3QRNLPA8K5,"RILEY POWER GROUP, LLC",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,RELEASE OF CLAIMS
N0002413C2128,2019,2019-05-16,303345.00,20699596,PPF096=021,,H12BMH6V6495,"PIMA VALVE, LLC",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,DESIGN DRAWING CHANGE
N0002413C2128,2016,2016-08-22,17640.72,20699547,SNC163=001,XFMBL7A963X9,G9HKMXL5L973,"OIL STATES INTERNATIONAL, INC.",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,DESIGN DRAWING CHANGE
N0002413C2128,2016,2016-08-22,3999.89,20699546,SNC163=001,XFMBL7A963X9,G9HKMXL5L973,"OIL STATES INTERNATIONAL, INC.",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,APPLY MISSILE TUBE INSTALLMENT FUNDING IN SUPPORT OF THIS OHIO REPLACEMENT DESIGN SUPPORT CONTRACT.
N0002413C2128,2021,2021-09-24,1281231.33,20699543,PPA193=089,,LCV2N9FVV739,NORTHROP GRUMMAN CORPORATION,,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,LIMITATION OF COSTS FOR ORDER 17-10
N0002413C2128,2021,2021-01-25,7223.00,20699539,SNA004=013,NKVZLJL93QT6,LCV2N9FVV739,NORTHROP GRUMMAN CORPORATION,,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,"PROPERTY TRANSFER FROM N00024-13-C-2128 TO N00024-17-C-2100, VIA LETTER 330:JT/962490/1.1 DATED 11 MAY 2020"
N0002413C2128,2022,2021-12-20,-72238.00,20699535,SNB134=055,,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC.",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,LIMITATION OF COSTS FOR ORDER 17-10
N0002413C2128,2022,2021-12-20,-72238.00,20699534,SNB134=055,,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC.",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,LIMITATION OF COSTS FOR ORDER 17-10
N0002413C2128,2022,2021-12-20,-72238.00,20699533,SNB134=055,,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC.",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,LIMITATION OF COSTS FOR ORDER 17-10
N0002413C2128,2022,2021-12-20,-72238.00,20699532,SNB134=055,,Y5R2L8HWAUA8,"NAVUS AUTOMATION, INC.",,ELECTRIC BOAT CORPORATION,541330,541330 -- Engineering Services,LIMITATION OF COSTS FOR ORDER 17-10
