Parent UEI or fallback key,Display name,Total $M,Sub action count,% of total
F8PEZKXES8B1,BLUEFORGE ALLIANCE,4173.27,8,39.76%
NKVZLJL93QT6,NORTHROP GRUMMAN SYSTEMS CORPORATION,1484.69,120,14.14%
W8PTMRME1496,LEONARDO SPA,490.9,121,4.68%
PF8PJNVEPTJ1,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,315.9,262,3.01%
SFBKRA9THBA3,"GLOBE COMPOSITE SOLUTIONS, LLC",248.26,161,2.37%
N1PJDANWUJ61,SCOT FORGE COMPANY,199.86,441,1.90%
E8LNMDLEKM35,D.C. FABRICATORS INC.,162.92,40,1.55%
KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",141.91,73,1.35%
U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",101.78,129,0.97%
F2LEAK3EK9R3,THE GRAHAM CORPORATION,89.12,28,0.85%
UCWYBGRA11H1,"AUSTAL USA, LLC",87.56,24,0.83%
SJULQDJ8NZU7,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",85.17,112,0.81%
LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,83.98,5,0.80%
XQW8RJNNAXX8,"W INTERNATIONAL, LLC",82.6,61,0.79%
SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,77.62,195,0.74%
QLJZVM6XKR71,"TRAINING MODERNIZATION GROUP, INC.",77.03,7,0.73%
Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",75.0,33,0.71%
J9V9SJL4CW97,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,74.73,102,0.71%
XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",70.73,37,0.67%
YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",68.85,52,0.66%
EGAVSJTA2D81,RAYTHEON BBN TECHNOLOGIES CORP.,66.75,35,0.64%
XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,60.49,41,0.58%
GU5YDKH7GPF1,CIRCOR PUMPS NORTH AMERICA LLC,52.51,53,0.50%
CMT4S6G76QB5,"BABCOCK & WILCOX COMPANY, THE",51.8,16,0.49%
MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",51.76,241,0.49%
KZA5CX3J8KE8,"IMIA, LLC",50.16,22,0.48%
TZVRTYNM3MN3,"PEGASUS STEEL, LLC",49.46,76,0.47%
SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,42.8,47,0.41%
NEGFNA8YS723,"ALLARD NAZARIAN GROUP, INC.",39.19,29,0.37%
Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",39.17,48,0.37%
L4ZMKLM4MPL3,MOOG INC.,38.2,70,0.36%
HG5LNJAG4LU8,"HUNT VALVE COMPANY, INC.",36.53,61,0.35%
LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",35.46,50,0.34%
K3XPS1HXNBF3,"B. & F. MACHINE CO., INC.",35.16,197,0.33%
UHXFGP3DCRK7,"HANSOME ENERGY SYSTEMS, INC.",34.86,21,0.33%
RM4TFABVLPX4,EVEREST KANTO CYLINDER LIMITED,33.91,17,0.32%
N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,32.93,113,0.31%
FK17Z7DJWLL1,APCO TECHNOLOGIES SA,32.8,42,0.31%
RA8BS6AS7V54,GOODWIN STEEL CASTINGS LIMITED,30.29,18,0.29%
JG6AMW7E23Z6,C. H. POWELL COMPANY,30.22,6,0.29%
G9HKMXL5L973,"OIL STATES INDUSTRIES, INC.",29.65,58,0.28%
HPDLRXR4FYX5,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,28.97,20,0.28%
GJNEBDUDNTA1,"EURO MACHINERY SPECIALISTS, INC",28.12,7,0.27%
K294P4QJHFU9,"MW JONES & COMPANY, INC.",26.72,6,0.25%
KTSAL8YX2QQ5,AMERICAN STEEL AND ALUMINUM LLC,26.2,61,0.25%
WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",26.05,3,0.25%
PUG1H9MFJD63,THE AMERICAN TANK & FABRICATING COMPANY,25.1,53,0.24%
TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",23.4,100,0.22%
VDSCUPC2H3K7,CITADEL CAPITAL CORPORATION,23.05,37,0.22%
DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",22.6,118,0.22%
F76KN7T9YP64,WAUKESHA BEARINGS CORPORATION,22.25,16,0.21%
F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC.",21.85,23,0.21%
X6JCC78FMY25,BEAST CODE LLC,21.36,33,0.20%
WVW5FMYALEL6,"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",20.8,13,0.20%
H11HD5VHGHN3,LOCKHEED MARTIN CORPORATION,19.85,7,0.19%
D77VA4G9VJG8,CATERPILLAR INC,19.52,12,0.19%
CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",19.48,57,0.19%
CU6NGN3UKFA6,"OCEANEERING INTERNATIONAL, INC",18.47,84,0.18%
W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,18.41,20,0.18%
C256E427Q518,"DELTAK MANUFACTURING, INC.",18.04,5,0.17%
XYCDRJ4BBZ34,"KME AMERICA MARINE TUBE & FITTING, LLC",16.71,128,0.16%
L8T4R3N7ACL6,COLFAX CORPORATION,16.69,8,0.16%
NTREK31GP8N3,KSARIA CORPORATION,16.47,48,0.16%
Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,16.2,44,0.15%
E84NNWLU6RK3,HAMILL MANUFACTURING COMPANY,16.13,6,0.15%
TJLYWEFN1YR8,BABCOCK INTERNATIONAL GROUP PLC,15.96,13,0.15%
FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",15.24,79,0.15%
DTZJAQF8NZA1,"L-3 COMMUNICATIONS HOLDINGS, INC.",15.18,11,0.14%
