LI,P-1 Line,Ship,Shipbuilder,FY,Contract Award,Start Construction,Delivery Date
2122,13,DDG 127,Bath Iron Works,2016,Sep 2017,Apr 2019,Sep 2026
2122,13,DDG 126,Bath Iron Works,2017,Jun 2013,Mar 2020,Sep 2027
2122,13,DDG 129,Huntington Ingalls Industries,2018,Sep 2018,Jan 2021,Aug 2027
2122,13,DDG 130,Bath Iron Works,2019,Sep 2018,May 2021,Nov 2028
2122,13,DDG 131,Huntington Ingalls Industries,2019,Sep 2018,Nov 2021,Nov 2028
2122,13,DDG 132,Bath Iron Works,2019,Dec 2018,Feb 2022,Sep 2029
2122,13,DDG 133,Huntington Ingalls Industries,2020,Sep 2018,Dec 2022,Feb 2030
2122,13,DDG 134,Bath Iron Works,2020,Sep 2018,Nov 2023,Oct 2030
2122,13,DDG 135,Huntington Ingalls Industries,2020,Jun 2020,Nov 2023,Feb 2031
2122,13,DDG 136,Bath Iron Works,2021,Sep 2018,Apr 2024,Jun 2031
2122,13,DDG 137,Huntington Ingalls Industries,2021,Sep 2018,Mar 2026,Feb 2032
2122,13,DDG 138,Bath Iron Works,2022,Sep 2018,Mar 2025,Oct 2032
2122,13,DDG 139,Huntington Ingalls Industries,2022,Sep 2018,Sep 2027,Aug 2033
2122,13,DDG 140,Bath Iron Works,2023,Aug 2023,Jul 2026,Dec 2033
2122,13,DDG 141,Huntington Ingalls Industries,2023,Aug 2023,Sep 2028,Aug 2034
2122,13,DDG 142,Huntington Ingalls Industries,2023,Aug 2023,Sep 2029,Aug 2035
2122,13,DDG 143,Huntington Ingalls Industries,2024,Aug 2023,Sep 2030,Aug 2036
2122,13,DDG 144,Bath Iron Works,2024,Aug 2023,Aug 2027,Jan 2035
2122,13,DDG 145,Huntington Ingalls Industries,2025,Aug 2023,Sep 2031,Aug 2037
2122,13,DDG 146,Huntington Ingalls Industries,2025,Aug 2023,Sep 2032,Aug 2038
2122,13,DDG 148,Bath Iron Works,2025,Jul 2025,Aug 2028,Nov 2035
2122,13,DDG 147,Huntington Ingalls Industries,2026,Aug 2023,Sep 2033,Aug 2039
2122,13,DDG 149,Bath Iron Works,2026,Aug 2023,Aug 2029,Sep 2036
2122,13,DDG 150,Huntington Ingalls Industries,2027,Aug 2023,Sep 2034,Aug 2040
2122,13,DDG 151,TBD,2028,Sep 2028,Aug 2036,Aug 2041
2122,13,DDG 152,TBD,2029,Sep 2028,Aug 2037,Aug 2042
2122,13,DDG 153,TBD,2030,Sep 2028,Aug 2038,Aug 2043
2122,13,DDG 154,TBD,2030,Sep 2028,Aug 2038,Aug 2043
2122,13,DDG 155,TBD,2031,Sep 2028,Aug 2039,Aug 2044
2122,13,DDG 156,TBD,2031,Sep 2028,Aug 2039,Aug 2044
