LI,P-1 Line,Row Label,Prior Years,FY 2025,FY 2026,FY 2027 Base,FY 2027 OOC,FY 2027 Total,FY 2028,FY 2029,FY 2030,FY 2031,To Complete,Total
2122,13,Procurement Quantity (Units in Each),94,3,-,1,-,1,1,1,2,2,3,107
2122,13,Gross/Weapon System Cost ($ in Millions),"117,822.879","7,858.814",306.125,"4,256.914",0.000,"4,256.914","4,026.201","4,209.440","6,613.151","6,964.218","15,080.837","167,138.579"
2122,13,Less PY Advance Procurement ($ in Millions),"2,910.850",2.659,65.021,"1,023.521",-,"1,023.521",-,502.271,502.271,502.305,"1,001.157","6,510.055"
2122,13,Less Cost To Complete ($ in Millions),"3,237.603",-,-,-,-,-,-,-,-,-,-,"3,237.603"
2122,13,Less Hurricane ($ in Millions),227.100,-,-,-,-,-,-,-,-,-,-,227.100
2122,13,Less EOQ ($ in Millions),"2,150.761","1,587.636",230.331,279.155,-,279.155,-,-,-,-,-,"4,247.883"
2122,13,Less Escalation ($ in Millions),48.200,-,-,-,-,-,-,-,-,-,-,48.200
2122,13,Less Transfer ($ in Millions),218.500,-,-,-,-,-,-,-,-,-,-,218.500
2122,13,Net Procurement (P-1) ($ in Millions),"106,913.494","6,268.519",10.773,"2,954.238",0.000,"2,954.238","4,026.201","3,707.169","6,110.880","6,461.913","14,079.680","150,532.867"
2122,13,Full Funding TOA ($ in Millions),"107,346.494","7,951.890",10.773,"2,954.238",-,"2,954.238","4,026.201","3,707.169","6,110.880","6,461.913","14,079.680","152,649.238"
2122,13,Plus CY Advance Procurement ($ in Millions),"3,340.411",83.224,"1,750.000",-,-,-,"1,758.004",-,-,-,-,"6,931.639"
2122,13,Plus Cost To Complete ($ in Millions),"1,649.333",233.514,181.495,178.224,-,178.224,340.120,286.375,264.749,103.792,-,"3,237.602"
2122,13,Plus EOQ ($ in Millions),"3,826.300",-,-,-,-,-,-,-,-,-,-,"3,826.300"
2122,13,Plus Escalation ($ in Millions),48.200,-,-,-,-,-,-,-,-,-,-,48.200
2122,13,Plus Transfer ($ in Millions),218.500,-,-,-,-,-,-,-,-,-,-,218.500
2122,13,Plus Hurricane ($ in Millions),227.100,-,-,-,-,-,-,-,-,-,-,227.100
2122,13,Total Obligation Authority ($ in Millions),"116,656.338","8,268.628","1,942.268","3,132.462",0.000,"3,132.462","6,124.325","3,993.544","6,375.629","6,565.705","14,079.680","167,138.579"
2122,13,Plus Outfitting and Post Delivery ($ in Millions),"3,033.905",123.099,167.272,138.165,-,138.165,198.911,191.240,178.534,212.087,"1,313.347","5,556.560"
2122,13,Total ($ in Millions),"119,690.243","8,391.727","2,109.540","3,270.627",-,"3,270.627","6,323.236","4,184.784","6,554.163","6,777.792","15,393.027","172,695.139"
2122,13,Gross/Weapon System Unit Cost ($ in Millions),"1,253.435","2,619.605",-,"4,256.914",-,"4,256.914","4,026.201","4,209.440","3,306.576","3,482.109","5,026.946","1,562.043"
