rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
1,W8PTMRME1496,LEONARDO SPA,1960.6631,336411,Aircraft Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,A1512,ITA,ok
2,CY16XXPHX213,ARCTIC SLOPE REGIONAL CORPORATION,987.4426,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,4N5H5,USA,ok
3,YHJESY2TDP23,MAJOR TOOL AND MACHINE INC,816.1143,332710,Machine Shops,33,3327,Manufacturing — Machinery/Electronics/Transport Eq,01263,USA,ok
4,VF58HFRNGEL8,GENERAL DYNAMICS CORPORATION,478.8134,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",33,3369,Manufacturing — Machinery/Electronics/Transport Eq,95403,USA,ok
5,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,374.2118,336412,Aircraft Engine and Engine Parts Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,24446,USA,ok
6,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,257.5225,,,,,Unknown,,,not_found
7,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,256.6765,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,6A9R2,USA,ok
8,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",178.4809,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing ,33,3334,Manufacturing — Machinery/Electronics/Transport Eq,66935,USA,ok
9,HHBLV49BQUY5,"ADVANCED SCIENCES AND TECHNOLOGIES, LLC",173.9504,541330,Engineering Services,54,5413,Professional/Scientific/Technical Services,49R49,USA,ok
10,KUC6XT7KEXN3,COBHAM ADVANCED ELECTRONIC SOLUTIONS INC.,171.4662,334413,Semiconductor and Related Device Manufacturing ,33,3344,Manufacturing — Machinery/Electronics/Transport Eq,65628,USA,ok
11,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,169.0458,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing ",33,3336,Manufacturing — Machinery/Electronics/Transport Eq,17454,USA,ok
