program_refined,work_type_primary,n_actions,total_dollars_usd,pop_biw_pct_w,pop_ingalls_pct_w,pop_other_us_pct_w,pop_foreign_pct_w
non_ddg,other,236,33194539106.0,0.01,19.53,72.08,0.0
non_ddg,lltm_early_mfg,20,22344314577.0,0.0,13.49,86.51,0.0
non_ddg,lead_yard,50,21013217347.0,0.22,1.41,96.75,0.12
non_ddg,design,34,10008142388.0,0.0,0.08,90.44,0.0
non_ddg,sustainment_maintenance,84,8630300454.0,0.02,6.73,64.36,0.0
non_ddg,advance_procurement,2,5833272949.0,0.0,0.0,100.0,0.0
non_ddg,construction,30,4264398262.0,0.0,38.46,51.34,0.0
ddg_gfe_aegis,component_procurement,74,3547832703.0,0.66,0.71,85.99,0.0
non_ddg,fms,51,3139213347.0,0.34,2.39,87.17,0.0
non_ddg,repair_overhaul,24,2886476868.0,0.0,0.0,83.69,0.0
ddg_gfe_weapons,other,26,2817650440.0,0.0,0.0,89.98,0.0
non_ddg,engineering,42,2115728637.0,0.0,1.17,88.67,0.0
ddg_repair,repair_overhaul,23,2004288497.0,0.0,0.0,95.38,0.0
ddg_gfe_radar,component_procurement,7,1475101957.0,0.0,0.0,81.99,0.0
ddg_gfe_weapons,fms,11,1411417376.0,0.0,0.0,92.18,0.0
non_ddg,sib_supplier_dev,2,1102744506.0,0.0,0.0,0.0,0.0
ddg51,construction,20,1014015677.0,76.48,6.71,7.78,0.0
non_ddg,component_procurement,19,661120902.0,0.0,1.49,91.92,0.0
ddg_gfe_weapons,lead_yard,13,612583215.0,0.0,0.0,96.12,0.0
ddg_gfe_vls,component_procurement,16,533390817.0,0.21,0.21,95.04,0.0
ddg51,lead_yard,1,282885933.0,0.0,100.0,0.0,0.0
ddg_gfe_combat_systems,component_procurement,8,252520154.0,0.0,0.0,100.0,0.0
ddg_gfe_propulsion,component_procurement,7,192193229.0,0.0,0.0,19.17,0.0
ddg_gfe_weapons,component_procurement,4,174589862.0,0.0,0.0,82.74,0.0
ddg_gfe_guns,component_procurement,5,117440466.0,0.0,0.0,100.0,0.0
ddg51,other,3,61574853.0,0.0,0.0,58.45,0.0
ddg51,sustainment_maintenance,3,61477773.0,0.0,0.0,100.0,0.0
ddg_gfe_combat_systems,engineering,2,59407839.0,0.0,0.0,100.0,0.0
ddg51,engineering,1,47458616.0,0.0,0.0,15.0,0.0
ddg_gfe_combat_systems,lead_yard,2,44075933.0,0.0,0.0,100.0,0.0
ddg_gfe_vls,fms,2,29312236.0,0.0,0.0,100.0,0.0
ddg_gfe_combat_systems,other,2,23365474.0,0.0,0.0,0.0,0.0
ddg_gfe_weapons,engineering,1,18468273.0,0.0,0.0,99.0,0.0
ddg_gfe_vls,engineering,1,12584393.0,0.0,0.0,0.0,0.0
non_ddg,facilities,1,11048000.0,0.0,0.0,100.0,0.0
