company,fy,quarter,file,category,speaker,matched_phrase,context
HII,2020,2,FY2020_Q2_fool.txt,our_suppliers,,our suppliers were going to be doing the same thing,"I do think that we said we were going to be working near-term milestones, given the attendance. We're going to be working near-term milestones at the expense of long-term ones. And we thought our suppliers were going to be doing the same thing. And so we're kind of working our way through that now.

But I'll go back to where we stand today, we have a pretty predictable, sustainable understanding of the effort that we have and the protocols we have in place. And so we can now start to predict how the business is going to go forward. I would not tell you that we're going to make up all the milestones from Q2 by the end of the year."
HII,2020,3,FY2020_Q3_fool.txt,our_suppliers,,"Our supply chain in support of all of shipbuilding, but particularly our nuclear enterprise, it's very capable, but it's also kind of thin","ying to do it all vertically inside the shipyards.

And then I think where you have to -- you really have to be focused if you're going to get it there is you got to get the supply chain up to speed. Our supply chain in support of all of shipbuilding, but particularly our nuclear enterprise, it's very capable, but it's also kind of thin. And so you really need to have a persistent, consistent, sustainable set of messaging to the industry that you're going to sustain this rate for significant time to create or attract the investment in technology, capital and people that the supply chain is going to need to go do. I think the shipyards are ahead of that. I know Newport News is ahead of that."
HII,2021,3,FY2021_Q3_fool.txt,our_suppliers,,our supply chain and we expect to have more to share during the fourth quarter earnings call in February,"We will continue to evaluate how the vaccine mandate and delta variant impact our workforce as well as material availability from our supply chain and we expect to have more to share during the fourth quarter earnings call in February. And finally, let me recap what HII has done from a portfolio shaping perspective over the past 20 months. In short, we have done exactly what we said we would do during our February 2020 Investor Day.

First, we have positioned the Technical Solutions business in growth markets that support the constantly evolving requirements of our customers. And second, we have demonstrated the financial flex"
HII,2021,3,FY2021_Q3_fool.txt,our_suppliers,,our supply chain to see how the material flows here,"We have a keynote right now with the DEO and the mandate and how that's changing very dynamic situation there as well as keeping an eye on our supply chain to see how the material flows here. But it's just timing right now as we see the outlook. And as I said, it's still in the range that we gave you at the beginning of the year.

Myles Walton -- UBS -- Analyst

Okay. Okay. And what is the percent of the workforce that's currently vaccinated? And if there were pervasions, is it covered in your contracts because it's a new requirements being placed upon you?

Mike Petters -- President"
HII,2022,4,FY2022_Q4_yahoo_partial.txt,our_suppliers,,"our supply chain, that non-programmatic impact from inflation continue to abate, and most importantly, that we are able to continue to hire and retain employees at a pace that supports our staffing pl","The outlook we are providing today is based on the best information we currently have and assumes no further degradation in our supply chain, that non-programmatic impact from inflation continue to abate, and most importantly, that we are able to continue to hire and retain employees at a pace that supports our staffing plan. Additionally, on slide 10, we have provided our updated outlook for a number of other discrete items to assist with your modeling.

On slide 11, we have provided an update -- updated view on our free cash flow expectations through 2024, consistent with how we presented this data in the third quarter, this outlook assumes the current R&D amortization treatment for tax purposes remains in place an"
HII,2023,1,FY2023_Q1_insidermonkey.txt,pct_outsource,,"7% shipbuilding versus 6, 7, and we had that discussion early on the outsourc","Ingalls is 14 up of the 9. MT is 4 up that now it’s 18 up, and then the Newport News is cumulatively down $9 million. And really, that $9 million is the preponderance of a 7% shipbuilding versus 6, 7, and we had that discussion early on the outsourcing of CVN 80.

George Shapiro : Okay. And then one last one if I can get in here. Can you mention what drives the more negative free cash flow in the second quarter? And then what drives the almost doubling of your free cash flow in ’24 after 3 years of relatively similar numbers?

Tom Stiehle: Yes. So for the free cash flow, there’s a rhythm in a cycle that we have."
HII,2024,1,FY2024_Q1_yahoo_partial.txt,our_suppliers,,our supply chain experiencing the same labor challenges continue to impact our programs,"From an operational standpoint, to access the skilled manufacturing labor coupled with our supply chain experiencing the same labor challenges continue to impact our programs.

In that regard, we hired over 1,700 craft personnel in the first quarter, which puts us on track to achieve our full year plan of approximately 6,000. Also in the first quarter, both of our shipyards held apprentice graduations celebrating over 230 graduates across HII who are and will become the leaders in their crafts. We continue to maintain our focus on workforce retention and development a"
HII,2024,2,FY2024_Q2_insidermonkey.txt,our_outsource,,Our outsourc,"mproving, but we’re thinking about it more broadly from a labor standpoint, an execution standpoint, attrition — excuse me, attendance and over time, both have recovered. We’re performing well there. Our outsourcing programs are executing well and industrial-based funding is being applied where it’s necessary to increase the industrial base. So it’s not just labor. We need to execute on our programs independent of how attrition is working. We’ll continue to work on our attrition issues.

 We’ll work on salary, flexibility, recruiting in the right places. But we’re having to go where labor is."
HII,2024,3,FY2024_Q3_insidermonkey.txt,outsource_pct,,outsourcing over 1 million hours in 2024 and plan to increase that by over 30%,"dustrial base and takes the work to where there is additional workforce and investing in new industry 4.0 technologies, including additive manufacturing and digital engineering. As an example, we are outsourcing over 1 million hours in 2024 and plan to increase that by over 30% in 2025. We are committed to growing the manufacturing ecosystem necessary to build these ships. Additionally, we are reviewing costs across all three divisions to remain competitive and meet our cost objectives. This enterprise-wide review includes a thorough evaluation of our overhead costs and support costs to ensure that each element supports our customer requirements."
HII,2024,3,FY2024_Q3_insidermonkey.txt,our_suppliers,,"our supply chain, which needs dollars, which will assist us as far as I mentioned in Q1 and Q2 calls, those new contract awards bring equity in terms of margin and cash for investments and they facili","on the existing work and then it’s the modification — the new awards, as Chris said, is it business-as-usual or as we kind of look for additional investments in labor and capacity and throughput and our supply chain, which needs dollars, which will assist us as far as I mentioned in Q1 and Q2 calls, those new contract awards bring equity in terms of margin and cash for investments and they facilitate unlocking the value of the existing contracts that we have the funds that are on there.

 So it’s a fairly decent swinger on changing the trajectory of performance, capacity, and throughput and the recovery and the improvement going forward and we just have to see how that plays out over the next couple of quarters.

Noah Poponak: Okay. I appreciate it. Thank you.

Tom Stiehle: Thanks, Noah."
HII,2025,1,FY2025_Q1_insidermonkey.txt,pct_outsource,Myles Walton,35% increase in outsourc,"0, which is a bit south of where we wanted to be, but it’s consistent with our strategy and attrition is a bit better in both shipyards, which is very positive.

Myles Walton: Okay. And regarding the 35% increase in outsourcing, can you comment on where you are with respect to that and sort of how the performance quality is looking from what you’re outsourcing?

Chris Kastner: Actually, the way we’ve executed on our outsourcing program has been very positive. We had some tough lessons learned back at Ingalls and outsourcing in the early 2000s. And we’ve used those lessons learned and applied them at both shipyards."
HII,2025,1,FY2025_Q1_insidermonkey.txt,our_suppliers,,"our suppliers, which is scheduled throughout the summer, we anticipate an acceleration of progress","that is to be installed in the whole of the ship.

 These delays directly impact the construction approach and have limited the progress we can make on the ship. Once this equipment is received from our suppliers, which is scheduled throughout the summer, we anticipate an acceleration of progress. Additionally, for both shipyards, our outsourcing efforts continue, and we expect this to ramp throughout the year to support our throughput goals. Our South Carolina production facility is online and has already completed the first carrier unit for Newport News. The team remains focused on meeting our delivery schedules and is working with the Navy to identify additional initiatives that will a"
HII,2025,1,FY2025_Q1_insidermonkey.txt,our_outsource,,our outsourc,"Once this equipment is received from our suppliers, which is scheduled throughout the summer, we anticipate an acceleration of progress. Additionally, for both shipyards, our outsourcing efforts continue, and we expect this to ramp throughout the year to support our throughput goals. Our South Carolina production facility is online and has already completed the first carrier unit for Newport News. The team remains focused on meeting our delivery schedules and is working with the Navy to identify additional initiatives that will accelerate scheduled performance."
HII,2025,1,FY2025_Q1_insidermonkey.txt,our_outsource,Chris Kastner,our outsourc,"outsourcing, can you comment on where you are with respect to that and sort of how the performance quality is looking from what you’re outsourcing?

Chris Kastner: Actually, the way we’ve executed on our outsourcing program has been very positive. We had some tough lessons learned back at Ingalls and outsourcing in the early 2000s. And we’ve used those lessons learned and applied them at both shipyards. So, the quality is pretty good. We do pilots in these manufacturing yards before they actually execute work at scale, and we learned through that process, they’ve done that."
HII,2025,4,FY2025_Q4_fool.txt,outsource_pct,,Outsourcing -- Doubled year over year in fiscal 2025 and planned to increase by 30%,"cted at 4%-5% of sales ($500 million-$600 million).

Employees -- Over 6,600 new shipbuilders hired in fiscal 2025, supporting a 14% throughput increase, with similar hiring planned for fiscal 2026.

Outsourcing -- Doubled year over year in fiscal 2025 and planned to increase by 30% in fiscal 2026 to drive distributed shipbuilding.

Backlog and funding -- Congressional appropriations for fiscal 2026 include support for CVNs 82 and 83, incremental funding for Columbia class submarines, and production authority for Virginia class components.

Medium-term revenue guidance -- Increased to 6% CAGR for consolidated revenues, reflecting higher expectations for shipbuilding and Miss"
HII,2025,4,FY2025_Q4_fool.txt,outsource_pct,,"outsourcing year-over-year in 2025, we are planning to increase outsourcing by another 30%","We also plan to continue to ramp our distributed shipbuilding strategy. While we doubled outsourcing year-over-year in 2025, we are planning to increase outsourcing by another 30% in 2026.

Our second operational initiative in 2025 was a reduction target of $250 million, which we met by removing mostly overhead and support labor costs for improved efficiency. Lastly, we expect several shipbuilding contract awards in 2026, including Virginia class block six, Columbia bill two, CVN 75 RCOH, and CVN 82 longleaf material. Regarding capital allocation, we have historically take"
HII,2025,4,FY2025_Q4_fool.txt,outsource_pct,,outsourcing by 100%,"We've established over 23 vendors last year, and there's more to follow going forward. You can see from our earnings release, we're gonna increase we've increased outsourcing by 100% last year. We have a 30% targeted this year. So the inflection that we've discussed is happening right now. The guide right now at 6% is probably a conservative guide, but the beginning of the year. Let's get into it.

We've beaten that the last two quarters, and we'll see, you know, that we can continue hiring, retention, and outsourcing.

Doug Harned: Very good. Thank you."
HII,2025,4,FY2025_Q4_fool.txt,supplier_pct,,"supply chain, we've established our 2026 target to increase throughput by another 15%","In 2025, we set out to improve throughput and achieve a 14% year-over-year increase.

As we continue to invest with our customer partner, in our workforce, facilities, technology, and supply chain, we've established our 2026 target to increase throughput by another 15%. Supporting the throughput increase, we hired over 6,600 shipbuilders in 2025 and expect to hire at least this many in 2026. Given recent investments in wages and workforce, we expect continued improvement in our retention rate and will continue to develop our workforce to maximize productivity. We also plan to continue to ramp our distributed shipbuilding strategy."
HII,2025,4,FY2025_Q4_fool.txt,pct_outsource,,5% for fiscal 2026 and higher overtime and outsourc,"enabling execution of high-priority Navy and Coast Guard programs.

Shipbuilding margin expansion remains constrained by milestone timing, mix, and labor costs, with margins guided between 5.5% and 6.5% for fiscal 2026 and higher overtime and outsourcing costs currently suppressing profitability.

Debut of the Romulus unmanned surface vessel family and continued investments in autonomous and unmanned systems represents a strategic technology emphasis within Mission Technologies.

Industry glossary

Remus: A line of autonomous underwater vehicles developed and delivered by Huntington Ingalls Industries, often used for naval and defense applicat"
HII,2025,4,FY2025_Q4_insidermonkey.txt,outsource_pct,,outsourcing by 100%,"You can see from our earnings release, we’re gonna increase we’ve increased outsourcing by 100% last year. We have a 30% targeted this year. So the inflection that we’ve discussed is happening right now. The guide right now at 6% is probably a conservative guide, but the beginning of the year. Let’s get into it. We’ve beaten that the last two quarters, and we’ll see, you know, that we can continue hiring, retention, and outsourcing.

Doug Harned: Very good. Thank you."
HII,2025,4,FY2025_Q4_insidermonkey.txt,supplier_pct,,"supply chain, we’ve established our 2026 target to increase throughput by another 15%","In 2025, we set out to improve throughput and achieve a 14% year-over-year increase. As we continue to invest with our customer partner, in our workforce, facilities, technology, and supply chain, we’ve established our 2026 target to increase throughput by another 15%.

 Supporting the throughput increase, we hired over 6,600 shipbuilders in 2025 and expect to hire at least this many in 2026. Given recent investments in wages and workforce, we expect continued improvement in our retention rate and will continue to develop our workforce to maximize productivity. We also plan to continue to ramp our distributed shipbuilding strategy."
HII,2026,1,FY2026_Q1_fool.txt,outsource_pct,Shipbuilding Throughput,Outsourcing Hours -- Expected to grow by 30%,"in the quarter, with apprentice schools at full enrollment.

Shipbuilding Throughput -- On track for approximately 15% throughput improvement for the full year, in line with operational initiatives.

Outsourcing Hours -- Expected to grow by 30% year over year, supporting capacity expansion.

Guidance Reaffirmation -- Management reaffirmed all guidance elements for 2026, and the medium-term outlook.

Q2 Outlook -- Shipbuilding revenue projected at $2.4 billion, shipbuilding operating margins between 5.7% and 6%, Mission Technologies revenue at approximately $750 million, and operating margin near 4%.

Effective Tax Rate -- 20."
HII,2026,1,FY2026_Q1_fool.txt,outsource_pct,,outsourcing hours year over year by 30%,"talysts, while the company highlighted medium-term upside from battleship and frigate program developments.

Kastner explained the company's distributed shipbuilding strategy is ""on track to grow our outsourcing hours year over year by 30%,"" supporting customer program delivery.

Wilkinson noted Newport News Shipbuilding's Charleston operations contributed nearly ""0.5 million earned hours of progress"" in its first year, with plans to double throughput in 2026.

Stiehle referenced ""guidance for 2026 is predicated on achieving the shipbuilding throughput improvements that we've outlined as well as reaching agreement on the next Virgi"
HII,2026,1,FY2026_Q1_fool.txt,outsource_pct,,outsourcing hours year-over-year by 30%,"Leveraging our distributed shipbuilding strategy, we are on track to grow our outsourcing hours year-over-year by 30%, and we will continue to identify capacity expansion opportunities to meet customer program demand requirements. The third operational initiative of securing new contract awards is on track, and we are making good progress on the VCS Block VI and the next Columbia contract with awards expected in the second quarter. Shifting to activities in Washington."
