rank,uei,vendor,foreign,amount_M_lifetime,records,fy_count,fys,piid_count,piids
1,W8PTMRME1496,LEONARDO SPA,Yes,1810.2595,448,13,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026",21,"N0002411C2307,N0002411C2309,N0002413C2305,N0002413C2307,N0002413C5116,N0002413C5314,N0002413C5325,N0002414C4313,N0002414C5104,N0002414C5106,N0002414C5114,N0002415C5151,N0002415C5332,N0002418C2305,N0002418C2307,N0002419C2322,N0002419C4452,N0002420C5310,N0002420C5519,N0002423C2307,N0017415C0009"
2,CY16XXPHX213,ARCTIC SLOPE REGIONAL CORPORATION,,987.4426,381,8,"2017,2018,2019,2020,2021,2022,2023,2024",6,"N0002413C5116,N0002414C5104,N0002414C5114,N0002416C5103,N0002419C5102,N0002420C5105"
3,YHJESY2TDP23,MAJOR TOOL AND MACHINE INC,,816.1143,53,6,"2014,2015,2019,2020,2021,2022",3,"N0002412C5311,N0002415C5332,N0002420C5310"
4,VF58HFRNGEL8,GENERAL DYNAMICS CORPORATION,Yes,372.0111,146,8,"2014,2016,2018,2019,2020,2021,2022,2023",14,"N0002413C2307,N0002413C5325,N0002414C5104,N0002415C5151,N0002415C5332,N0002416C5103,N0002417C4109,N0002419C2322,N0002419C5102,N0002420C4468,N0002420C5105,N0002420C5310,N0002422C5500,N0017415C0009"
5,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,,335.5685,34,5,"2021,2022,2023,2024,2025",7,"N0002413C2305,N0002413C2307,N0002418C2307,N0002419C2322,N0002419C4452,N0002420C4400,N0002423C2307"
6,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,,257.2133,100,8,"2017,2018,2019,2020,2021,2022,2023,2024",10,"N0002411C2307,N0002411C2309,N0002413C2305,N0002413C2307,N0002414C4313,N0002418C2307,N0002419C2322,N0002420C4400,N0002420C4468,N0002422C4485"
7,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,,249.2584,59,8,"2018,2019,2020,2021,2022,2023,2024,2026",7,"N0002413C2307,N0002414C4313,N0002414C5114,N0002418C2307,N0002419C4452,N0002422C5500,N0002423C2307"
8,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",,178.2302,46,5,"2022,2023,2024,2025,2026",6,"N0002413C2305,N0002413C2307,N0002418C2305,N0002418C2307,N0002419C2322,N0002423C2307"
9,HHBLV49BQUY5,"ADVANCED SCIENCES AND TECHNOLOGIES, LLC",,173.9504,349,8,"2018,2019,2020,2021,2022,2023,2024,2025",7,"N0002413C5116,N0002414C5114,N0002415C5151,N0002415C5332,N0002416C5103,N0002419C5102,N0002420C5105"
10,KUC6XT7KEXN3,CAES SYSTEMS LLC,,169.1834,7,4,"2022,2023,2024,2025",1,N0002422C5500
11,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,,169.0458,5,2,"2024,2025",2,"N0002413C2307,N0002423C2307"
12,UXEGD3WECED5,"EXTREME ENGINEERING SOLUTIONS, INC.",,151.9162,44,6,"2018,2019,2020,2021,2022,2023",5,"N0002414C5106,N0002414C5114,N0002416C5103,N0002419C5102,N0002420C5105"
13,E582KXT4RVH6,"SUPERIOR ELECTROMECHANICAL COMPONENT SERVICE, INC.",,146.2616,42,7,"2019,2020,2021,2022,2023,2024,2026",6,"N0002413C5314,N0002415C5332,N0002420C5310,N0002420C5380,N0002423C5325,N0002424C5324"
14,GC7MKAN5DG35,IN-DEPTH ENGINEERING CORPORATION,,137.7910,214,7,"2019,2020,2021,2022,2023,2024,2025",6,"N0002413C5116,N0002414C5104,N0002415C5151,N0002416C5103,N0002419C5102,N0002420C5105"
15,GA9GS8RRMSS9,MAJOR TOOL & MACHINE INC,,131.7774,18,4,"2020,2022,2023,2024",4,"N0002415C5332,N0002420C5310,N0002422C5500,N0002423C5325"
16,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,,119.9552,50,7,"2016,2017,2018,2019,2020,2021,2022",7,"N0002413C2305,N0002413C2307,N0002413C5132,N0002413C5325,N0002418C2307,N0002420C4400,N0002421C5393"
17,ZA7HPV7XXUE3,MERRILL TOOL HOLDING COMPANY,,95.8757,47,11,"2013,2014,2015,2016,2019,2020,2021,2022,2023,2025,2026",9,"N0002412C5311,N0002413C5325,N0002415C5332,N0002420C5310,N0002421C5393,N0002422C5500,N0002423C5325,N0017415C0009,N0017419C0004"
18,WJZCK5XK7UC7,GOLDEN STAR TECHNOLOGY INC,,87.5991,20,5,"2020,2022,2023,2024,2025",1,N0002422C5500
19,YGXMYQKELLZ4,"HANWHA SYSTEMS CO., LTD.",Yes,84.4424,12,2,"2020,2021",1,N0002419C5102
