fy,quarter,call_date,source,url,txt_size_chars,filename
2020,1,2020-04-29,fool,https://www.fool.com/earnings/call-transcripts/2020/04/29/general-dynamics-corp-gd-q1-2020-earnings-call-tra.aspx,43716,FY2020_Q1_fool.txt
2020,2,2020-07-29,fool,https://www.fool.com/earnings/call-transcripts/2020/07/30/general-dynamics-gd-q2-2020-earnings-call-transcri.aspx,43322,FY2020_Q2_fool.txt
2020,3,2020-10-28,fool,https://www.fool.com/earnings/call-transcripts/2020/10/28/general-dynamics-gd-q3-2020-earnings-call-transcri/,45411,FY2020_Q3_fool.txt
2020,4,2021-01-27,fool,https://www.fool.com/earnings/call-transcripts/2021/01/27/general-dynamics-gd-q4-2020-earnings-call-transcri/,54046,FY2020_Q4_fool.txt
2021,1,2021-04-28,fool,https://www.fool.com/earnings/call-transcripts/2021/04/28/general-dynamics-gd-q1-2021-earnings-call-transcri/,43793,FY2021_Q1_fool.txt
2021,2,2021-07-29,fool,https://www.fool.com/earnings/call-transcripts/2021/07/29/general-dynamics-gd-q2-2021-earnings-call-transcri/,42210,FY2021_Q2_fool.txt
2021,3,2021-10-28,fool,https://www.fool.com/earnings/call-transcripts/2021/10/28/general-dynamics-gd-q3-2021-earnings-call-transcri/,41185,FY2021_Q3_fool.txt
2021,4,2022-01-26,fool,https://www.fool.com/earnings/call-transcripts/2022/01/26/general-dynamics-gd-q4-2021-earnings-call-transcri/,50463,FY2021_Q4_fool.txt
2022,1,2022-04-27,fool,https://www.fool.com/earnings/call-transcripts/2022/04/27/general-dynamics-gd-q1-2022-earnings-call-transcri/,47899,FY2022_Q1_fool.txt
2022,2,2022-07-27,fool,https://www.fool.com/earnings/call-transcripts/2022/07/27/general-dynamics-gd-q2-2022-earnings-call-transcri/,54704,FY2022_Q2_fool.txt
2022,3,2022-10-26,fool,https://www.fool.com/earnings/call-transcripts/2022/10/26/general-dynamics-gd-q3-2022-earnings-call-transcri/,46954,FY2022_Q3_fool.txt
2022,4,2023-01-25,fool,https://www.fool.com/earnings/call-transcripts/2023/01/25/general-dynamics-gd-q4-2022-earnings-call-transcri/,51558,FY2022_Q4_fool.txt
2023,2,2023-07-26,fool,https://www.fool.com/earnings/call-transcripts/2023/07/26/general-dynamics-gd-q2-2023-earnings-call-transcri/,45514,FY2023_Q2_fool.txt
2023,3,2023-10-25,fool,https://www.fool.com/earnings/call-transcripts/2023/10/25/general-dynamics-gd-q3-2023-earnings-call-transcri/,50285,FY2023_Q3_fool.txt
2023,4,2024-01-24,fool,https://www.fool.com/earnings/call-transcripts/2024/01/24/general-dynamics-gd-q4-2023-earnings-call-transcri/,48849,FY2023_Q4_fool.txt
2024,1,2024-04-24,fool,https://www.fool.com/earnings/call-transcripts/2024/04/24/general-dynamics-gd-q1-2024-earnings-call-transcri/,44289,FY2024_Q1_fool.txt
2024,2,2024-07-24,fool,https://www.fool.com/earnings/call-transcripts/2024/07/24/general-dynamics-gd-q2-2024-earnings-call-transcri/,44870,FY2024_Q2_fool.txt
2024,3,2024-10-23,fool,https://www.fool.com/earnings/call-transcripts/2024/10/23/general-dynamics-gd-q3-2024-earnings-call-transcri/,47076,FY2024_Q3_fool.txt
2024,4,2025-01-29,fool,https://www.fool.com/earnings/call-transcripts/2025/01/29/general-dynamics-gd-q4-2024-earnings-call-transcri/,44999,FY2024_Q4_fool.txt
2025,2,2025-08-05,fool,https://www.fool.com/earnings/call-transcripts/2025/08/05/general-dynamics-gd-q2-2025-earnings-transcript/,49143,FY2025_Q2_fool.txt
2025,4,2026-01-28,fool,https://www.fool.com/earnings/call-transcripts/2026/01/28/general-dynamics-gd-q4-2025-earnings-transcript/,49922,FY2025_Q4_fool.txt
2026,1,2026-04-29,fool,https://www.fool.com/earnings/call-transcripts/2026/04/29/general-dynamics-gd-q1-2026-earnings-transcript/,44405,FY2026_Q1_fool.txt
