fy,quarter,source,keyword,snippet
2019,4,fool,Ingalls (reverse),"$18 Million More

May 22, 2026 •By Eric VolkmanWhy IBM Stock Was Rocking it This Week

Stocks Mentioned

Huntington Ingalls"
2020,2,fool,Ingalls,"Ingalls is positive $13 million, and TS is positive $2 million"
2020,2,fool,Ingalls (reverse),"$56 million unfavorable adjustments, and I guess is at Ingalls, the margin at Ingalls"
2020,3,fool,Ingalls,Ingalls' revenues in the quarter were $675 million
2020,3,fool,Ingalls,Ingalls' operating income was $62 million
2020,3,fool,Ingalls,Ingalls was positive $16 million
2020,4,fool,Ingalls (reverse),"$88 million negative $42 million, for a net $46 million, over 90% of that net was Ingalls"
2021,1,fool,Ingalls,Ingalls revenues of $649 million in the quarter increased $20 million
2021,1,fool,Ingalls,Ingalls operating income of $91 million
2021,1,fool,Ingalls (reverse),$45 million of favorable at Ingalls
2021,2,fool,Ingalls,Ingalls was awarded a contract with a potential total value of $724 million
2021,2,fool,Ingalls,Ingalls revenues in the quarter of $670 million increased $48 million
2021,2,fool,Ingalls,Ingalls operating income of $80 million
2021,2,fool,Ingalls (reverse),$926 million service award at Ingalls
2021,3,fool,DDG (reverse),"$628 million decreased $47 million or 7% from the same period last year, driven primarily by lower revenues on the NSE, DDG"
2021,3,fool,Ingalls,Ingalls revenues in the quarter of $628 million decreased $47 million
2021,3,fool,Ingalls,Ingalls operating income of $62 million
2022,4,yahoo_partial,Ingalls,Ingalls' 2022 revenues of $2.6 billion
2022,4,yahoo_partial,Ingalls,Ingalls' 2022 operating income of $292 million
2023,2,insidermonkey,Ingalls,Ingalls or 85% and $3.9 million
2023,2,insidermonkey,Ingalls (reverse),$17 million Ingalls
2023,3,insidermonkey,DDG (reverse),$155 million contract for the modernization of USS Zumwalt DDG
2023,3,insidermonkey,Ingalls,Ingalls contract awards this quarter included a $155 million
2023,3,insidermonkey,Ingalls,Ingalls revenues of $711 million in the quarter increased to $88 million
2023,3,insidermonkey,Ingalls,Ingalls operating income of $73 million
2023,3,insidermonkey,Arleigh (reverse),"$155 million contract for the modernization of USS Zumwalt DDG 1000, and the significant award of seven of ten Flight III Arleigh"
2023,3,insidermonkey,Flight III (reverse),"$155 million contract for the modernization of USS Zumwalt DDG 1000, and the significant award of seven of ten Flight III"
2023,4,insidermonkey,Ingalls,Ingalls’ operating income of $362 million
2024,1,yahoo_partial,Ingalls,Ingalls revenues of $655 million in the quarter increased $78 million
2024,1,yahoo_partial,Ingalls,Ingalls operating income of $60 million
2024,2,insidermonkey,Ingalls,Ingalls revenues of $712 million in the quarter increased $48 million
2024,2,insidermonkey,Ingalls,Ingalls operating income for the quarter was $56 million
2024,3,insidermonkey,Ingalls,"Ingalls Shipbuilding, we received the $9.6 billion"
2024,3,insidermonkey,Ingalls,Ingalls revenues of $664 million in the quarter decreased $47 million
2024,3,insidermonkey,Ingalls,Ingalls’ operating income in the quarter was $49 million
2024,3,insidermonkey,Ingalls (reverse),$9.6 billion award in the court at Ingalls
2025,1,insidermonkey,Ingalls,Ingalls revenues of $637 million
2025,2,insidermonkey,DDG (reverse),$11.9 billion included DDG
2025,2,insidermonkey,destroyer,"destroyers, funding for the amphibious warship bundle, funding for expansion of USV, UUV production and $4.9 billion"
2025,2,insidermonkey,destroyer (reverse),$4 million and included positive adjustments related to the destroyer
2025,2,insidermonkey,Ingalls,Ingalls revenues of $724 million
2025,2,insidermonkey,Ingalls,"Ingalls, segment operating income was $54 million"
2025,2,insidermonkey,Ingalls,Ingalls was a positive $4 million
2025,2,insidermonkey,Arleigh,"Arleigh Burke destroyers, funding for the amphibious warship bundle, funding for expansion of USV, UUV production and $4.9 billion"
2025,3,fool,Ingalls,Ingalls Shipbuilding Revenue -- $828 million
2025,3,fool,Ingalls,"Ingalls in Q3 2025, negative $13 million for Newport News, and positive $4 million"
2025,3,fool,Ingalls,Ingalls revenues were a record $828 million
2025,3,fool,Ingalls,"Ingalls, segment operating income was $65 million"
2025,3,fool,Ingalls,Ingalls was a positive $6 million
2025,3,fool,Ingalls (reverse),$6 million for Ingalls
2025,3,fool,Ingalls (reverse),$3.2 billion were a record for Huntington Ingalls
2025,4,fool,Ingalls,Ingalls Shipbuilding revenue -- $3.1 billion
2025,4,fool,Ingalls,"Ingalls at positive $16 million, and Mission Technologies at positive $20 million"
2025,4,fool,Ingalls,Ingalls' fourth quarter 2025 revenues of $889 million increased $153 million
2025,4,fool,Ingalls,Ingalls' fourth quarter 2025 operating income of $68 million
2025,4,fool,Ingalls,Ingalls' revenues of $3.1 billion
2025,4,fool,Ingalls,Ingalls' operating income of $233 million
2025,4,fool,Ingalls,Ingalls of approximately $16 million and Mission Technologies of approximately $20 million
2025,4,fool,Ingalls (reverse),"$28 million, with Newport News at negative $64 million, Ingalls"
2025,4,insidermonkey,Ingalls,Ingalls’ fourth quarter 2025 revenues of $889 million increased $153 million
2025,4,insidermonkey,Ingalls,Ingalls’ fourth quarter 2025 operating income of $68 million
2025,4,insidermonkey,Ingalls,Ingalls’ revenues of $3.1 billion
2025,4,insidermonkey,Ingalls,Ingalls’ operating income of $233 million
2025,4,insidermonkey,Ingalls,Ingalls of approximately $16 million and Mission Technologies of approximately $20 million
2026,1,fool,Ingalls,Ingalls Shipbuilding Revenue -- $725 million
2026,1,fool,Ingalls,"Ingalls, and $9 million"
2026,1,fool,Ingalls,"Ingalls, segment operating income was $49 million"
2026,1,fool,Ingalls,Ingalls was a negative $3 million
2026,1,fool,Ingalls (reverse),$3 million at Ingalls
2026,1,insidermonkey,Ingalls,"Ingalls, segment operating income was $49 million"
2026,1,insidermonkey,Ingalls,Ingalls was a negative $3 million
