fy,quarter,source,file,chars,n_Aegis,n_Arleigh,n_Columbia,n_DDG,n_Flight III,n_Ingalls,n_LHA,n_LPD,n_MYP,n_NSC,n_Newport News,n_Pascagoula,n_SPY-6,n_Virginia,n_backlog,n_destroyer,n_multi-year,n_submarine
2019,4,fool,FY2019_Q4_fool.txt,56766,0,0,9,2,0,10,2,2,0,2,13,0,0,6,10,2,0,9
2020,2,fool,FY2020_Q2_fool.txt,56568,0,0,0,7,1,11,1,3,0,2,15,1,0,7,17,1,0,3
2020,3,fool,FY2020_Q3_fool.txt,57377,0,0,1,5,1,12,1,4,0,4,12,0,0,7,3,1,0,5
2020,4,fool,FY2020_Q4_fool.txt,57188,0,0,2,7,4,13,1,8,0,2,8,0,0,6,8,3,0,7
2021,1,fool,FY2021_Q1_fool.txt,57938,0,0,1,4,1,24,11,8,0,1,11,0,0,1,5,2,0,6
2021,2,fool,FY2021_Q2_fool.txt,44657,0,2,3,12,1,22,11,8,0,1,15,0,0,9,1,3,0,6
2021,3,fool,FY2021_Q3_fool.txt,46932,0,1,2,10,1,11,5,6,0,3,12,0,0,3,4,5,0,7
2022,4,yahoo_partial,FY2022_Q4_yahoo_partial.txt,20644,0,0,3,10,2,8,5,4,0,2,4,0,0,4,2,0,0,3
2023,1,insidermonkey,FY2023_Q1_insidermonkey.txt,34915,0,0,0,0,0,8,0,1,0,0,5,0,0,4,2,0,0,0
2023,2,insidermonkey,FY2023_Q2_insidermonkey.txt,40817,0,0,2,3,0,11,5,4,0,0,4,0,0,2,0,0,0,0
2023,3,insidermonkey,FY2023_Q3_insidermonkey.txt,28888,0,2,2,3,2,9,2,1,0,1,7,0,0,3,5,2,1,2
2023,4,insidermonkey,FY2023_Q4_insidermonkey.txt,34150,0,0,2,3,1,7,1,7,0,1,4,0,0,2,2,0,0,3
2024,1,yahoo_partial,FY2024_Q1_yahoo_partial.txt,12504,0,2,2,1,0,10,0,2,0,0,5,0,0,4,2,0,0,5
2024,2,insidermonkey,FY2024_Q2_insidermonkey.txt,53761,0,0,1,4,1,15,2,5,0,0,5,0,0,8,4,0,0,2
2024,3,insidermonkey,FY2024_Q3_insidermonkey.txt,80285,1,0,5,2,1,21,1,2,0,0,15,0,0,6,6,1,2,17
2024,4,insidermonkey,FY2024_Q4_insidermonkey.txt,36835,0,0,3,0,0,7,0,0,0,0,3,0,0,2,0,0,0,1
2025,1,insidermonkey,FY2025_Q1_insidermonkey.txt,56649,2,1,10,2,0,19,0,2,0,0,14,0,0,7,6,0,0,7
2025,2,insidermonkey,FY2025_Q2_insidermonkey.txt,49251,0,1,7,4,0,15,3,4,0,0,14,0,0,8,1,3,0,5
2025,3,fool,FY2025_Q3_fool.txt,47758,0,0,6,3,0,20,1,1,0,0,19,0,0,7,6,0,0,8
2025,4,fool,FY2025_Q4_fool.txt,67111,0,0,10,6,1,29,4,7,0,2,28,0,0,14,4,1,0,10
2025,4,insidermonkey,FY2025_Q4_insidermonkey.txt,70164,0,0,8,6,1,31,2,4,0,2,23,0,0,12,2,1,0,8
2026,1,fool,FY2026_Q1_fool.txt,48531,0,0,6,11,0,20,11,8,0,0,20,0,0,7,6,1,0,12
2026,1,insidermonkey,FY2026_Q1_insidermonkey.txt,53509,0,0,5,10,0,19,8,7,0,0,17,0,0,6,4,0,0,9
