ticker,fy,quarter,call_date,source,url,txt_size_chars,filename
RTX,2020,4,2021-01-26,fool,https://www.fool.com/earnings/call-transcripts/2021/01/26/raytheon-technologies-corp-rtx-q4-2020-earnings-ca/,55888,FY2020_Q4_fool.txt
RTX,2021,1,2021-04-27,fool,https://www.fool.com/earnings/call-transcripts/2021/04/27/raytheon-technologies-corp-rtx-q1-2021-earnings-ca/,57678,FY2021_Q1_fool.txt
RTX,2021,2,2021-07-27,fool,https://www.fool.com/earnings/call-transcripts/2021/07/27/raytheon-technologies-corp-rtx-q2-2021-earnings-ca/,58322,FY2021_Q2_fool.txt
RTX,2021,3,2021-10-26,fool,https://www.fool.com/earnings/call-transcripts/2021/10/26/raytheon-technologies-corp-rtx-q3-2021-earnings-ca/,50372,FY2021_Q3_fool.txt
RTX,2021,4,2022-01-25,fool,https://www.fool.com/earnings/call-transcripts/2022/01/25/raytheon-technologies-rtx-q4-2021-earnings-call-tr/,56358,FY2021_Q4_fool.txt
RTX,2022,1,2022-04-26,fool,https://www.fool.com/earnings/call-transcripts/2022/04/28/raytheon-technologies-rtx-q1-2022-earnings-call-tr/,53753,FY2022_Q1_fool.txt
RTX,2022,2,2022-07-26,fool,https://www.fool.com/earnings/call-transcripts/2022/07/26/raytheon-technologies-rtx-q2-2022-earnings-call-tr/,57561,FY2022_Q2_fool.txt
RTX,2022,3,2022-10-25,fool,https://www.fool.com/earnings/call-transcripts/2022/10/25/raytheon-technologies-rtx-q3-2022-earnings-call-tr/,56704,FY2022_Q3_fool.txt
RTX,2022,4,2023-01-24,fool,https://www.fool.com/earnings/call-transcripts/2023/01/24/raytheon-technologies-rtx-q4-2022-earnings-call-tr/,61124,FY2022_Q4_fool.txt
RTX,2023,2,2023-07-25,fool,https://www.fool.com/earnings/call-transcripts/2023/07/25/rtx-rtx-q2-2023-earnings-call-transcript/,60160,FY2023_Q2_fool.txt
RTX,2023,3,2023-10-24,fool,https://www.fool.com/earnings/call-transcripts/2023/10/24/rtx-rtx-q3-2023-earnings-call-transcript/,57869,FY2023_Q3_fool.txt
RTX,2023,4,2024-01-23,fool,https://www.fool.com/earnings/call-transcripts/2024/01/23/rtx-rtx-q4-2023-earnings-call-transcript/,61112,FY2023_Q4_fool.txt
RTX,2024,1,2024-04-23,fool,https://www.fool.com/earnings/call-transcripts/2024/04/23/rtx-rtx-q1-2024-earnings-call-transcript/,57934,FY2024_Q1_fool.txt
RTX,2024,2,2024-07-25,fool,https://www.fool.com/earnings/call-transcripts/2024/07/25/rtx-rtx-q2-2024-earnings-call-transcript/,62010,FY2024_Q2_fool.txt
RTX,2024,3,2024-10-22,fool,https://www.fool.com/earnings/call-transcripts/2024/10/22/rtx-rtx-q3-2024-earnings-call-transcript/,60415,FY2024_Q3_fool.txt
RTX,2024,4,2025-01-28,fool,https://www.fool.com/earnings/call-transcripts/2025/01/28/rtx-rtx-q4-2024-earnings-call-transcript/,59856,FY2024_Q4_fool.txt
RTX,2025,1,2025-04-22,fool,https://www.fool.com/earnings/call-transcripts/2026/01/26/rtx-rtx-q1-2025-earnings-call-transcript/,62054,FY2025_Q1_fool.txt
RTX,2025,2,2025-07-22,fool,https://www.fool.com/earnings/call-transcripts/2025/08/05/rtx-rtx-q2-2025-earnings-call-transcript/,59581,FY2025_Q2_fool.txt
RTX,2025,3,2025-10-21,fool,https://www.fool.com/earnings/call-transcripts/2026/01/26/rtx-rtx-q3-2025-earnings-call-transcript/,55323,FY2025_Q3_fool.txt
RTX,2025,4,2026-01-27,fool,https://www.fool.com/earnings/call-transcripts/2026/01/27/rtx-rtx-q4-2025-earnings-call-transcript/,64188,FY2025_Q4_fool.txt
RTX,2026,1,2026-04-21,fool,https://www.fool.com/earnings/call-transcripts/2026/04/21/rtx-rtx-q1-2026-earnings-call-transcript/,62086,FY2026_Q1_fool.txt
