fy_book,fy_in_note,accn,marine_systems_assets_$M,marine_systems_cost_of_sales_$M,marine_systems_op_earnings_$M,marine_systems_revenue_$M,table_format
2020,2018,0000040533-21-000010,8245,,761,8502,old
2020,2019,0000040533-21-000010,9027,,785,9183,old
2020,2020,0000040533-21-000010,9871,,854,9979,old
2021,2019,0000040533-22-000007,9027,,785,9183,old
2021,2020,0000040533-22-000007,9871,,854,9979,old
2021,2021,0000040533-22-000007,10517,,874,10526,old
2022,2020,0000040533-23-000014,9871,,854,9979,old
2022,2021,0000040533-23-000014,10517,,874,10526,old
2022,2022,0000040533-23-000014,11034,,897,11040,old
2023,2021,0000040533-24-000007,10517,,874,10526,old
2023,2022,0000040533-24-000007,11034,,897,11040,old
2023,2023,0000040533-24-000007,12457,,874,12461,old
2024,2022,0000040533-25-000008,,-10143,897,11040,new
2024,2023,0000040533-25-000008,,-11587,874,12461,new
2024,2024,0000040533-25-000008,,-13408,935,14343,new
2025,2023,0000040533-26-000006,,-11587,874,12461,new
2025,2024,0000040533-26-000006,,-13408,935,14343,new
2025,2025,0000040533-26-000006,,-15546,1177,16723,new
