LI,Class,FY,Source,Metric,Value $M,Note
2122,DDG-51,2016,P-5c,Total Ship Estimate,5043.589,
2122,DDG-51,2016,P-5c,Plan Costs,204.436,
2122,DDG-51,2016,P-5c,Basic Construction/Conversion,2472.801,
2122,DDG-51,2016,P-5c,Change Orders,127.571,
2122,DDG-51,2016,P-5c,Electronics,502.100,
2122,DDG-51,2016,P-5c,Ordnance,1443.896,
2122,DDG-51,2016,P-5c,Other Cost,73.033,
2122,DDG-51,2016,FFATA,Yard subawards BIW,0.000,SAM FSRS
2122,DDG-51,2016,FFATA,Yard subawards Ingalls,0.000,SAM FSRS
2122,DDG-51,2017,P-5c,Total Ship Estimate,3856.854,
2122,DDG-51,2017,P-5c,Plan Costs,81.454,
2122,DDG-51,2017,P-5c,Basic Construction/Conversion,2007.307,
2122,DDG-51,2017,P-5c,Change Orders,89.053,
2122,DDG-51,2017,P-5c,Electronics,346.044,
2122,DDG-51,2017,P-5c,Ordnance,1111.357,
2122,DDG-51,2017,P-5c,Other Cost,73.971,
2122,DDG-51,2017,FFATA,Yard subawards BIW,2.160,SAM FSRS
2122,DDG-51,2017,FFATA,Yard subawards Ingalls,9.860,SAM FSRS
2122,DDG-51,2018,P-5c,Total Ship Estimate,3644.571,
2122,DDG-51,2018,P-5c,Plan Costs,72.811,
2122,DDG-51,2018,P-5c,Basic Construction/Conversion,1980.253,
2122,DDG-51,2018,P-5c,Change Orders,48.959,
2122,DDG-51,2018,P-5c,Electronics,379.000,
2122,DDG-51,2018,P-5c,Ordnance,921.269,
2122,DDG-51,2018,P-5c,Other Cost,75.846,
2122,DDG-51,2018,FFATA,Yard subawards BIW,24.100,SAM FSRS
2122,DDG-51,2018,FFATA,Yard subawards Ingalls,42.460,SAM FSRS
2122,DDG-51,2019,P-5c,Total Ship Estimate,5767.938,
2122,DDG-51,2019,P-5c,Plan Costs,74.195,
2122,DDG-51,2019,P-5c,Basic Construction/Conversion,3166.044,
2122,DDG-51,2019,P-5c,Change Orders,85.449,
2122,DDG-51,2019,P-5c,Electronics,587.418,
2122,DDG-51,2019,P-5c,Ordnance,1546.010,
2122,DDG-51,2019,P-5c,Other Cost,77.216,
2122,DDG-51,2019,FFATA,Yard subawards BIW,30.140,SAM FSRS
2122,DDG-51,2019,FFATA,Yard subawards Ingalls,523.780,SAM FSRS
2122,DDG-51,2020,P-5c,Total Ship Estimate,5659.734,
2122,DDG-51,2020,P-5c,Plan Costs,75.713,
2122,DDG-51,2020,P-5c,Basic Construction/Conversion,2973.078,
2122,DDG-51,2020,P-5c,Change Orders,85.974,
2122,DDG-51,2020,P-5c,Electronics,619.780,
2122,DDG-51,2020,P-5c,Ordnance,1594.555,
2122,DDG-51,2020,P-5c,Other Cost,81.468,
2122,DDG-51,2020,FFATA,Yard subawards BIW,4.380,SAM FSRS
2122,DDG-51,2020,FFATA,Yard subawards Ingalls,172.300,SAM FSRS
2122,DDG-51,2021,P-5c,Total Ship Estimate,4205.640,
2122,DDG-51,2021,P-5c,Plan Costs,77.117,
2122,DDG-51,2021,P-5c,Basic Construction/Conversion,2247.903,
2122,DDG-51,2021,P-5c,Change Orders,56.334,
2122,DDG-51,2021,P-5c,Electronics,424.952,
2122,DDG-51,2021,P-5c,Ordnance,1157.796,
2122,DDG-51,2021,P-5c,Other Cost,77.593,
2122,DDG-51,2021,FFATA,Yard subawards BIW,4.590,SAM FSRS
2122,DDG-51,2021,FFATA,Yard subawards Ingalls,152.200,SAM FSRS
2122,DDG-51,2022,P-5c,Total Ship Estimate,4072.882,
2122,DDG-51,2022,P-5c,Plan Costs,86.682,
2122,DDG-51,2022,P-5c,Basic Construction/Conversion,1959.990,
2122,DDG-51,2022,P-5c,Change Orders,77.417,
2122,DDG-51,2022,P-5c,Electronics,546.096,
2122,DDG-51,2022,P-5c,Ordnance,1161.682,
2122,DDG-51,2022,P-5c,Other Cost,76.985,
2122,DDG-51,2022,FFATA,Yard subawards BIW,23.460,SAM FSRS
2122,DDG-51,2022,FFATA,Yard subawards Ingalls,138.650,SAM FSRS
2122,DDG-51,2023,P-5c,Total Ship Estimate,7949.540,
2122,DDG-51,2023,P-5c,Plan Costs,92.152,
2122,DDG-51,2023,P-5c,Basic Construction/Conversion,4558.163,
2122,DDG-51,2023,P-5c,Change Orders,136.767,
2122,DDG-51,2023,P-5c,Electronics,949.051,
2122,DDG-51,2023,P-5c,Ordnance,1835.479,
2122,DDG-51,2023,P-5c,Other Cost,82.196,
2122,DDG-51,2023,FFATA,Yard subawards BIW,45.330,SAM FSRS
2122,DDG-51,2023,FFATA,Yard subawards Ingalls,255.550,SAM FSRS
2122,DDG-51,2024,P-5c,Total Ship Estimate,5492.330,
2122,DDG-51,2024,P-5c,Plan Costs,82.697,
2122,DDG-51,2024,P-5c,Basic Construction/Conversion,3322.458,
2122,DDG-51,2024,P-5c,Change Orders,91.552,
2122,DDG-51,2024,P-5c,Electronics,619.811,
2122,DDG-51,2024,P-5c,Ordnance,1187.455,
2122,DDG-51,2024,P-5c,"Hull, Mechanical, and Electrical",100.673,
2122,DDG-51,2024,P-5c,Other Cost,87.684,
2122,DDG-51,2024,FFATA,Yard subawards BIW,10.650,SAM FSRS
2122,DDG-51,2024,FFATA,Yard subawards Ingalls,542.150,SAM FSRS
2122,DDG-51,2025,P-5c,Total Ship Estimate,7858.814,
2122,DDG-51,2025,P-5c,Plan Costs,83.596,
2122,DDG-51,2025,P-5c,Basic Construction/Conversion,4628.213,
2122,DDG-51,2025,P-5c,Change Orders,136.872,
2122,DDG-51,2025,P-5c,Electronics,950.971,
2122,DDG-51,2025,P-5c,Ordnance,1816.641,
2122,DDG-51,2025,P-5c,"Hull, Mechanical, and Electrical",154.029,
2122,DDG-51,2025,P-5c,Other Cost,88.492,
2122,DDG-51,2025,FFATA,Yard subawards BIW,33.430,SAM FSRS
2122,DDG-51,2025,FFATA,Yard subawards Ingalls,650.740,SAM FSRS
2122,DDG-51,2026,P-5c,Total Ship Estimate,306.125,
2122,DDG-51,2026,P-5c,Basic Construction/Conversion,282.604,
2122,DDG-51,2026,P-5c,Electronics,23.521,
2122,DDG-51,2026,FFATA,Yard subawards BIW,0.000,SAM FSRS
2122,DDG-51,2026,FFATA,Yard subawards Ingalls,62.680,SAM FSRS
2122,DDG-51,2027,P-5c,Total Ship Estimate,4256.914,
2122,DDG-51,2027,P-5c,Plan Costs,87.927,
2122,DDG-51,2027,P-5c,Basic Construction/Conversion,2719.555,
2122,DDG-51,2027,P-5c,Change Orders,94.222,
2122,DDG-51,2027,P-5c,Electronics,414.741,
2122,DDG-51,2027,P-5c,Ordnance,784.486,
2122,DDG-51,2027,P-5c,"Hull, Mechanical, and Electrical",66.009,
2122,DDG-51,2027,P-5c,Other Cost,89.974,
