FY,N0001911C0045_$M,N0001913C0132_$M,N0001918C1007_$M,N0001918C1061_$M,N0001921F0120_$M,N0001923C0013_$M,N0001924C0019_$M,N0002411C2307_$M,N0002411C2309_$M,N0002411C4408_$M,N0002412C2312_$M,N0002412C5311_$M,N0002413C2305_$M,N0002413C2307_$M,N0002413C5116_$M,N0002413C5132_$M,N0002413C5314_$M,N0002413C5325_$M,N0002414C4313_$M,N0002414C5104_$M,N0002414C5106_$M,N0002414C5114_$M,N0002415C4103_$M,N0002415C5151_$M,N0002415C5228_$M,N0002415C5319_$M,N0002415C5332_$M,N0002416C5103_$M,N0002417C4109_$M,N0002418C2305_$M,N0002418C2307_$M,N0002419C2322_$M,N0002419C4452_$M,N0002419C5102_$M,N0002420C4400_$M,N0002420C4468_$M,N0002420C5105_$M,N0002420C5300_$M,N0002420C5310_$M,N0002420C5380_$M,N0002420C5519_$M,N0002420C5605_$M,N0002421C5393_$M,N0002422C4485_$M,N0002422C5500_$M,N0002423C2307_$M,N0002423C5325_$M,N0002424C5324_$M,N0017415C0009_$M,N0017419C0004_$M,N0025324F0016_$M,FY_TOTAL_$M
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.15
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,6.64,61.21,0.45,27.34,0.0,209.22,0.0,0.5,1.58,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.81
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,2.77,74.92,4.42,10.3,0.0,208.2,0.0,0.91,40.57,7.19,0.0,0.0,0.38,10.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,369.2
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,2.91,77.89,0.51,2.5,0.0,122.88,0.0,0.91,24.76,9.43,0.0,0.28,3.2,4.62,7.08,0.0,0.0,0.0,25.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,285.39
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,5.45,78.75,1.06,1.41,0.0,130.62,0.0,1.9,16.77,5.72,2.98,0.38,0.47,2.04,18.45,0.25,0.62,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,288.2
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,3.57,23.19,0.39,0.87,0.0,142.15,0.0,4.76,24.72,6.11,14.2,0.46,8.25,34.04,8.22,0.89,1.68,0.0,3.68,4.45,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,4.22,0.0,0.0,297.16
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.83,1.35,0.0,0.0,0.0,36.85,0.0,6.56,7.1,6.4,24.1,0.69,18.94,56.91,3.45,0.13,2.1,0.0,1.75,3.03,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,5.49,0.0,0.0,182.3
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.45,0.0,0.0,0.05,0.22,19.17,0.0,0.0,24.4,3.61,29.92,2.64,19.59,184.05,11.01,2.78,15.23,0.0,424.58,103.3,0.13,0.0,502.44,0.0,0.0,38.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,5.1,2.2,0.0,1397.13
2020,0.0,0.04,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.31,0.0,0.18,11.47,3.6,4.33,7.79,50.52,240.15,13.5,25.0,7.09,-0.0,702.28,264.66,2.4,0.0,158.99,0.0,0.05,74.17,0.96,0.05,18.63,0.0,254.41,52.28,0.0,44.46,0.0,0.0,11.6,0.0,0.0,0.0,3.08,7.56,0.0,1975.9
2021,0.0,0.16,1.53,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,14.53,556.1,1.29,0.04,1.12,0.0,16.04,9.77,127.77,4.84,54.43,7.96,-0.0,370.86,95.52,0.9,0.0,137.67,4.44,0.06,258.98,29.52,29.74,127.67,0.04,1047.22,66.86,0.3,18.95,0.0,0.0,104.17,0.0,0.0,0.0,0.37,7.48,0.0,3101.36
