Recipient,Total_$M_across_window
"DRS TRAINING & CONTROL SYSTEMS, LLC",1005.83
MISSION SOLUTIONS LLC,998.49
MAJOR TOOL & MACHINE INC,987.82
LAUREL TECHNOLOGIES PARTNERSHIP,713.42
ROLLS-ROYCE MARINE NORTH AMERICA INC.,409.95
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",364.25
NORTHROP GRUMMAN SYSTEMS CORPORATION,275.01
GENERAL ELECTRIC COMPANY,196.82
YORK INTERNATIONAL CORPORATION,191.9
CAES SYSTEMS LLC,176.28
"ADVANCED SCIENCES AND TECHNOLOGIES, LLC",174.13
"EXTREME ENGINEERING SOLUTIONS, INC.",152.18
"SOCAIL, LDA",151.35
"SUPERIOR MOTION CONTROLS, INC.",147.0
IN-DEPTH ENGINEERING CORPORATION,137.79
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",132.55
"JOHNSON CONTROLS NAVY SYSTEMS, LLC",120.16
DRS NAVAL POWER SYSTEMS INC,108.38
"MERRILL TECHNOLOGIES GROUP, LLC",92.55
GOLDEN STAR TECHNOLOGY INC,85.88
TIMKEN GEARS & SERVICES INC.,84.86
"HANWHA SYSTEMS CO., LTD.",84.44
"INDRA SISTEMAS, SOCIEDAD ANÓNIMA",82.88
HII SAN DIEGO SHIPYARD INC.,82.25
FRONTGRADE TECHNOLOGIES INC.,82.09
"DUCOMMUN LABARGE TECHNOLOGIES, INC.",76.97
ELLWOOD NATIONAL FORGE COMPANY,75.74
"ADVANCED INDUSTRIES, LLC",68.83
ENGINEERED COIL COMPANY,67.24
NATIONAL STEEL AND SHIPBUILDING COMPANY,67.01
SENER TAFS SA.,66.59
MERCURY SYSTEMS INC,66.55
"SEYER INDUSTRIES, INC.",63.14
"ANAREN, INC.",60.75
"DATACON, INC.",54.67
"LAKE SHORE SYSTEMS, INC.",54.4
GMT LLC,53.33
"HUTCHINSON AEROSPACE & INDUSTRY, INC.",52.3
"APPLIED COMPOSITE STRUCTURES, INC.",51.89
ESPEY MFG AND ELECTRONICS CORP,51.41
"M.S.M. INDUSTRIES, INC.",42.84
TTM PRINTED CIRCUIT GROUP LLC,41.79
"RTI REMMELE ENGINEERING, INC.",39.21
FUTURAMIC TOOL & ENGINEERING CO,38.9
"ARROW ELECTRONICS, INC.",38.56
"SOUTHCOAST WELDING & MANUFACTURING, LLC.",37.86
THE AMERICAN TANK & FABRICATING COMPANY,37.78
ERIE FORGE & STEEL INC,35.6
PRODUCTION ENGINEERING CORPORATION,35.57
"TACTICAL ENGINEERING & ANALYSIS, INC.",33.45
POWER PARAGON INC,33.08
"HI AIR KOREA CO., LTD.",33.06
SCIOTEQ LLC,32.84
THE ENTWISTLE COMPANY LLC,32.44
US JOINER LLC,32.11
WARD LEONARD CT LLC,32.03
AIR & LIQUID SYSTEMS CORPORATION,31.04
"THE HILLER COMPANIES, LLC",31.02
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",30.88
"TECHNOLOGY DYNAMICS, INC.",30.51
AMERICAN METAL BEARING CO,30.23
PARKER HANNIFIN CORPORATION,30.08
"MAXIM EVAPORATORS OF AMERICA, LLC",29.91
"DEFENSE MARITIME SOLUTIONS, INC.",29.44
ALFA LAVAL INC,28.31
RIX INDUSTRIES,28.24
ADI TECHNOLOGIES INC.,27.83
"GENERAL MICRO SYSTEMS, INC",27.81
"HANWHA SYSTEMS CO.,LTD.",26.94
OPTIMA STANTRON CORP,26.48
DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,26.31
"GENERAL DYNAMICS ORDNANCE & TACTICAL SYSTEMS, INC.",26.0
"NEVADA HEAT TREATING, LLC",25.62
HOWDEN NORTH AMERICA INC,25.43
TAYLOR DEVICES INC,24.82
EMS DEVELOPMENT CORPORATION,24.62
SIOUX MANUFACTURING CORPORATION,24.03
PARKER-HANNIFIN CORPORATION,23.75
"TELEDYNE DEFENSE ELECTRONICS, LLC",23.46
"MORPAC INDUSTRIES, INC",23.3
"MERRILL AVIATION, INC.",23.3
MERCURY SYSTEMS - TRUSTED MISSION SOLUTIONS INC.,22.91
