vendor_uei,vendor_name,n_subawards,total_usd,n_distinct_components,top_components
HLVBPCA2LH41,Rolls-Royce Marine North America Inc.,101,435701406.26,8,VSR; GAS TURBINE GEN; PROP SYSTEM; SSGTG; VSR ROLLS ROYCE; RPR
J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,27,332946553.0,2,VSR; ESO
J3AFGKXWYK73,York International Corporation,56,191899855.77,8,VSR; OSI; A/C PLANT; Inco Spares; A/C Plants; OSI/SRI
FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,8,169173617.0,1,Stein Seal Brake Assy
SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",42,153247466.37,3,ESO; CAPEX SOW JCNS; LPD
HNAECT5M9TM4,"SOCAIL, LDA",10,151352010.33,2,PROP GAS TURBINE; Gas Turbine Engines
PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,78,123709839.28,9,VSR; SEC NAV RADAR SYSTEM; INDICATOR FAULT; STEERING SYSTEM; INDICATOR FAULT COA; VSR SEA TRIALS
GXPHJRVG9MR7,DRS NAVAL POWER SYSTEMS INC,123,104579089.93,9,VSR; MAG CONTROLLERS; DRS PARTS; MOD; REBUIY; VSR SEA TRIALS
ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",78,102761126.52,7,P&L PANELS; SWITCHBOARD/LOAD CNTR; PANELS COA; VSR; HTZ CONTROL PANEL; SWITCHBOARDS
QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,16,87920604.51,1,PROPULSION SHAFT FWD
VJMTKNLENX24,ENGINEERED COIL COMPANY,120,72516649.3,11,COILS UNIT COOLER; FAN COIL ASSEMBLIES; FAN COIL UNITS; MOD SYS S/S; RBY; REPAIR
Z89SS59265U9,ESPEY MFG AND ELECTRONICS CORP,74,50216231.17,4,GROUNDING ASSY; VSR; CAPEX SOW ESPEY; PP-
CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",17,37977344.35,2,IPNC; IPNC Intergration
SSD8KRDXKG46,"THE HILLER COMPANIES, LLC",55,36516205.61,4,HALON INSTALLATION; HFP FIRE EXT SYSTEM; HILLER SYSTEMS; CAPEX SOW HILLER SYSTEMS
WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",9,35598422.98,2,PROPULSION SHAFT FWD; RPR
HLVNZXU8EAM1,POWER PARAGON INC,47,33082525.71,4,TRANSFORMERS; SSABT SWITCH; VSR; FREQUENCY CHANGER
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,17,31589257.01,2,SOW UNIT OUTSOURCING; GRAND BLOCK
LM35HWEVUPH3,ADI TECHNOLOGIES INC.,28,31566711.75,1,MAFO DOORS
JRUCKDSNXKD5,THE ENTWISTLE COMPANY LLC,80,31420561.87,3,SLIDING PADEYES; TORPEDO CHOCKS; RET BITTS CHOCKS
M4ELQDG7JLM5,AIR & LIQUID SYSTEMS CORPORATION,39,31039020.04,6,P/S; FIRE PUMP; CENTRALIZED PUMP; CHILLED WATER PUMP; CAPEX SOW BUFFALO PUMP; MDR
KCYPSYNH1M94,US JOINER LLC,90,30823724.75,7,COMMISSARY EQUIPMENT; HACKSAW; MODULAR REEFERS; EMAIL; LOCKER AMMUNITION; LOCKER STOWAGE
HLE1E2KALJA5,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",34,30822830.48,0,
XYNDM1Y7XGG7,AMERICAN METAL BEARING CO,39,30273751.88,7,STERN TUBE BEARINGS; LINE SHAFT BEARINGS; OSI; LSBs; OSI/SRI; VSR
N5KMLMXEPFM5,PARKER HANNIFIN CORPORATION,29,30128225.13,4,DESALIN PLANT; VSR; RBY; RBUY
J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",22,29906676.48,1,CAPEX SOW MAXIM
