program,class,fy,bc_$M,gfe_$M,plans_other_$M,total_ship_$M,ffata_visible_$M
Virginia,Virginia,2022,4758.283,1587.366,570.108,6915.757,241.07
Virginia,Virginia,2023,5095.448,1634.461,520.67,7250.579,939.9
Virginia,Virginia,2024,9070.762,1683.842,623.039,11377.643,462.23
Virginia,Virginia,2025,5326.544,1318.214,2855.776,9500.534,261.86
Virginia,Virginia,2026,3136.792,1633.585,618.732,5389.109,0.3
Virginia,Virginia,2027,8889.31,1897.988,649.738,11437.036,0.0
Columbia,Columbia,2024,6356.087,2560.457,1772.267,10688.811,837.99
Columbia,Columbia,2026,7159.768,2125.001,1459.548,10744.317,0.0
Columbia,Columbia,2027,6853.733,2422.192,1210.444,10486.369,0.0
DDG-51,DDG-51,2022,1959.99,1707.778,405.114,4072.882,162.11
DDG-51,DDG-51,2023,4558.163,2784.53,606.847,7949.54,300.88
DDG-51,DDG-51,2024,3322.458,1807.266,362.606,5492.33,552.8
DDG-51,DDG-51,2025,4628.213,2767.612,462.989,7858.814,684.17
DDG-51,DDG-51,2026,282.604,23.521,0.0,306.125,62.68
DDG-51,DDG-51,2027,2719.555,1199.227,338.132,4256.914,0.0
