fy,uei,vendor,foreign,amount_M,records
2002,Y9LLF354DH36,"BIRD-JOHNSON PROPELLER COMPANY, LLC",,3.6983,1
2013,FQ9ECUGUSKZ8,"HARMONY ENGINEERING, CORP",,0.8822,9
2013,F295NQHTL3F9,"AC&A ENTERPRISES HOLDINGS, LLC",,0.7548,1
2013,QT9FVHAJCM88,"DCX-CHOL ENTERPRISES, INC.",,0.6150,13
2013,ZA7HPV7XXUE3,MERRILL TOOL HOLDING COMPANY,,0.4850,3
2013,L2WVLS5L4WS3,FUTURAMIC TOOL & ENGINEERING COMPANY,,0.4763,3
2013,D57NSHMC6Z47,"HUTCHINSON MANUFACTURING, INC.",,0.4028,3
2013,WYZBDFHUT669,"CHANDLER INDUSTRIES, INC.",,0.3542,1
2013,GUDSCKALM855,CIZION LLC,,0.3062,2
2013,D7F1WVKZ91Q3,DYNAMIC AIR ENGINEERING INC,,0.2954,1
2013,NUL8Z35S3LJ5,"CENTURY TOOL, INC.",,0.2535,5
2013,UQ5SEKN6MRL4,CIZION METAL ENGINEERING LLC,,0.2470,1
2013,KC2VLUMHG2S4,"VULCAN PAINTERS, INCORPORATED",,0.2414,2
2013,D49RVJRMCSJ8,"HABERMAN MACHINE, INC.",,0.2242,2
2013,ZQK7N3KY4UF8,"MACHINISTS, INC.",,0.2144,1
2013,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,,0.1897,1
2013,W86CEK5C7B53,PROTOFAB ENGINEERING INC.,,0.1853,2
2013,YVBHN7GKLQ44,"GLENAIR, INC.",,0.1485,2
2013,WLC5S23M4NP9,"SGJB BUSINESS HOLDINGS, INC.",,0.1437,3
2013,NHCDCMMJC3N5,COOPER INDUSTRIES PUBLIC LIMITED COMPANY,,0.1409,1
2013,HCMCF9N19ZE7,WELCO ELECTRONICS INCORPORATED,,0.1225,1
2013,GU4MZLMEJN94,"SEYER INDUSTRIES, INC.",,0.1201,2
2013,J5FTSL9NDLN5,"M & S MACHINING, INC.",,0.1052,2
2013,XHAJDVH3BMU5,"HARDIE-TYNES CO., INC.",,0.1012,2
2013,W67WSNENMZF7,ARCELORMITTAL SA,,0.0991,1
2013,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",,0.0961,1
2013,NY66W8KMH427,"WALZ & KRENZER, INC.",,0.0859,1
2013,KMRUJJMRJSV6,CAPARO INTERNATIONAL CORP,,0.0819,1
2013,TMDHK7X17JN6,"MOTION TECH AUTOMATION, LLC",,0.0799,1
2013,N1PJDANWUJ61,SCOT FORGE COMPANY,,0.0793,1
2013,MXDKLLXB3EK7,"B & G MANUFACTURING CO., INC.",,0.0713,1
2013,KHN9PQ6VZ756,"MIDSTATE INDUSTRIAL SUPPLY, INC.",,0.0708,1
2013,J5AJWFZ9H8Q6,"MCNALLY INDUSTRIES, LLC",,0.0702,1
2013,G3ZKBEBM7Z61,AERO METALS INC,,0.0693,1
2013,LBN9NJ1BSL28,"GREMADA INDUSTRIES, INC.",,0.0666,1
2013,VN78DKXXYG27,FIKE CORPORATION,,0.0645,1
2013,XEZ6K1KLTZ99,"WULCO, INC.",,0.0610,1
2013,YB14MRKSYEN7,"CANFIELD ELECTRONICS, INC.",,0.0606,1
2013,GV95CCPKRQX1,"FEDTECH, INC.",,0.0579,1
2013,Q3MHK5TKXN59,S & S TOOL AND MACHINE CO.,,0.0572,1
2013,YBGVF28MA725,TROY TUBE & MANUFACTURING CO.,,0.0548,2
2013,GCXXVQ87VUA8,INTRITEC,,0.0456,1
2013,WJWTB4K7RQW5,"ASPEC, INC.",,0.0431,1
2013,FSSDXMXXNUJ3,RAY INVESTMENT SARL,,0.0399,1
2013,LBSEMJP3HZV7,"LAPEER INDUSTRIES, INC.",,0.0393,1
2013,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,,0.0353,1
2013,CENMMCX1LSJ5,SUPERIOR TOOL & MACHINING COMPANY,,0.0338,1
2013,LC7UN8MJYCJ7,RBC BEARINGS INCORPORATED,,0.0323,1
2013,SGR5M2YHL6H9,"REGAL MACHINE, INC.",,0.0299,1
2013,Q4LKTEKK7577,"EAGLE TOOL & DESIGN, INC.",,0.0298,1
2013,FARLM1J6SB25,PRODUCTION ENGINEERING CORPORATION,,0.0277,1
2013,LLK2PL5TT2C3,BORING MACHINE CORPORATION,,0.0269,1
2014,F4XLUSKN1KX1,"ADVANCED INDUSTRIES, INC.",,7.5061,13
2014,E86GJS762JJ5,TOTAL SA,,7.2225,5
2014,FARLM1J6SB25,PRODUCTION ENGINEERING CORPORATION,,3.0474,17
2014,MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",,2.7570,3
2014,VF58HFRNGEL8,GENERAL DYNAMICS CORP,,2.7523,1
2014,F295NQHTL3F9,"AC&A ENTERPRISES HOLDINGS, LLC",,2.2069,4
2014,KEMMV4Q7MVM6,"EXCEL GEAR, INC.",,2.1979,1
2014,L2WVLS5L4WS3,FUTURAMIC TOOL & ENGINEERING COMPANY,,2.1577,20
2014,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,,1.5480,4
2014,MS9XWCRV8XD8,"RICHLIND METAL FABRICATORS, INC.",,1.4258,12
2014,TCCLSQU7ZMW5,ITT INC.,,1.4143,3
2014,NUL8Z35S3LJ5,"CENTURY TOOL, INC.",,1.3991,9
2014,W8PTMRME1496,LEONARDO SPA,,1.3816,7
2014,D57NSHMC6Z47,"HUTCHINSON MANUFACTURING, INC.",,1.2535,4
2014,Q6U3PVL5BND8,"N T M, INC.",,1.2125,9
2014,KAZDWX2KMMT6,ITT CORPORATION,,1.2090,1
2014,R5RFNWBXMSM7,R.M. PATON NOMINEES PTY. LIMITED,Yes,1.1791,3
2014,WJWTB4K7RQW5,"ASPEC, INC.",,1.1043,18
2014,QATEDMDR46E4,FORTIVE CORPORATION,,0.9636,2
2014,VN78DKXXYG27,FIKE CORPORATION,,0.9509,6
2014,GU4MZLMEJN94,"SEYER INDUSTRIES, INC.",,0.8227,2
2014,EHMMZUCV4NU9,FOURTH FACTOR ENGINEERING,,0.6912,5
2014,GV95CCPKRQX1,"FEDTECH, INC.",,0.6165,2
2014,GRP8YMBS4297,SHAPCO INC.,,0.5692,1
2014,ZA7HPV7XXUE3,MERRILL TOOL HOLDING COMPANY,,0.5156,6
2014,TB6VZSHH51K8,GKN LIMITED,Yes,0.5000,1
2014,YHJESY2TDP23,MAJOR TOOL AND MACHINE INC,,0.4667,1
2014,FQ9ECUGUSKZ8,"HARMONY ENGINEERING, CORP",,0.4530,9
2014,JHJ2EFQB4718,C. A. SPALDING COMPANY,,0.4482,5
2014,RB1NHMLR5BX9,DUCOMMUN INCORPORATED,,0.4480,4
2014,GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,,0.4377,4
2014,LC7UN8MJYCJ7,RBC BEARINGS INCORPORATED,,0.3900,3
2014,CK4FF75JLQS8,ELECTRO SWITCH BUSINESS TRUST,,0.3863,2
2014,JHWNUX2YXN31,ARCONIC INC.,,0.3618,3
2014,KHN9PQ6VZ756,"MIDSTATE INDUSTRIAL SUPPLY, INC.",,0.3571,5
2014,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,,0.3419,1
2014,KC2VLUMHG2S4,"VULCAN PAINTERS, INCORPORATED",,0.3346,4
2014,N7SBZDESSGH4,HBD INDUSTRIES INC,,0.2969,5
2014,GUDSCKALM855,CIZION LLC,,0.2642,3
2014,JTC4HGKH6PJ1,PRECISION GASKET COMPANY,,0.2600,4
2014,QT9FVHAJCM88,"DCX-CHOL ENTERPRISES, INC.",,0.2387,3
2014,U6JRN865H4E3,TTI INC,,0.2350,1
2014,D49RVJRMCSJ8,"HABERMAN MACHINE, INC.",,0.2246,5
2014,CR5ZGBN84NF3,"DARLING INDUSTRIES, INC.",,0.2205,3
2014,YB14MRKSYEN7,"CANFIELD ELECTRONICS, INC.",,0.2131,1
2014,Q4LKTEKK7577,"EAGLE TOOL & DESIGN, INC.",,0.1901,3
2014,T2FBBL2MHN31,"MURPHY RIGGING AND ERECTING, INC.",,0.1850,4
2014,Y2Y9A5LJ6K28,"MINNESOTA WATERJET, INC.",,0.1828,3
2014,M8ZHL8ZXGQP5,"CHROMALOX, INC.",,0.1776,2
2014,LZNQL4SJ2C32,DYSOL INC,,0.1739,1
2014,NY66W8KMH427,"WALZ & KRENZER, INC.",,0.1719,1
2014,WNKMDMALLWS1,CREATION TECHNOLOGIES INC,Yes,0.1490,2
2014,NJ6LF9NUB5Z3,ELECTRO SWITCH CORP.,,0.1294,1
2014,D7F1WVKZ91Q3,"DYNAMIC AIR ENGINEERING, INC.",,0.1283,1
2014,W67WSNENMZF7,ARCELORMITTAL SA,,0.1273,1
2014,CELUQLJ64TZ9,"MARCH ELECTRONICS, INC.",,0.1266,1
2014,N7KNM5UXEJD6,"APPLIED ENGINEERING, INC.",,0.1239,1
2014,D7GHHEGVNK24,"GILBERT MECHANICAL CONTRACTORS, INC.",,0.1236,1
2014,W86CEK5C7B53,PROTOFAB ENGINEERING INC.,,0.1210,1
2014,YVBHN7GKLQ44,"GLENAIR, INC.",,0.1145,1
2014,LBSEMJP3HZV7,"LAPEER INDUSTRIES, INC.",,0.1058,1
2014,UTLBMJZK7M61,"MID-CONTINENT ENGINEERING, INC.",,0.1017,2
2014,RF2BMJ23CUK5,"E & A PRODUCTS, INC.",,0.0949,2
2014,HTR5K76FMH84,"FEDERAL BRONZE CASTING INDUSTRIES, INC.",,0.0916,1
2014,GCXXVQ87VUA8,INTRITEC,,0.0875,1
2014,L4MDD6LHS8G9,"ALTRA HOLDINGS, INC.",,0.0816,2
2014,VYX7EB53JLK5,KEY TRONIC CORPORATION,,0.0791,2
2014,SGR5M2YHL6H9,"REGAL MACHINE, INC.",,0.0772,2
2014,KU7HKQWY7JD3,LOAR GROUP INC.,,0.0765,1
2014,EQB8L144P6S4,ORBIT INTERNATIONAL CORP.,,0.0737,1
2014,R5N4GY677EH5,ESTERLINE TECHNOLOGIES CORP,,0.0717,1
2014,KMRUJJMRJSV6,CAPARO INTERNATIONAL CORP,,0.0713,1
2014,NU2UC8MX6NK1,"BOEING COMPANY, THE",,0.0695,1
2014,TKM6MD39WER8,MULTISOURCE MANUFACTURING LLC,,0.0674,2
2014,NHCDCMMJC3N5,COOPER INDUSTRIES,,0.0594,1
2014,JZVMRV1K2JZ1,BRUCE ZIERWICK CONSULTING LLC,,0.0576,1
2014,YE33G9AY9DB8,"APPLIED POWER PRODUCTS, INC.",,0.0553,1
2014,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC",,0.0473,1
2014,PWYQJP152BE5,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",,0.0452,1
2014,MX4JXKMAQ4J8,"STRATOS AEROSPACE, INC.",,0.0437,1
2014,G3ZKBEBM7Z61,AERO METALS INC,,0.0422,1
2014,VKJKBMHPVNL1,"CLAREMONT SALES CORPORATION, THE",,0.0409,1
2014,EWZBB5D1RFQ8,"INERTIA SWITCH, INC.",,0.0408,1
2014,PQNBC8KG93R3,AMPHENOL CORPORATION,,0.0330,1
2014,YA36Z8R2H4T4,"ARROW ELECTRONICS, INC.",,0.0329,1
2014,YFV9G5K6JJ39,SMITHS GROUP PLC,,0.0320,1
2014,V7GQF5M7C667,"SOUTHERN GEAR & MACHINE, INC.",,0.0313,1
2014,NBYQDJLUHKD1,"BE AEROSPACE, INC.",,0.0312,1
2014,MTSKP9SNH6J1,MAC PANEL CO,,0.0300,1
2014,JN12SUFK5757,"TOOLKRAFT, INC.",,0.0295,1
2014,TV7DV4DWF5H1,INNOVATIVE RACK & GEAR COMPANY,,0.0293,1
2014,QEYBH9QVNP23,EGAN COMPANY,,0.0250,1
2015,F4XLUSKN1KX1,"ADVANCED INDUSTRIES, INC.",,4.3091,7
2015,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",,3.9750,4
2015,E86GJS762JJ5,TOTAL SA,,3.1318,5
2015,TCCLSQU7ZMW5,ITT INC.,,2.4253,2
2015,FARLM1J6SB25,PRODUCTION ENGINEERING CORPORATION,,1.6822,13
2015,MXTJBDD1L4T4,"TAYLOR DEVICES, INC.",,1.6079,3
2015,W8PTMRME1496,LEONARDO SPA,,1.4599,4
2015,D57NSHMC6Z47,"HUTCHINSON MANUFACTURING, INC.",,1.4372,2
2015,N1PJDANWUJ61,SCOT FORGE COMPANY,,1.3091,1
2015,H3LCS4ZA7X53,"ENCORE COMPOSITE HOLDINGS, INC",,1.2440,2
2015,NUL8Z35S3LJ5,"CENTURY TOOL, INC.",,0.9198,7
2015,WJWTB4K7RQW5,"ASPEC, INC.",,0.7907,7
2015,ZA7HPV7XXUE3,MERRILL TOOL HOLDING COMPANY,,0.7829,2
2015,JHWNUX2YXN31,ALCOA INC.,,0.7389,2
2015,L2WVLS5L4WS3,FUTURAMIC TOOL & ENGINEERING COMPANY,,0.6969,6
2015,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,,0.6915,3
2015,MS9XWCRV8XD8,"RICHLIND METAL FABRICATORS, INC.",,0.6714,4
2015,Q6U3PVL5BND8,"N T M, INC.",,0.6215,3
2015,QATEDMDR46E4,FORTIVE CORPORATION,,0.5830,1
2015,MXDKLLXB3EK7,"B&G MANUFACTURING CO., INC.",,0.5520,3
2015,RB1NHMLR5BX9,DUCOMMUN INCORPORATED,,0.5063,3
2015,GU4MZLMEJN94,"SEYER INDUSTRIES, INC.",,0.4940,1
2015,F295NQHTL3F9,"AC&A ENTERPRISES HOLDINGS, LLC",,0.4768,1
2015,GRP8YMBS4297,SHAPCO INC.,,0.4346,1
2015,UMMDFSB4ARJ7,TECHPRECISION CORPORATION,,0.4128,1
2015,R5RFNWBXMSM7,R.M. PATON NOMINEES PTY. LIMITED,Yes,0.4082,1
2015,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,,0.3892,1
2015,LZNQL4SJ2C32,DYSOL INC,,0.3576,1
2015,YKYBK6MSAKX5,GMT CORPORATION,,0.3159,2
2015,CELUQLJ64TZ9,"MARCH ELECTRONICS, INC.",,0.3151,3
2015,DPF6YLGU3CX5,"BANNEKER SUPPLY CHAIN SOLUTIONS, INC.",,0.2980,1
2015,GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,,0.2959,3
2015,JHJ2EFQB4718,C. A. SPALDING COMPANY,,0.2805,1
2015,KHN9PQ6VZ756,"MIDSTATE INDUSTRIAL SUPPLY, INC.",,0.2720,4
2015,NY66W8KMH427,"WALZ & KRENZER, INC.",,0.2718,1
2015,WYZBDFHUT669,"CHANDLER INDUSTRIES, INC.",,0.2624,1
2015,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",,0.2422,1
2015,GUDSCKALM855,CIZION LLC,,0.2271,1
2015,VN78DKXXYG27,FIKE CORPORATION,,0.2222,2
2015,GA91C48LHEH3,AA CONTAINER SALES INC,,0.1980,2
2015,CR5ZGBN84NF3,"DARLING INDUSTRIES, INC.",,0.1928,1
2015,WNKMDMALLWS1,CREATION TECHNOLOGIES INC,Yes,0.1865,3
2015,F3QWAEK8UPR8,"PANTHER PRECISION MACHINE, INCORPORATED",,0.1839,1
2015,RYK1M4NGA3V3,"WESCO AIRCRAFT HOLDINGS, INC.",,0.1756,1
2015,YVBHN7GKLQ44,"GLENAIR, INC.",,0.1697,2
2015,RBANKF6MUJS9,"EFG HOLDINGS, INC.",,0.1670,2
2015,T2FBBL2MHN31,"MURPHY RIGGING AND ERECTING, INC.",,0.1585,3
2015,FQ9ECUGUSKZ8,"HARMONY ENGINEERING, CORP",,0.1383,3
2015,U18CH2ENEMX4,"ROBERTSON MANUFACTURING, INC",,0.1382,1
2015,YE33G9AY9DB8,"APPLIED POWER PRODUCTS, INC.",,0.1215,2
2015,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,,0.1195,1
2015,CK4FF75JLQS8,ELECTRO SWITCH BUSINESS TRUST,,0.1154,2
2015,NJ6LF9NUB5Z3,ELECTRO SWITCH CORP.,,0.1078,1
2015,KU7HKQWY7JD3,LOAR GROUP INC.,,0.1060,1
2015,Y2Y9A5LJ6K28,"MINNESOTA WATERJET, INC.",,0.1020,2
2015,KC2VLUMHG2S4,"VULCAN PAINTERS, INCORPORATED",,0.1000,1
2015,EWEJVUJC8N46,PROTECTIVE PACKAGING CORPORATION INC,,0.0952,1
2015,GCXXVQ87VUA8,INTRITEC,,0.0778,1
2015,ENB7FA8442H6,"ADI AMERICAN DISTRIBUTORS, LLC",,0.0770,1
2015,JZVMRV1K2JZ1,BRUCE ZIERWICK CONSULTING LLC,,0.0766,2
2015,J5FTSL9NDLN5,"M & S MACHINING, INC.",,0.0709,1
2015,D49RVJRMCSJ8,"HABERMAN MACHINE, INC.",,0.0564,1
2015,WPWATHQ6VMW3,"ROTARY SYSTEMS, INC.",,0.0549,1
2015,LGL1LNBH8KM5,"GRISWOLD INDUSTRIES, CO.",,0.0548,1
2015,RF2BMJ23CUK5,"E & A PRODUCTS, INC.",,0.0547,1
2015,NU2UC8MX6NK1,"BOEING COMPANY, THE",,0.0545,1
2015,G3ZKBEBM7Z61,AERO METALS INC,,0.0533,1
2015,KMRUJJMRJSV6,CAPARO INTERNATIONAL CORP,,0.0501,1
2015,UH34AHJ81HT1,NORTH CENTRAL STAMPINGS & MFG. INC.,,0.0497,1
2015,R5N4GY677EH5,ESTERLINE TECHNOLOGIES CORP,,0.0492,1
2015,YBGVF28MA725,TROY TUBE & MANUFACTURING CO.,,0.0452,1
2015,YHJESY2TDP23,MAJOR TOOL AND MACHINE INC,,0.0436,1
2015,VYX7EB53JLK5,KEY TRONIC CORPORATION,,0.0431,1
2015,L6NCXSFJ3PV7,"LA MACHINE SHOP, INC.",,0.0384,1
2015,L4MDD6LHS8G9,ALTRA INDUSTRIAL MOTION CORP.,,0.0380,1
2015,YFV9G5K6JJ39,SMITHS GROUP PLC,,0.0367,1
2015,VJZWX6L1RDC4,STERN INDUSTRIES INCORPORATED,,0.0360,1
2015,Z62MMKJ6PLN3,JERRY ROBERTS MACHINE,,0.0351,1
2015,UFLRAY4MM7U1,"GEMINI ELECTRONIC COMPONENTS, INC.",,0.0349,1
2015,WLC5S23M4NP9,"SGJB BUSINESS HOLDINGS, INC.",,0.0309,1
2015,K2CXD619ZNJ2,"HAGLIN, C F & SONS CO INC.",,0.0300,1
2015,EHMMZUCV4NU9,FOURTH FACTOR ENGINEERING,,0.0250,1
2016,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",,12.2013,10
2016,E86GJS762JJ5,TOTAL SA,,3.4117,5
2016,F4XLUSKN1KX1,"ADVANCED INDUSTRIES, INC.",,3.3379,7
2016,N1PJDANWUJ61,SCOT FORGE COMPANY,,2.8684,3
2016,FARLM1J6SB25,PRODUCTION ENGINEERING CORPORATION,,1.9919,13
2016,MS9XWCRV8XD8,"RICHLIND METAL FABRICATORS, INC.",,1.7805,12
2016,MXDKLLXB3EK7,"B&G MANUFACTURING CO., INC.",,1.5085,7
2016,XEZ6K1KLTZ99,"WULCO, INC.",,1.3298,8
2016,VYX7EB53JLK5,KEY TRONIC CORPORATION,,1.3202,3
2016,NUL8Z35S3LJ5,"CENTURY TOOL, INC.",,1.3030,15
2016,UMMDFSB4ARJ7,TECHPRECISION CORPORATION,,1.1340,5
2016,UU26FKF1MML6,BERKSHIRE HATHAWAY INC.,,1.1165,4
2016,H3VYQFQRD1D6,"INDUSTRIAL GROUP HOLDINGS, LLC",,0.9296,8
2016,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",,0.8776,2
2016,UAC2KLJM4XY1,TRANSDIGM GROUP INCORPORATED,,0.8647,1
2016,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,,0.8526,7
2016,RB1NHMLR5BX9,DUCOMMUN INCORPORATED,,0.6832,2
2016,W8PTMRME1496,LEONARDO SPA,,0.6290,6
2016,NY3RN58HQJV3,"MARINO ENTERPRISES, INC.",,0.5804,2
2016,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,,0.5708,2
2016,F295NQHTL3F9,"AC&A ENTERPRISES HOLDINGS, LLC",,0.5457,2
2016,UFLRAY4MM7U1,"GEMINI ELECTRONIC COMPONENTS, INC.",,0.5328,3
2016,Q6U3PVL5BND8,"N T M, INC.",,0.5261,5
2016,GV6WMAJUK1R9,SIOUX MANUFACTURING CORPORATION,,0.5199,6
2016,VN78DKXXYG27,FIKE CORPORATION,,0.5196,3
2016,MKXMUFJJYLY5,WARD LEONARD ELECTRIC COMPANY INC.,,0.4688,1
2016,XD2KRCD9W4A5,P R L INC,,0.4680,1
2016,L2WVLS5L4WS3,FUTURAMIC TOOL & ENGINEERING COMPANY,,0.4517,4
2016,D8LCXTGXHJJ3,"MASTER MACHINE, INC.",,0.4386,5
2016,PWYQJP152BE5,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",,0.4383,4
2016,SEJVKETJB4G6,QUANTUMVISION CORP.,,0.4163,1
2016,QATEDMDR46E4,FORTIVE CORPORATION,,0.4150,1
2016,T2FBBL2MHN31,"MURPHY RIGGING AND ERECTING, INC.",,0.3900,5
2016,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",,0.3846,3
2016,GU4MZLMEJN94,"SEYER INDUSTRIES, INC.",,0.3769,2
2016,GV95CCPKRQX1,"FEDTECH, INC.",,0.3700,3
2016,KT2YQA6NDXF9,"SUPERIOR AEROSPACE, INC.",,0.3545,5
2016,YBGVF28MA725,TROY TUBE & MANUFACTURING CO.,,0.3517,3
2016,E4LKQUJEKEU6,APPLIED COMPANIES,,0.3493,2
2016,LC7UN8MJYCJ7,RBC BEARINGS INCORPORATED,,0.3452,3
2016,RBANKF6MUJS9,"EFG HOLDINGS, INC.",,0.3387,4
2016,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,,0.3085,2
2016,L4ZMKLM4MPL3,MOOG INC.,,0.2988,1
2016,JHJ2EFQB4718,C. A. SPALDING COMPANY,,0.2960,3
2016,H3LCS4ZA7X53,"ENCORE COMPOSITE HOLDINGS, INC",,0.2941,1
2016,GRP8YMBS4297,SHAPCO INC.,,0.2809,1
2016,QT9FVHAJCM88,"DCX-CHOL ENTERPRISES, INC.",,0.2697,2
2016,K1K5EKJ2KK29,RHINESTAHL CORPORATION,,0.2660,1
2016,L6NCXSFJ3PV7,"LA MACHINE SHOP, INC.",,0.2627,3
2016,WYZBDFHUT669,"CHANDLER INDUSTRIES, INC.",,0.2624,1
2016,ZA7HPV7XXUE3,MERRILL TOOL HOLDING COMPANY,,0.2580,2
