program,li,fy,gross_then_$M,qty,net_proc_$M,toa_$M
Virginia,2013,2025,9500.534,1,7356.904,13320.211
Virginia,2013,2026,5389.109,1,2740.305,6377.536
Virginia,2013,2027,11437.036,2,8402.316,13151.309
Virginia,2013,2028,11284.824,2,8149.065,13011.118
Virginia,2013,2029,11098.426,2,7876.466,14686.814
Virginia,2013,2030,10196.613,2,7283.37,12268.711
Virginia,2013,2031,10594.23,2,7423.079,12016.801
Columbia,1045,2025,0.0,,0.0,9580.774
Columbia,1045,2026,10744.317,1,3928.828,9279.594
Columbia,1045,2027,10486.369,1,6904.785,15583.102
Columbia,1045,2028,10137.078,1,6379.022,12834.863
Columbia,1045,2029,10360.998,1,6057.819,11351.481
Columbia,1045,2030,10441.001,1,6011.645,12359.708
Columbia,1045,2031,10693.082,1,6303.401,12020.144
DDG-51,2122,2025,7858.814,3,6268.519,8268.628
DDG-51,2122,2026,306.125,,10.773,1942.268
DDG-51,2122,2027,4256.914,1,2954.238,3132.462
DDG-51,2122,2028,4026.201,1,4026.201,6124.325
DDG-51,2122,2029,4209.44,1,3707.169,3993.544
DDG-51,2122,2030,6613.151,2,6110.88,6375.629
DDG-51,2122,2031,6964.218,2,6461.913,6565.705
