program,action_date,piid,prime,work_type,stream,master,vintage,dollar_m,prime_pct,coprime_pct,other_us_pct,foreign_pct,source
Virginia,2019-12-02,N00024-17-C-2100,General Dynamics Electric Boat,construction,BC,1,0,22209.893,0.41,0.25,0.33,0.01,"DoD Contracts 2019-12-02 (defense.gov Article 2030017); Block V, 9 boats FY19-23"
Virginia,2025-04-30,-,-,lltm_early_mfg,AP_LLTM,0,0,12418.145463,0.4,0.32,0.28,0.0,https://www.globalsecurity.org/military/library/news/2025/04/dod-contracts_4170827.htm
Virginia,2026-05-11,N00024-24-C-2110,General Dynamics Electric Boat Corp.,lltm_early_mfg,AP_LLTM,0,0,2305.53,0.0,0.02,0.98,0.0,https://www.globalsecurity.org/military/library/news/2026/05/dod-contracts_4479470.htm
Virginia,2025-06-26,N00024-24-C-2110,-,lltm_early_mfg,AP_LLTM,0,0,1851.065,0.0,0.0,1.0,0.0,https://www.globalsecurity.org/military/library/news/2025/06/dod-contracts_4227676.htm
Virginia,2025-03-25,N00024-24-C-2110,-,lltm_early_mfg,AP_LLTM,0,0,1065.31,0.0,0.0,1.0,0.0,https://www.globalsecurity.org/military/library/news/2025/03/dod-contracts_4134550.htm
Virginia,2023-10-13,N00024-24-C-2110,General Dynamics Electric Boat Corp.,lltm_early_mfg,AP_LLTM,0,0,216.51,0.0,0.0,1.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3557261/  (via web.archive.org)
Virginia,2025-01-08,-,-,construction,BC,0,0,188.0,0.0,0.02,0.98,0.0,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4024737.htm
Virginia,2025-07-21,N00024-17-C-2100,General Dynamics Electric Boat Corp.,component_procurement,BC,0,0,159.675741,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/07/dod-contracts_4250988.htm
Virginia,2024-02-23,-,General Dynamics Electric Boat Corp.,lltm_early_mfg,AP_LLTM,0,0,150.984,0.0,0.0,1.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3685947/  (via web.archive.org)
Virginia,2024-01-22,N00024-17-C-2100,General Dynamics Electric Boat Corp.,lltm_early_mfg,AP_LLTM,0,0,96.437891,0.0,0.0,1.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3652144/  (via web.archive.org)
Virginia,2025-08-11,-,-,component_procurement,BC,0,0,86.0,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/08/dod-contracts_4271589.htm
Virginia,2025-07-29,-,CIRCOR Naval Solutions LLC,component_procurement,BC,0,0,40.0,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/07/dod-contracts_4258695.htm
Virginia,2023-09-08,N40085-23-C-0045,-,component_procurement,BC,0,0,21.140532,0.0,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3520839/  (via web.archive.org)
Virginia,2024-09-27,-,-,component_procurement,BC,0,0,11.10512,0.0,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3919852/  (via web.archive.org)
Virginia,2025-03-28,-,-,component_procurement,BC,0,0,10.246959,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/03/dod-contracts_4138718.htm
Virginia,2025-08-22,-,Rolls Royce Marine North America Inc.,component_procurement,BC,0,0,9.877737,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/08/dod-contracts_4283984.htm
Columbia,2020-11-05,N00024-17-C-2117,General Dynamics Electric Boat,construction,BC,1,0,9473.511,0.53,0.25,0.22,0.0,"DoD Contracts 2020-11-05 (defense.gov Article 2406922); Build I, SSBN 826/827"
Columbia,2025-11-17,N00024-17-C-2117,General Dynamics Electric Boat Corp.,advance_procurement,AP_LLTM,0,0,698.94876,0.85,0.15,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4333778.htm
DDG-51,(MYP master),N00024-23-C-2305,Bath Iron Works,construction,BC,1,0,6400.0,0.69,0.0,0.31,0.0,"DDG FY23-27 MYP; POP per award bulletin, $ reconstructed from FPDS + trade press"
DDG-51,(MYP master),N00024-23-C-2307,Huntington Ingalls Industries,construction,BC,1,0,8180.0,0.0,0.77,0.23,0.0,"DDG FY23-27 MYP; POP per award bulletin, $ reconstructed from FPDS + trade press"
DDG-51,2026-04-22,N00024-24-C-4212,-,construction,BC,0,0,230.495111,1.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2026/04/dod-contracts_4467057.htm
DDG-51,2025-05-14,N00024-24-C-4212,-,construction,BC,0,0,216.493753,1.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/05/dod-contracts_4186522.htm
DDG-51,2024-06-14,N00024-24-C-4212,-,construction,BC,0,0,202.73309,1.0,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3808062/  (via web.archive.org)
DDG-51,2023-09-06,N00024-23-C-2305,-,construction,BC,0,0,61.08845,0.0,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3517358/  (via web.archive.org)
DDG-51,2023-11-17,N00024-24-C-2313,-,construction,BC,0,0,58.891505,0.99,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3593062/  (via web.archive.org)
DDG-51,2024-03-21,N00024-19-C-4452,General Dynamics Bath Iron Works,construction,BC,0,0,44.492212,1.0,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3714389/  (via web.archive.org)
DDG-51,2025-12-05,N00024-24-C-2312,Huntington Ingalls Inc.,construction,BC,0,0,36.38761,0.0,0.98,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4351194.htm
DDG-51,2023-11-17,N00024-24-C-2312,Huntington Ingalls Inc.,construction,BC,0,0,25.781609,0.0,0.98,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3593062/  (via web.archive.org)
DDG-51,2024-05-13,N00024-17-C-4109,DRS Laurel Technologies,construction,BC,0,0,23.802296,0.0,0.0,1.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3773612/  (via web.archive.org)
DDG-51,2024-09-03,N00024-24-C-2321,BAE Systems Jacksonville Ship Repair LLC,construction,BC,0,0,13.820527,0.0,0.0,1.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3893110/  (via web.archive.org)
DDG-51,2025-02-26,-,-,construction,BC,0,0,13.06478,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/02/dod-contracts_4078369.htm
DDG-51,2026-05-20,-,Huntington-Ingalls Industries - Ingalls Shipbuilding,construction,BC,0,0,12.475983,0.0,0.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2026/05/dod-contracts_4496900.htm
DDG-51,2025-07-31,N00024-17-C-4109,DRS Laurel Technologies Inc.,construction,BC,0,0,11.526652,0.0,0.0,1.0,0.0,https://www.globalsecurity.org/military/library/news/2025/07/dod-contracts_4261297.htm
DDG-51,2022-09-22,-,-,construction,BC,0,0,10.214192,0.3,0.0,0.7,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3168041/  (via web.archive.org)
DDG-51,2022-12-21,N69316-23-F-6000,Huntington-Ingalls Industries - Ingalls Shipbuilding,construction,BC,0,0,10.132041,0.0,0.7,0.3,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3253110/  (via web.archive.org)
DDG-51,2023-03-20,N00024-13-C-2305,Bath Iron Works,construction,BC,0,0,9.609633,0.99,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3335127/  (via web.archive.org)
DDG-51,2025-01-29,-,-,construction,BC,0,0,9.165174,0.3,0.0,0.7,0.0,https://www.globalsecurity.org/military/library/news/2025/01/dod-contracts_4047048.htm
DDG-51,2024-03-26,N00024-19-C-2322,General Dynamics Bath Iron Works,construction,BC,0,0,8.037986,0.0,0.0,0.64,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3719093/  (via web.archive.org)
DDG-51,2022-12-02,-,-,construction,BC,0,0,8.000905,0.0,0.0,1.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3235034/  (via web.archive.org)
DDG-51,2024-08-27,N00024-13-C-2305,Bath Iron Works,construction,BC,0,0,7.802168,0.99,0.0,0.0,0.0,https://www.defense.gov/News/Contracts/Contract/Article/3886803/  (via web.archive.org)
DDG-51,2025-02-20,N00024-22-C-2319,-,construction,BC,0,0,0.0,0.0,1.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/02/dod-contracts_4072252.htm
DDG-51,2025-02-21,N00024-22-C-2319,-,construction,BC,0,0,0.0,0.0,1.0,0.0,0.0,https://www.globalsecurity.org/military/library/news/2025/02/dod-contracts_4073782.htm
