program,li,fy,total,plans,propulsion,electronics,hme,ordnance,other_cost,technology_insertion,gfe,change_orders,basic
Virginia,2013,2022,6915.757,252.399,1046.83,540.536,139.293,,67.806,15.398,1587.366,95.212,4758.283
Virginia,2013,2023,7250.579,192.169,1083.115,551.346,141.566,,69.162,15.706,1634.461,102.067,5095.448
Virginia,2013,2024,11377.643,207.166,1121.47,562.372,144.189,,70.546,16.02,1683.842,185.118,9070.762
Virginia,2013,2025,9500.534,2595.816,1004.95,313.264,98.937,,35.978,16.34,1318.214,108.705,5326.544
Virginia,2013,2026,5389.109,219.603,1035.07,598.515,150.015,,73.395,16.667,1633.585,159.052,3136.792
Virginia,2013,2027,11437.036,223.443,1273.09,624.898,153.016,,74.863,17.001,1897.988,181.415,8889.31
Columbia,1045,2022,,,,,,,,,,,
Columbia,1045,2023,,,,,,,,,,,
Columbia,1045,2024,10688.811,1443.3,1613.999,349.701,119.107,596.757,66.618,,2560.457,143.242,6356.087
Columbia,1045,2025,,,,,,,,,,,
Columbia,1045,2026,10744.317,1095.773,1294.878,361.283,102.496,468.84,43.887,,2125.001,217.392,7159.768
Columbia,1045,2027,10486.369,861.527,1541.973,367.634,101.71,512.585,40.078,,2422.192,207.129,6853.733
DDG-51,2122,2022,4072.882,86.682,,546.096,164.03,1161.682,76.985,,1707.778,77.417,1959.99
DDG-51,2122,2023,7949.54,92.152,,949.051,295.732,1835.479,82.196,,2784.53,136.767,4558.163
DDG-51,2122,2024,5492.33,82.697,,619.811,100.673,1187.455,87.684,,1807.266,91.552,3322.458
DDG-51,2122,2025,7858.814,83.596,,950.971,154.029,1816.641,88.492,,2767.612,136.872,4628.213
DDG-51,2122,2026,306.125,,,23.521,,,,,23.521,,282.604
DDG-51,2122,2027,4256.914,87.927,,414.741,66.009,784.486,89.974,,1199.227,94.222,2719.555
