piid,in_scope_17,pop_state_code,pop_country_code,dollars,records
0001,no,MD,USA,6548217.61,22
0001,no,CA,USA,1467679.99,15
0001,no,HI,USA,853905.55,7
0001,no,PA,USA,541907.07,6
0001,no,FL,USA,304519.07,5
0001,no,WA,USA,0.0,1
0001,no,IN,USA,0.0,2
0001,no,MS,USA,0.0,2
0001,no,MA,USA,-1662.24,1
0001,no,NC,USA,-1666.28,3
0001,no,OK,USA,-3000.0,1
0001,no,NJ,USA,-3698.23,3
0001,no,DC,USA,-20000.0,2
0001,no,CT,USA,-91017.0,2
0001,no,MN,USA,-217384.61,2
0001,no,KY,USA,-303896.58,8
0001,no,VA,USA,-446967.18,15
0002,no,VA,USA,10228782.83,65
0002,no,MD,USA,2408254.94,66
0002,no,MA,USA,1305145.0,1
0002,no,DC,USA,1048558.0,9
0002,no,FL,USA,983711.72,8
0002,no,PA,USA,571994.3,11
0002,no,TX,USA,530000.0,3
0002,no,GU,USA,426973.0,6
0002,no,KY,USA,219371.18,17
0002,no,HI,USA,147970.77,3
0002,no,ME,USA,122712.0,3
0002,no,GA,USA,10010.0,2
0002,no,NC,USA,4695.0,1
0002,no,MS,USA,-280.0,4
0002,no,NULL,KEN,-1370.0,1
0002,no,MO,USA,-2169.81,2
0002,no,NH,USA,-3990.0,2
0002,no,CT,USA,-20858.0,1
0002,no,IN,USA,-137411.77,5
0002,no,CA,USA,-171420.69,4
0002,no,NULL,GBR,-252105.06,6
0003,no,NC,USA,1975272.62,15
0003,no,MD,USA,794860.32,6
0003,no,HI,USA,777300.3,8
0003,no,PA,USA,250120.85,7
0003,no,DC,USA,144766.35,1
0003,no,CT,USA,6790.0,1
0003,no,NJ,USA,0.0,3
0003,no,IN,USA,0.0,2
0003,no,SC,USA,-270.33,2
0003,no,KY,USA,-18728.0,12
0003,no,OH,USA,-20722.97,1
0003,no,NH,USA,-101500.0,1
0003,no,GA,USA,-109246.77,2
0003,no,CA,USA,-273294.64,4
0003,no,VA,USA,-673013.62,6
0003,no,MS,USA,-1119527.0,3
0003,no,WA,USA,-1164488.0,2
0004,no,MD,USA,3734224.45,5
0004,no,MN,USA,2245519.3,9
0004,no,RI,USA,439966.0,4
0004,no,VA,USA,427809.03,5
0004,no,PA,USA,366587.88,8
0004,no,HI,USA,169516.64,4
0004,no,CA,USA,113089.3,6
0004,no,KY,USA,0.0,10
0004,no,TX,USA,0.0,1
0004,no,IA,USA,0.0,1
0004,no,MS,USA,-334.0,2
0004,no,NC,USA,-1676.0,1
0004,no,AZ,USA,-2889.99,2
0004,no,LA,USA,-5585.17,1
0004,no,FL,USA,-6536.0,1
0004,no,WA,USA,-17697.16,1
0004,no,SC,USA,-86746.76,2
0004,no,MA,USA,-221246.27,2
0005,no,NC,USA,2438796.15,17
0005,no,HI,USA,963314.74,9
0005,no,AZ,USA,127985.67,4
0005,no,VA,USA,44607.36,3
0005,no,KY,USA,0.0,4
0005,no,MN,USA,0.0,4
0005,no,MS,USA,0.0,1
0005,no,FL,USA,-1327.73,1
0005,no,SC,USA,-1777.46,1
0005,no,MD,USA,-31889.02,2
0005,no,PA,USA,-70419.91,3
0005,no,LA,USA,-172671.03,1
0005,no,CA,USA,-830622.7,6
0006,no,MD,USA,1338152.85,14
0006,no,HI,USA,392398.0,8
0006,no,CA,USA,348764.82,9
0006,no,PA,USA,267372.15,3
0006,no,NC,USA,151563.42,4
0006,no,KY,USA,0.0,8
0006,no,NJ,USA,0.0,3
0006,no,VA,USA,0.0,1
0006,no,MS,USA,-1042.0,1
0006,no,IN,USA,-134665.05,3
0007,no,HI,USA,509298.0,12
0007,no,DC,USA,129520.0,1
0007,no,NC,USA,59263.0,3
0007,no,VA,USA,0.0,1
0007,no,OH,USA,0.0,1
0007,no,IN,USA,0.0,2
0007,no,IL,USA,-749.72,1
0007,no,RI,USA,-1345.85,2
0007,no,CA,USA,-2478.21,1
0007,no,CT,USA,-2722.0,1
0007,no,MD,USA,-2864.73,4
0007,no,KY,USA,-29707.0,1
0007,no,PA,USA,-95317.07,3
0008,no,PA,USA,2398164.33,8
0008,no,HI,USA,176195.0,6
0008,no,NC,USA,0.0,1
0008,no,MS,USA,-217.0,1
0008,no,RI,USA,-399.44,2
0008,no,CT,USA,-1356.0,1
0008,no,KY,USA,-4708.0,1
0008,no,MD,USA,-13419.43,1
0008,no,OH,USA,-56147.0,1
0008,no,VA,USA,-64787.69,1
0009,no,IN,USA,30411281.0,16
0009,no,CA,USA,748673.45,20
0009,no,GA,USA,679996.86,6
0009,no,PA,USA,640424.0,5
0009,no,KY,USA,23151.0,2
0009,no,NC,USA,-307.0,1
0009,no,MS,USA,-347.0,1
0009,no,HI,USA,-9962.0,1
0009,no,VA,USA,-116779.01,3
0010,no,IN,USA,116650.0,3
0010,no,MD,USA,72208.0,1
0010,no,WA,USA,0.0,1
0010,no,CA,USA,-219.14,2
0010,no,VA,USA,-4988.0,1
0010,no,PA,USA,-62211.85,9
0010,no,LA,USA,-143819.95,1
0011,no,IN,USA,482418.63,8
0011,no,KY,USA,0.0,1
0011,no,NULL,DJI,0.0,2
0011,no,VA,USA,-692.29,1
0011,no,RI,USA,-1761.68,1
0011,no,CA,USA,-102185.73,2
0011,no,PA,USA,-575456.64,8
0012,no,CA,USA,6508371.69,36
0012,no,PA,USA,438907.14,9
0012,no,OH,USA,0.0,1
0012,no,VA,USA,-4797.0,1
0012,no,AK,USA,-6180.0,1
0012,no,RI,USA,-20635.69,2
0012,no,NC,USA,-36597.9,1
0013,no,PA,USA,435495.7,7
0013,no,CA,USA,4125.48,2
0013,no,RI,USA,-73.27,1
0013,no,VA,USA,-59838.59,3
0013,no,MO,USA,-154300.0,1
0014,no,NV,USA,515191.3,3
0014,no,RI,USA,-79.05,1
0014,no,NC,USA,-2050.0,1
0014,no,FL,USA,-3000.0,1
0014,no,VA,USA,-12668.95,3
0014,no,PA,USA,-30908.99,7
0015,no,CA,USA,491.23,2
0015,no,HI,USA,237.57,1
0015,no,PA,USA,0.0,3
0015,no,VA,USA,-43.75,1
0015,no,FL,USA,-622.39,1
0015,no,NC,USA,-848.0,1
0016,no,RI,USA,129759.71,2
0016,no,HI,USA,116.85,1
0016,no,FL,USA,-1958.49,1
0016,no,PA,USA,-10144.46,9
0016,no,AK,USA,-41066.5,1
0016,no,VA,USA,-45975.75,3
0016,no,NJ,USA,-74159.0,2
0017,no,VA,USA,9964.72,5
0017,no,PA,USA,0.0,3
0017,no,CT,USA,-10013.0,2
0018,no,PA,USA,434353.0,4
0018,no,CT,USA,0.0,1
0018,no,RI,USA,-155.97,1
0018,no,AK,USA,-40401.0,1
0018,no,CA,USA,-72460.5,3
0018,no,NC,USA,-88755.0,1
0019,no,PA,USA,303653.0,2
0019,no,KY,USA,286816.0,2
0019,no,CT,USA,15000.0,1
0019,no,VA,USA,0.0,1
0020,no,DC,USA,610000.0,1
0020,no,KY,USA,0.0,1
0020,no,PA,USA,0.0,1
0020,no,VA,USA,-0.01,1
0020,no,CA,USA,-145536.09,1
0021,no,PA,USA,377699.88,10
0021,no,KY,USA,0.0,1
0021,no,NJ,USA,0.0,4
0021,no,RI,USA,-341.85,1
0021,no,CA,USA,-25590.31,10
0022,no,NC,USA,-38.79,1
0022,no,PA,USA,-206.68,4
0022,no,RI,USA,-3662.44,1
0022,no,VA,USA,-6025.75,2
0022,no,CT,USA,-89198.0,1
0023,no,KY,USA,3856103.12,8
0023,no,CA,USA,38406.06,9
0023,no,VA,USA,0.0,1
0023,no,MA,USA,0.0,1
0023,no,MD,USA,-704.59,1
0024,no,MA,USA,509000.0,2
0024,no,VA,USA,-5285.75,1
0024,no,PA,USA,-20501.61,3
0024,no,CA,USA,-22527.23,1
0025,no,CA,USA,-11.92,3
0025,no,VA,USA,-1564.0,2
0025,no,CT,USA,-13818.0,1
0026,no,RI,USA,-811.79,1
0026,no,PA,USA,-8615.55,3
0026,no,SC,USA,-18822.75,1
0026,no,CA,USA,-22958.68,2
0027,no,PA,USA,1183948.09,7
0027,no,MA,USA,86861.41,1
0027,no,VA,USA,77925.0,2
0027,no,FL,USA,0.0,1
0027,no,RI,USA,-282.42,1
0027,no,CA,USA,-704415.0,1
0028,no,MA,USA,0.0,1
0028,no,CT,USA,-6456.0,1
0028,no,VA,USA,-6700.0,2
0029,no,MA,USA,115900.0,1
0029,no,CA,USA,-8406.0,1
0029,no,CT,USA,-10161.0,1
0029,no,NC,USA,-23921.59,1
0030,no,CA,USA,2500.0,2
0030,no,CT,USA,-678.0,1
0030,no,VA,USA,-3208.5,1
0030,no,PA,USA,-95323.85,5
0031,no,CA,USA,287166.81,6
0031,no,MA,USA,87052.0,1
0031,no,VA,USA,9140.0,2
0031,no,NC,USA,-669.75,3
0032,no,VA,USA,-2096.5,1
0032,no,PA,USA,-30748.66,4
0032,no,CA,USA,-80722.03,1
0032,no,NC,USA,-555137.43,4
0033,no,VA,USA,-5090.0,1
0033,no,PA,USA,-10750.98,3
0033,no,CA,USA,-67344.0,3
0033,no,MD,USA,-216665.8,1
0034,no,CA,USA,328743.21,4
0034,no,NC,USA,420.0,1
0034,no,VA,USA,-6928.55,2
0035,no,VA,USA,-15754.04,2
0035,no,CA,USA,-30719.0,1
0035,no,PA,USA,-38781.53,3
0036,no,VA,USA,-585.0,1
0036,no,PA,USA,-9350.02,2
0037,no,PA,USA,7146983.74,23
0037,no,MD,USA,-8255.5,1
0037,no,CT,USA,-9414.0,1
0037,no,VA,USA,-9585.0,1
0038,no,MA,USA,141700.0,1
0038,no,PA,USA,-558.15,2
0038,no,VA,USA,-7135.0,1
0039,no,PA,USA,4343825.98,23
0039,no,MA,USA,151412.0,1
0039,no,CT,USA,0.0,1
0039,no,DC,USA,-5378.16,1
0039,no,VA,USA,-21513.52,3
0040,no,PA,USA,0.0,5
0040,no,CT,USA,-3086.0,1
0040,no,WA,USA,-21363.0,1
0040,no,CA,USA,-40039.14,1
0040,no,VA,USA,-51988.66,2
0041,no,PA,USA,-703.81,3
0041,no,CT,USA,-14592.0,1
0042,no,HI,USA,0.0,3
0042,no,NC,USA,-9938.77,1
0042,no,PA,USA,-11640.6,2
0042,no,SC,USA,-54861.88,1
0043,no,MA,USA,128700.0,1
0043,no,HI,USA,0.0,2
0043,no,CT,USA,-201412.0,1
0043,no,PA,USA,-203827.56,2
0044,no,PA,USA,0.0,1
0044,no,VA,USA,-1134.4,1
0044,no,CT,USA,-8861.0,1
0044,no,SC,USA,-246760.02,1
0045,no,MA,USA,242000.0,1
0045,no,CT,USA,12012.2,2
0045,no,MD,USA,-3762.0,1
0045,no,VA,USA,-10698.06,2
0045,no,NC,USA,-283829.01,1
0046,no,VA,USA,159007.46,2
0046,no,PA,USA,0.0,1
0049,no,VA,USA,-1566.0,1
0050,no,HI,USA,0.0,3
0050,no,VA,USA,-3746.0,2
0051,no,VA,USA,-1350.0,1
0055,no,CA,USA,0.0,1
0057,no,SC,USA,-72958.4,2
0057,no,CA,USA,-423775.86,5
0058,no,CT,USA,0.0,1
0059,no,MD,USA,38226.44,1
0060,no,CA,USA,148312.59,2
0062,no,CT,USA,0.0,1
0063,no,CT,USA,0.0,1
0064,no,CA,USA,2044.83,1
0064,no,NC,USA,-90562.74,2
0066,no,CA,USA,0.0,1
0066,no,MA,USA,0.0,2
0067,no,CA,USA,169871.24,1
0068,no,VA,USA,-3146.4,1
0069,no,MA,USA,0.0,1
0071,no,MA,USA,0.0,1
0071,no,VA,USA,-597.2,1
0072,no,UT,USA,16927.65,1
0072,no,MA,USA,0.0,1
0072,no,VA,USA,-564.2,1
0073,no,VA,USA,-602.75,1
0073,no,MA,USA,-21557.0,2
0074,no,MD,USA,46556.12,1
0074,no,MA,USA,-33715.0,2
0075,no,MD,USA,77575.41,1
0075,no,VA,USA,-2177.0,1
0075,no,MA,USA,-13127.0,1
0076,no,MA,USA,103300.0,1
0076,no,NC,USA,-26298.65,3
0077,no,MA,USA,96068.0,1
0077,no,MD,USA,23234.4,1
0078,no,MA,USA,105000.0,1
