tier,appropriation,book_id,status,http,bytes,pages,sha256_16,pdf_file,txt_file,source_url
Procurement,APN,APN_BA1-4_Book,HAVE,,5956367,274,18963443f43629d2,APN_BA1-4_Book_FY27.pdf,APN_BA1-4_Book_FY27.txt,already on disk
Procurement,APN,APN_BA5_Book,HAVE,,11409332,906,9220866d3224c63e,APN_BA5_Book_FY27.pdf,APN_BA5_Book_FY27.txt,already on disk
Procurement,APN,APN_BA6-7_Book,HAVE,,4919517,142,4e399b6704c3cd97,APN_BA6-7_Book_FY27.pdf,APN_BA6-7_Book_FY27.txt,already on disk
Procurement,WPN,WPN_Book,HAVE,,12630464,620,efa8b91ecc442b08,WPN_Book_FY27.pdf,WPN_Book_FY27.txt,already on disk
Procurement,PANMC,PANMC_Book,HAVE,,7848693,434,7a5c88c1d98a1f7d,PANMC_Book_FY27.pdf,PANMC_Book_FY27.txt,already on disk
Procurement,SCN,SCN_Book,HAVE,,5576841,504,bb2e90fd1d91a0bc,SCN_Book_FY27.pdf,SCN_Book_FY27.txt,already on disk
Procurement,OPN,OPN_BA1_Book,HAVE,,11325828,736,c7212fa0c7b57027,OPN_BA1_Book_FY27.pdf,OPN_BA1_Book_FY27.txt,already on disk
Procurement,OPN,OPN_BA2_Book,HAVE,,13004523,932,682b2d6b8ff9c6e4,OPN_BA2_Book_FY27.pdf,OPN_BA2_Book_FY27.txt,already on disk
Procurement,OPN,OPN_BA3_Book,HAVE,,7578096,256,a417ecef231928bf,OPN_BA3_Book_FY27.pdf,OPN_BA3_Book_FY27.txt,already on disk
Procurement,OPN,OPN_BA4_Book,HAVE,,7671873,280,0fdd466025514b85,OPN_BA4_Book_FY27.pdf,OPN_BA4_Book_FY27.txt,already on disk
Procurement,OPN,OPN_BA5-8_Book,OK,200,8752296,416,0fcd3794657f108b,OPN_BA5-8_Book_FY27.pdf,OPN_BA5-8_Book_FY27.txt,https://www.secnav.navy.mil/fmc/fmb/Documents/27pres/OPN_BA5-8_Book.pdf
Procurement,PMC,PMC_Book,HAVE,,6931900,496,7f9dc5d746ef1169,PMC_Book_FY27.pdf,PMC_Book_FY27.txt,already on disk
RDT&E,RDTEN,RDTEN_BA1-3_Book,HAVE,,51769921,830,576dd0385da38cb6,RDTEN_BA1-3_Book_FY27.pdf,RDTEN_BA1-3_Book_FY27.txt,already on disk
RDT&E,RDTEN,RDTEN_BA4_Book,HAVE,,84346287,1642,be47fdd219f8f983,RDTEN_BA4_Book_FY27.pdf,RDTEN_BA4_Book_FY27.txt,already on disk
RDT&E,RDTEN,RDTEN_BA5_Book,HAVE,,108731744,1830,ebbbf9613b715727,RDTEN_BA5_Book_FY27.pdf,RDTEN_BA5_Book_FY27.txt,already on disk
RDT&E,RDTEN,RDTEN_BA6_Book,HAVE,,49403785,324,3ccc4c32bd21af18,RDTEN_BA6_Book_FY27.pdf,RDTEN_BA6_Book_FY27.txt,already on disk
RDT&E,RDTEN,RDTEN_BA7-8_Book,HAVE,,88889948,1516,6c83a309367b2737,RDTEN_BA7-8_Book_FY27.pdf,RDTEN_BA7-8_Book_FY27.txt,already on disk
O&M,OMN,OMN_Book,HAVE,,7865227,701,7b22a39b88926e06,OMN_Book_FY27.pdf,OMN_Book_FY27.txt,already on disk
O&M,OMN,OMN_Vol2_Book,HAVE,,2087099,100,71a3095437bf2b02,OMN_Vol2_Book_FY27.pdf,OMN_Vol2_Book_FY27.txt,already on disk
O&M,OMNR,OMNR_Book,HAVE,,3109499,122,05960c9bdb56965d,OMNR_Book_FY27.pdf,OMNR_Book_FY27.txt,already on disk
O&M,OMMC,OMMC_Book,HAVE,,3020596,184,e0e0e1e9496303ff,OMMC_Book_FY27.pdf,OMMC_Book_FY27.txt,already on disk
O&M,OMMCR,OMMCR_Book,HAVE,,3478062,56,1846e57e8d19068b,OMMCR_Book_FY27.pdf,OMMCR_Book_FY27.txt,already on disk
MilPers,MPN,MPN_Book,HAVE,,3298983,173,82d3005acd563948,MPN_Book_FY27.pdf,MPN_Book_FY27.txt,already on disk
MilPers,RPN,RPN_Book,HAVE,,1859388,108,0aa2dd0ee293121d,RPN_Book_FY27.pdf,RPN_Book_FY27.txt,already on disk
MilPers,MPMC,MPMC_Book,HAVE,,2023964,110,f201b924aa9c95d8,MPMC_Book_FY27.pdf,MPMC_Book_FY27.txt,already on disk
MilPers,RPMC,RPMC_Book,HAVE,,1243516,101,c95470b7438c4640,RPMC_Book_FY27.pdf,RPMC_Book_FY27.txt,already on disk
MilCon,MCON,MCON_Book,HAVE,,13780581,762,4dde6b215aa04858,MCON_Book_FY27.pdf,MCON_Book_FY27.txt,already on disk
WCF,NWCF,NWCF_Book,HAVE,,12842003,210,c2e608f27175abcb,NWCF_Book_FY27.pdf,NWCF_Book_FY27.txt,already on disk
Overview,Highlights,Highlights_Book,HAVE,,33077607,142,d245c50ee9250a81,Highlights_Book_FY27.pdf,Highlights_Book_FY27.txt,already on disk
Overview,PressBrief,DON_Press_Brief,HAVE,,3863542,17,43e87d66b263d8ee,DON_Press_Brief_FY27.pdf,DON_Press_Brief_FY27.txt,already on disk
