piid,in_scope_17,records,total_dollars,eb_dollars,eb_pct,hii_dollars,hii_pct,other_us_dollars,other_us_pct,foreign_dollars,foreign_pct,unknown_dollars,unknown_pct,top_pop_state,top_pop_state_pct,top_pop_city,top_pop_city_pct
N0002416C2229,no,324,5103386070.64,0,0.0,0,0.0,5103386070.64,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002412C2115,yes,1191,4986346322.0,4986346322.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0002424C2114,yes,6,4346859034.0,0,0.0,0,0.0,4346859034.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0002424C2115,no,9,3692948206.0,0,0.0,0,0.0,3692948206.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0002419C2114,yes,11,3376284837.0,0,0.0,0,0.0,3376284837.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0002419C2115,yes,13,3053850028.0,0,0.0,0,0.0,3053850028.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0002424C2301,no,23,2501740929.0,0,0.0,0,0.0,2501740929.0,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002419C2235,no,168,1868085652.07,0,0.0,0,0.0,1868085652.07,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002416C2106,no,8,1753275197.0,0,0.0,0,0.0,1753275197.0,100.0,0,0.0,0,0.0,PA,100.0,"PITTSBURGH, PA",100.0
N0002419C2112,no,18,1051399060.0,0,0.0,0,0.0,1051399060.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
M6785416C0006,no,192,983752972.1,0,0.0,0,0.0,983752972.1,100.0,0,0.0,0,0.0,PA,100.0,"YORK, PA",100.0
N0002424C2135,no,12,923094823.0,0,0.0,0,0.0,923094823.0,100.0,0,0.0,0,0.0,TX,100.0,"BRYAN, TX",100.0
N0002417C2117,yes,20,711410502.0,711410502.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0002420C5380,no,34,589010821.02,0,0.0,0,0.0,589010821.02,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N6523617F3083,no,2,579128175.49,0,0.0,0,0.0,579128175.49,100.0,0,0.0,0,0.0,SC,100.0,"NORTH CHARLESTON, SC",100.0
N0002424C2112,no,9,512997491.0,0,0.0,0,0.0,512997491.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0002419C2210,no,57,499939809.34,0,0.0,0,0.0,499939809.34,100.0,0,0.0,0,0.0,MS,100.0,"PASCAGOULA, MS",100.0
N0002423C4424,no,109,436256366.14,0,0.0,0,0.0,436256366.14,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002409C2104,yes,785,418383760.0,418383760.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0001917C0081,no,46,405571757.0,0,0.0,0,0.0,405571757.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N6893617C0081,no,36,279065748.99,0,0.0,0,0.0,279065748.99,100.0,0,0.0,0,0.0,CA,100.0,"CORONADO, CA",100.0
N0002414C2104,no,117,268707249.0,268707249.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0001925F0187,no,14,248307488.72,0,0.0,0,0.0,248307488.72,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0017419C0004,no,29,247723584.1,0,0.0,0,0.0,247723584.1,100.0,0,0.0,0,0.0,MN,72.76,"MINNEAPOLIS, MN",72.76
N0003019C0100,no,69,245217129.0,0,0.0,0,0.0,245217129.0,100.0,0,0.0,0,0.0,FL,100.0,"TITUSVILLE, FL",100.0
N0002425C2405,no,8,222098104.0,0,0.0,0,0.0,222098104.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002418C4404,no,54,221210547.1,0,0.0,0,0.0,221210547.1,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0003019C0015,no,41,202043284.7,0,0.0,0,0.0,202043284.7,100.0,0,0.0,0,0.0,CA,100.0,"SUNNYVALE, CA",100.0
N0002425C4404,no,18,200431953.7,0,0.0,0,0.0,200431953.7,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002418C4439,no,162,199252791.4,0,0.0,0,0.0,199252791.4,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002417C2110,no,9,174838695.0,0,0.0,0,0.0,174838695.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0001923F0603,no,14,170997909.65,0,0.0,0,0.0,170997909.65,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001921F0001,no,6,167427222.27,0,0.0,0,0.0,167427222.27,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001920F0431,no,21,166892834.12,0,0.0,0,0.0,166892834.12,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001924F1885,no,15,162730060.65,0,0.0,0,0.0,162730060.65,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002413C2128,yes,133,161186677.0,161186677.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0001922F9001,no,10,160005953.58,0,0.0,0,0.0,160005953.58,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002421C5393,no,89,158886077.92,0,0.0,0,0.0,158886077.92,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N0001921F0191,no,13,154583623.95,0,0.0,0,0.0,154583623.95,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001922F0981,no,14,151868209.25,0,0.0,0,0.0,151868209.25,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001922F0001,no,8,147027390.49,0,0.0,0,0.0,147027390.49,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002424C5324,no,8,147017092.0,0,0.0,0,0.0,147017092.0,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N0003023C6045,no,32,143278814.0,0,0.0,0,0.0,143278814.0,100.0,0,0.0,0,0.0,NY,100.0,"UNIONDALE, NY",100.0
N0001923F2514,no,17,142255855.39,0,0.0,0,0.0,142255855.39,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001918F0583,no,8,138974206.96,0,0.0,0,0.0,138974206.96,100.0,0,0.0,0,0.0,CA,100.0,"OAKLAND, CA",100.0
N0002418C2230,no,9,137607000.0,0,0.0,0,0.0,137607000.0,100.0,0,0.0,0,0.0,MS,100.0,"PASCAGOULA, MS",100.0
N0001919F2564,no,9,135269203.5,0,0.0,0,0.0,135269203.5,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002421C4405,no,71,127064960.41,0,0.0,0,0.0,127064960.41,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N6852023F0189,no,14,127062942.37,0,0.0,0,0.0,127062942.37,100.0,0,0.0,0,0.0,CA,100.0,"CORONADO, CA",62.22
N0002415C4300,no,69,126587921.0,126587921.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0002421C4478,no,140,118674776.54,0,0.0,0,0.0,118674776.54,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N6945022F0786,no,1,110688000.0,0,0.0,0,0.0,110688000.0,100.0,0,0.0,0,0.0,GA,100.0,"KINGS BAY, GA",100.0
N0002418C2124,no,1,110610236.0,0,0.0,0,0.0,110610236.0,100.0,0,0.0,0,0.0,PA,100.0,"MONROEVILLE, PA",100.0
N0002420C5300,no,21,109973746.99,0,0.0,0,0.0,109973746.99,100.0,0,0.0,0,0.0,KY,100.0,"LOUISVILLE, KY",100.0
N6945023F0858,no,1,108502000.0,0,0.0,0,0.0,108502000.0,100.0,0,0.0,0,0.0,GA,100.0,"KINGS BAY, GA",100.0
N0003020C0100,no,43,107226082.05,0,0.0,0,0.0,107226082.05,100.0,0,0.0,0,0.0,FL,100.0,"TITUSVILLE, FL",100.0
N0001925F1023,no,6,106333853.89,0,0.0,0,0.0,106333853.89,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002421C4106,yes,31,103825275.13,0,0.0,0,0.0,103825275.13,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N0002420C4454,no,64,103682157.53,0,0.0,0,0.0,103682157.53,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002423C4404,no,89,101248319.62,0,0.0,0,0.0,101248319.62,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002422C2505,no,14,98697871.86,0,0.0,0,0.0,98697871.86,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002413C5314,no,15,97201037.0,0,0.0,0,0.0,97201037.0,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N0001923C0017,no,2,96169248.0,0,0.0,0,0.0,96169248.0,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0001924F5343,no,17,92441232.57,0,0.0,0,0.0,92441232.57,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0003921C5002,no,1,90264588.0,0,0.0,0,0.0,90264588.0,100.0,0,0.0,0,0.0,MA,100.0,"MARLBOROUGH, MA",100.0
M6785418C0007,no,29,88835492.96,0,0.0,0,0.0,88835492.96,100.0,0,0.0,0,0.0,PA,100.0,"YORK, PA",100.0
N0002423C4407,no,91,88611652.79,0,0.0,0,0.0,88611652.79,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0002425C4422,no,26,88016316.44,0,0.0,0,0.0,88016316.44,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N4008525C0032,no,1,86629930.0,86629930.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0001926F0047,no,2,85775655.16,0,0.0,0,0.0,85775655.16,100.0,0,0.0,0,0.0,IN,100.0,"INDIANAPOLIS, IN",100.0
N0002410C2118,yes,149,84515274.0,84515274.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,CT,100.0,"GROTON, CT",100.0
N0003022C0100,no,14,81713840.0,0,0.0,0,0.0,81713840.0,100.0,0,0.0,0,0.0,FL,100.0,"TITUSVILLE, FL",100.0
N0002415C4103,no,71,81402402.37,0,0.0,0,0.0,81402402.37,100.0,0,0.0,0,0.0,MN,100.0,"MINNEAPOLIS, MN",100.0
N0002416C2227,no,85,81020136.0,0,0.0,0,0.0,81020136.0,100.0,0,0.0,0,0.0,CA,100.0,"SAN DIEGO, CA",100.0
N0003023C0100,no,12,79683125.0,0,0.0,0,0.0,79683125.0,100.0,0,0.0,0,0.0,FL,100.0,"TITUSVILLE, FL",100.0
