rank,uei,vendor,foreign,amount_M_lifetime,records,fy_count,fys,piid_count,piids
1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,,1426.6223,64,8,"2017,2018,2019,2021,2022,2023,2024,2025",6,"N0002413C2128,N0002416C2111,N0002417C2100,N0002417C2117,N0002419C2114,N0002424C2110"
2,W8PTMRME1496,LEONARDO SPA,,490.6476,119,8,"2018,2019,2020,2021,2022,2023,2024,2025",6,"N0002416C2111,N0002417C2100,N0002417C2117,N0002419C2114,N0002419C2115,N0002424C2110"
3,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,,197.9923,88,4,"2022,2023,2024,2025",3,"N0002417C2100,N0002417C2117,N0002424C2110"
4,N1PJDANWUJ61,SCOT FORGE COMPANY,,197.5328,424,8,"2018,2019,2020,2021,2022,2023,2024,2025",5,"N0002413C2128,N0002416C2111,N0002417C2100,N0002417C2117,N0002424C2110"
5,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,,188.5239,133,8,"2018,2019,2020,2021,2022,2023,2024,2025",6,"N0002416C2111,N0002417C2100,N0002417C2117,N0002419C2114,N0002419C2115,N0002424C2110"
6,E8LNMDLEKM35,DC FABRICATORS INC,,162.9164,40,6,"2017,2021,2022,2023,2024,2025",4,"N0002417C2100,N0002417C2117,N0002419C2115,N0002424C2110"
7,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",,141.9053,73,4,"2022,2023,2024,2025",2,"N0002417C2100,N0002417C2117"
8,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,,110.8350,136,8,"2017,2018,2019,2020,2021,2022,2023,2024",5,"N0002416C2111,N0002417C2100,N0002417C2117,N0002419C2114,N0002419C2115"
9,F2LEAK3EK9R3,THE GRAHAM CORPORATION,,89.1203,28,5,"2021,2022,2023,2024,2025",3,"N0002417C2117,N0002419C2114,N0002419C2115"
10,UCWYBGRA11H1,"AUSTAL USA, LLC",,87.5554,24,3,"2022,2023,2024",2,"N0002417C2100,N0002417C2117"
11,LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,Yes,83.9819,5,2,"2023,2024",1,N0002417C2117
12,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",,82.6028,61,5,"2021,2022,2023,2024,2025",2,"N0002417C2100,N0002417C2117"
13,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,,74.7044,95,4,"2022,2023,2024,2025",3,"N0002417C2100,N0002417C2117,N0002424C2110"
14,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",,74.0757,29,4,"2019,2020,2021,2022",2,"N0002417C2100,N0002417C2117"
15,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",,71.4569,31,7,"2016,2019,2020,2021,2022,2023,2024",3,"N0002413C2128,N0002417C2100,N0002417C2117"
16,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",,68.8453,52,8,"2017,2019,2020,2021,2022,2023,2024,2025",3,"N0002417C2100,N0002417C2117,N0002424C2110"
17,EGAVSJTA2D81,GOODRICH CORP,,64.9453,29,4,"2021,2022,2023,2024",2,"N0002417C2100,N0002417C2117"
18,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",,58.7196,26,5,"2019,2021,2022,2023,2024",3,"N0002413C2128,N0002417C2100,N0002417C2117"
19,FLDEFFBLR5P3,"GLOBE COMPOSITE SOLUTIONS, LLC",,57.2668,16,4,"2021,2022,2023,2024",1,N0002417C2100
20,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",,52.9554,66,6,"2017,2018,2019,2020,2021,2022",2,"N0002417C2100,N0002417C2117"
21,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",,52.2770,75,9,"2016,2018,2019,2020,2021,2022,2023,2024,2025",5,"N0002416C2111,N0002417C2100,N0002417C2117,N0002419C2114,N0002419C2115"
22,CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",,51.7972,16,5,"2016,2017,2019,2020,2021",2,"N0002413C2128,N0002419C2115"
23,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",,51.2006,229,8,"2018,2019,2020,2021,2022,2023,2024,2025",5,"N0002413C2128,N0002416C2111,N0002417C2100,N0002417C2117,N0002424C2110"
24,TZVRTYNM3MN3,"PEGASUS STEEL, LLC",,48.9201,74,7,"2019,2020,2021,2022,2023,2024,2025",3,"N0002417C2100,N0002417C2117,N0002424C2110"
25,JEP5GQGFPUL9,PORTLAND VALVE LLC,,48.1286,60,4,"2022,2023,2024,2025",3,"N0002417C2100,N0002417C2117,N0002424C2110"
