LI,P-1 Line,Row Label,Prior Years,FY 2025,FY 2026,FY 2027 Base,FY 2027 OOC,FY 2027 Total,FY 2028,FY 2029,FY 2030,FY 2031,To Complete,Total
1045,1,Procurement Quantity (Units in Each),2,-,1,1,-,1,1,1,1,1,4,12
1045,1,Gross/Weapon System Cost ($ in Millions),"26,810.410",0.000,"10,744.317","10,486.369",0.000,"10,486.369","10,137.078","10,360.998","10,441.001","10,693.082","56,767.864","146,441.119"
1045,1,Less PY Advance Procurement ($ in Millions),-,-,-,850.012,-,850.012,"2,073.410","3,928.382","4,156.600","4,366.050","25,447.052","40,821.506"
1045,1,Less Cost To Complete ($ in Millions),"2,324.676",-,-,-,-,-,-,-,-,-,-,"2,324.676"
1045,1,Less AP Transfer to NSBDF ($ in Millions),"9,726.054",-,"3,486.442","2,731.572",-,"2,731.572","1,684.646",374.797,272.756,23.631,"5,696.773","23,996.671"
1045,1,Net Procurement (P-1) ($ in Millions),*.***,0.000,"3,928.828","6,904.785",0.000,"6,904.785","6,379.022","6,057.819","6,011.645","6,303.401","25,624.039","61,209.539"
1045,1,Full Funding TOA ($ in Millions),-,-,"3,928.828","10,233.832",-,"10,233.832","6,379.022","6,057.819","6,011.645","6,303.401","25,624.039","64,538.586"
1045,1,Plus CY Advance Procurement ($ in Millions),-,-,"5,350.766","4,763.342",-,"4,763.342","5,363.445","4,916.623","6,078.750","5,716.743","8,631.837","40,821.506"
1045,1,Plus Cost To Complete ($ in Millions),-,-,-,585.928,-,585.928,"1,092.396",377.039,269.313,-,-,"2,324.676"
1045,1,Plus AP Transfer to NSBDF ($ in Millions),"17,780.732","6,215.939",-,-,-,-,-,-,-,-,-,"23,996.671"
1045,1,Total Obligation Authority ($ in Millions),"29,175.577","9,580.774","9,279.594","15,583.102",0.000,"15,583.102","12,834.863","11,351.481","12,359.708","12,020.144","34,255.876","146,441.119"
1045,1,Plus Outfitting and Post Delivery ($ in Millions),10.742,17.175,46.987,32.988,-,32.988,122.109,174.607,171.221,169.424,"2,386.498","3,131.751"
1045,1,Total ($ in Millions),"29,186.319","9,597.949","9,326.581","15,616.090",-,"15,616.090","12,956.972","11,526.088","12,530.929","12,189.568","36,642.374","149,572.870"
1045,1,Gross/Weapon System Unit Cost ($ in Millions),"13,405.205",-,"10,744.317","10,486.369",-,"10,486.369","10,137.078","10,360.998","10,441.001","10,693.082","14,191.966","12,203.427"
2013,6,Procurement Quantity (Units in Each),40,1,1,2,-,2,2,2,2,2,6,58
2013,6,Gross/Weapon System Cost ($ in Millions),"124,749.281","9,500.534","5,389.109","11,437.036",0.000,"11,437.036","11,284.824","11,098.426","10,196.613","10,594.230","34,143.823","228,393.876"
2013,6,Less PY Advance Procurement ($ in Millions),"33,833.682","1,871.623","2,052.212","2,202.170",-,"2,202.170","2,303.210","2,389.410","2,612.924","2,512.463","10,736.079","60,513.773"
2013,6,Less Cost To Complete ($ in Millions),"5,588.193",-,-,-,-,-,-,-,-,-,-,"5,588.193"
2013,6,Less Economic Order Quantity ($ in Millions),"6,309.880",272.007,596.592,832.550,-,832.550,832.549,832.550,300.319,658.688,"2,757.600","13,392.735"
2013,6,Net Procurement (P-1) ($ in Millions),"77,067.526","7,356.904","2,740.305","8,402.316",0.000,"8,402.316","8,149.065","7,876.466","7,283.370","7,423.079","20,650.144","146,949.175"
2013,6,Full Funding TOA ($ in Millions),"77,067.526","9,306.904","2,740.305","8,402.316",-,"8,402.316","8,149.065","7,876.466","7,283.370","7,423.079","20,650.144","148,899.175"
2013,6,Plus CY Advance Procurement ($ in Millions),"35,856.222","2,421.954","2,418.954","4,143.618",-,"4,143.618","4,485.333","4,199.853","2,880.198","2,909.976",-,"59,316.108"
2013,6,Plus Cost To Complete ($ in Millions),"2,317.567",293.004,510.415,605.375,-,605.375,376.720,"1,108.900",671.667,902.210,-,"6,785.858"
2013,6,Plus Economic Order Quantity ($ in Millions),"7,669.917","1,298.349",707.862,-,-,-,-,"1,501.595","1,433.476",781.536,-,"13,392.735"
2013,6,Total Obligation Authority ($ in Millions),"122,911.232","13,320.211","6,377.536","13,151.309",0.000,"13,151.309","13,011.118","14,686.814","12,268.711","12,016.801","20,650.144","228,393.876"
2013,6,Plus Outfitting and Post Delivery ($ in Millions),"1,873.213",136.066,218.616,162.796,-,162.796,102.800,209.044,197.499,223.110,"1,959.530","5,082.674"
2013,6,Total ($ in Millions),"124,784.445","13,456.277","6,596.152","13,314.105",-,"13,314.105","13,113.918","14,895.858","12,466.210","12,239.911","22,609.674","233,476.550"
2013,6,Gross/Weapon System Unit Cost ($ in Millions),"3,118.732","9,500.534","5,389.109","5,718.518",-,"5,718.518","5,642.412","5,549.213","5,098.307","5,297.115","5,690.637","3,937.825"
