vintage,pb_year,li,class,category,is_total,fy,value_$M
FY22,2022,1045,Columbia,PLANS,yes,2020,872.662
FY22,2022,1045,Columbia,PLANS,yes,2021,85.000
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2020,460.469
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2021,136.000
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2022,225.550
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2020,83.747
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2021,86.288
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2022,177.391
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2020,148.380
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2021,27.468
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2022,87.060
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2020,74.343
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2021,78.165
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2022,146.419
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2020,5.808
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2021,12.553
FY22,2022,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2022,25.936
FY22,2022,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2021,816.737
FY22,2022,1045,Columbia,NUCLEAR PROPULSION PLANT EQUIPMENT (8),yes,2022,797.262
FY22,2022,1045,Columbia,HM&E (9),yes,2020,41.948
FY22,2022,1045,Columbia,HM&E (9),yes,2021,3.100
FY22,2022,1045,Columbia,HM&E (9),yes,2022,42.857
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2020,93.730
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2021,1.912
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (10) - LLTM,yes,2022,71.094
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2020,3.450
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2021,1.540
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (11) - ECONOMIC ORDER QUANTITY,yes,2022,9.811
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2021,4.412
FY22,2022,1045,Columbia,ORDNANCE SWS SHIPBOARD SYSTEMS (12) - CONTINUOUS PRODUCTION,yes,2022,52.503
FY22,2022,1045,Columbia,ELECTRONICS (13),yes,2020,36.390
FY22,2022,1045,Columbia,ELECTRONICS (13),yes,2022,8.097
FY22,2022,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2020,1820.927
FY22,2022,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2021,1253.175
FY22,2022,1045,Columbia,TOTAL: Advance Procurement / Obligation Authority,grand,2022,1643.980
FY22,2022,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2020,1246.830
FY22,2022,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2021,883.115
FY22,2022,2013,Virginia,Nuclear Propulsion Plant Equipment LLTM,subitem,2022,1121.470
FY22,2022,2013,Virginia,Electronics Equipment LLTM,subitem,2020,29.940
FY22,2022,2013,Virginia,Electronics Equipment LLTM,subitem,2021,30.540
FY22,2022,2013,Virginia,Electronics Equipment LLTM,subitem,2022,31.150
FY22,2022,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2020,542.963
FY22,2022,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2021,542.188
FY22,2022,2013,Virginia,Long Lead-Time CFE One Year AP,subitem,2022,533.556
FY22,2022,2013,Virginia,Advance Procurement,yes,2020,2087.588
FY22,2022,2013,Virginia,Advance Procurement,yes,2021,1745.767
FY22,2022,2013,Virginia,Advance Procurement,yes,2022,2120.407
FY22,2022,2013,Virginia,Economic Order of Quantity,yes,2020,881.964
FY22,2022,2013,Virginia,Economic Order of Quantity,yes,2021,427.420
FY22,2022,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2020,2969.552
FY22,2022,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2021,2173.187
FY22,2022,2013,Virginia,TOTAL: Advance Procurement / Obligation Authority,grand,2022,2120.407
FY23,2023,1045,Columbia,PLANS,yes,2021,85.000
FY23,2023,1045,Columbia,PLANS,yes,2022,110.000
FY23,2023,1045,Columbia,PLANS,yes,2023,541.000
FY23,2023,1045,Columbia,PLANS,yes,2024,400.000
FY23,2023,1045,Columbia,PLANS,yes,2025,395.000
FY23,2023,1045,Columbia,PLANS,yes,2026,151.000
FY23,2023,1045,Columbia,PLANS,yes,2027,149.894
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2021,136.000
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2022,225.550
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2023,564.070
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2024,364.546
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2025,589.311
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2026,452.307
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,yes,2027,704.323
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2021,86.288
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2022,177.391
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2023,221.311
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2024,173.451
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2025,216.261
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2026,261.291
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,yes,2027,297.346
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2021,27.468
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2022,87.060
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2023,184.669
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2024,124.678
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2025,608.727
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2026,583.783
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (5) - ADVANCE CONSTRUCTION,yes,2027,623.336
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2021,78.165
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2022,166.419
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2023,140.871
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2024,767.728
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2025,431.159
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2026,379.345
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (6) - EOQ IN SUPPORT OF MULTI PROGRAM PROCUREMENT,yes,2027,347.777
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2021,12.553
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2022,25.936
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2023,31.745
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2024,31.607
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2025,45.692
FY23,2023,1045,Columbia,BASIC CONSTRUCTION (7) - SHIPYARD MANUFACTURED ITEMS CONTINUOUS PRODUCTION,yes,2026,46.155
