FY,N0002412C2115_$M,N0002413C2128_$M,N0002416C2111_$M,N0002417C2100_$M,N0002417C2117_$M,N0002419C2114_$M,N0002419C2115_$M,N0002419C2125_$M,N0002420C4312_$M,N0002421C4106_$M,N0002421C4111_$M,N0002424C2110_$M,FY_TOTAL_$M
2013,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
2015,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.13
2016,38.64,153.21,2.79,0.94,10.57,0.0,0.0,-0.03,-0.11,0.0,0.0,0.0,206.0
2017,117.9,97.81,85.45,991.38,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.23
2018,70.54,4.94,78.93,625.12,247.28,0.0,0.0,0.78,0.0,0.0,0.0,0.0,1027.59
2019,6.46,3.7,36.73,539.07,398.07,85.4,376.78,10.2,0.0,0.0,0.0,0.0,1456.4
2020,0.0,1.15,5.38,177.93,57.72,15.35,77.26,18.63,0.04,0.0,0.0,0.0,353.45
2021,0.0,12.6,77.45,359.67,232.57,45.56,73.93,5.85,17.9,0.0,0.0,0.0,825.54
2022,0.0,0.07,-3.24,246.57,321.44,0.0,0.0,66.7,64.5,0.29,0.0,0.0,696.33
2023,0.0,0.0,1.86,959.62,2754.59,0.0,0.0,67.73,29.2,0.29,0.0,0.0,3813.3
2024,0.0,0.0,-0.08,235.64,3649.74,0.0,0.0,49.39,4.46,0.26,0.05,222.44,4161.9
2025,0.0,0.0,0.0,56.15,488.02,0.0,0.0,21.65,0.39,0.61,4.65,194.99,766.45
