LI,Class,FY,procurement_qty,gross_cost_$M,gross_unit_cost_$M,less_py_ap_$M,plus_cy_ap_$M,net_proc_$M,toa_$M,basic_construction_$M,plan_costs_$M,propulsion_$M,electronics_$M,hme_$M,ordnance_$M,other_cost_$M,change_orders_$M,technology_insertion_$M,total_ship_estimate_$M,gfe_sum_$M,prime_contract_sum_$M,basic_construction_pct_of_total,gfe_pct_of_total
1045,Columbia,2020,,0.000,,0.000,,0.000,1820.927,,,,,,,,,,,,,,
1045,Columbia,2021,1,15179.058,15179.058,,1253.175,2869.024,4122.199,5979.402,6946.282,1700.900,358.293,156.299,668.502,73.446,238.476,,16121.600,2727.695,6217.878,0.3709,0.1692
1045,Columbia,2022,,0.000,,,1773.980,0.000,4776.980,,,,,,,,,,,,,,
1045,Columbia,2023,,0.000,,,2778.553,0.000,5857.776,,,,,,,,,,,,,,
1045,Columbia,2024,1,10688.458,10688.458,769.075,3390.734,2443.598,7789.332,6356.087,1443.300,1613.999,349.701,119.107,596.757,66.618,143.242,,10688.811,2560.457,6499.329,0.5946,0.2395
1045,Columbia,2025,,0.000,,,6215.939,0.000,9580.774,,,,,,,,,,,,,,
1045,Columbia,2026,1,10744.317,10744.317,1183.076,5350.766,3928.828,9279.594,7159.768,1095.773,1294.878,361.283,102.496,468.840,43.887,217.392,,10744.317,2125.001,7377.160,0.6664,0.1978
1045,Columbia,2027,1,10486.369,10486.369,850.012,4763.342,6904.785,15583.102,6853.733,861.527,1541.973,367.634,101.710,512.585,40.078,207.129,,10486.369,2422.192,7060.862,0.6536,0.2310
2013,Virginia,2020,2,7483.677,3741.839,1756.902,2087.588,5365.181,8334.733,,,,,,,,,,,,,,
2013,Virginia,2021,2,7215.253,3607.627,1840.679,1745.767,4603.213,6776.400,,,,,,,,,,,,,,
2013,Virginia,2022,2,6900.757,3450.379,1888.328,2105.407,4234.240,6339.647,4758.283,252.399,1046.830,540.536,139.293,,67.806,95.212,15.398,6915.757,1587.366,4853.495,0.6880,0.2295
2013,Virginia,2023,2,7250.579,3625.290,1938.306,2025.651,4534.184,6864.537,5095.448,192.169,1083.115,551.346,141.566,,69.162,102.067,15.706,7250.579,1634.461,5197.515,0.7028,0.2254
2013,Virginia,2024,2,11377.643,5688.822,2297.678,1998.745,7129.965,10656.927,9070.762,207.166,1121.470,562.372,144.189,,70.546,185.118,16.020,11377.643,1683.842,9255.880,0.7972,0.1480
2013,Virginia,2025,1,9500.534,9500.534,1871.623,2421.954,7356.904,13320.211,5326.544,2595.816,1004.950,313.264,98.937,,35.978,108.705,16.340,9500.534,1318.214,5435.249,0.5607,0.1388
2013,Virginia,2026,1,5389.109,5389.109,2052.212,2418.954,2740.305,6377.536,3136.792,219.603,1035.070,598.515,150.015,,73.395,159.052,16.667,5389.109,1633.585,3295.844,0.5821,0.3031
2013,Virginia,2027,2,11437.036,5718.518,2202.170,4143.618,8402.316,13151.309,8889.310,223.443,1273.090,624.898,153.016,,74.863,181.415,17.001,11437.036,1897.988,9070.725,0.7772,0.1660
