rank,uei,vendor,amount_M_lifetime,primary_naics,naics_desc,naics_2digit,naics_4digit,naics_sector_label,cage,country,lookup_status
1,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,1426.6223,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,6A9R2,USA,ok
2,W8PTMRME1496,LEONARDO SPA,490.6476,336411,Aircraft Manufacturing ,33,3364,Manufacturing — Machinery/Electronics/Transport Eq,A1512,ITA,ok
3,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,197.9923,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing ",33,3339,Manufacturing — Machinery/Electronics/Transport Eq,0UBG9,USA,ok
4,N1PJDANWUJ61,SCOT FORGE COMPANY,197.5328,332111,Iron and Steel Forging ,33,3321,Manufacturing — Machinery/Electronics/Transport Eq,2W651,USA,ok
5,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,188.5239,551114,"Corporate, Subsidiary, and Regional Managing Offices ",55,5511,Management of Companies,51VQ7,USA,ok
6,E8LNMDLEKM35,DC FABRICATORS INC,162.9164,332312,Fabricated Structural Metal Manufacturing ,33,3323,Manufacturing — Machinery/Electronics/Transport Eq,65427,USA,ok
7,KENVPMBVBT39,"RHOADS METAL FABRICATIONS, INC.",141.9053,,,,,Unknown,,,not_found
8,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,110.835,332911,Industrial Valve Manufacturing ,33,3329,Manufacturing — Machinery/Electronics/Transport Eq,1SGJ6,USA,ok
9,F2LEAK3EK9R3,THE GRAHAM CORPORATION,89.1203,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,1LCX3,USA,ok
10,UCWYBGRA11H1,"AUSTAL USA, LLC",87.5554,,,,,Unknown,,,not_found
11,LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,83.9819,336611,Ship Building and Repairing ,33,3366,Manufacturing — Machinery/Electronics/Transport Eq,U1VL1,GBR,ok
12,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",82.6028,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",33,3369,Manufacturing — Machinery/Electronics/Transport Eq,6UJS1,USA,ok
