FY,N0002409C2104_$M,N0002410C2118_$M,N0002410C6266_$M,N0002411C2109_$M,N0002412C2115_$M,N0002413C2128_$M,N0002416C2111_$M,N0002417C2100_$M,N0002417C2117_$M,N0002419C2114_$M,N0002419C2115_$M,N0002421C4106_$M,N0002421C4111_$M,N0002424C2110_$M,N0002424C2114_$M,FY_TOTAL_$M,N0002409C2104_count,N0002410C2118_count,N0002410C6266_count,N0002411C2109_count,N0002412C2115_count,N0002413C2128_count,N0002416C2111_count,N0002417C2100_count,N0002417C2117_count,N0002419C2114_count,N0002419C2115_count,N0002421C4106_count,N0002421C4111_count,N0002424C2110_count,N0002424C2114_count,FY_TOTAL_count
2016,0.00,0.00,0.00,0.00,0.00,-0.13,0.00,0.94,3.55,0.00,0.00,0.00,0.00,0.00,0.00,4.37,0,0,0,0,0,12,0,1,8,0,0,0,0,0,0,21
2017,0.00,0.00,0.00,0.00,0.00,-0.01,48.12,125.69,1.18,0.00,0.00,0.00,0.00,0.00,0.00,174.98,0,0,0,0,0,5,9,30,24,0,0,0,0,0,0,68
2018,0.00,0.00,0.00,0.00,0.00,0.00,-6.24,50.28,8.13,0.00,0.00,0.00,0.00,0.00,0.00,52.18,0,0,0,0,0,0,13,68,88,0,0,0,0,0,0,169
2019,0.00,0.00,0.00,0.00,0.00,-1.46,5.24,219.43,72.01,29.56,14.98,0.00,0.00,0.00,0.00,339.77,0,0,0,0,0,6,67,368,149,11,12,0,0,0,0,613
2020,0.00,0.00,0.00,0.00,0.00,1.15,5.38,193.51,60.61,15.35,77.26,0.00,0.00,0.00,0.00,353.26,0,0,0,0,0,6,57,758,161,4,9,0,0,0,0,995
2021,0.00,0.00,0.00,0.00,0.00,12.60,77.45,353.44,11.91,45.56,73.93,0.00,0.00,0.00,0.00,574.89,0,0,0,0,0,20,27,540,411,24,23,0,0,0,0,1045
2022,0.00,0.00,0.00,0.00,0.00,0.07,-3.24,244.02,292.97,0.00,0.00,0.29,0.00,0.00,0.00,534.11,0,0,0,0,0,5,31,667,750,0,0,4,0,0,0,1457
2023,0.00,0.00,0.00,0.00,0.00,0.00,1.86,937.75,1107.61,0.00,0.00,0.29,0.00,0.00,0.00,2047.51,0,0,0,0,0,0,5,979,1157,0,0,3,0,0,0,2144
2024,0.00,0.00,0.00,0.00,0.00,0.00,-0.08,239.56,837.99,0.00,0.00,0.26,0.05,222.44,0.00,1300.22,0,0,0,0,0,0,8,695,1030,0,0,2,1,91,0,1827
2025,0.00,0.00,0.00,0.00,0.00,0.00,0.07,61.54,495.77,0.00,0.00,0.61,4.65,194.99,0.00,757.62,0,0,0,0,0,0,1,283,356,0,0,5,6,276,0,927
2026,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
