FY,N0002413C2128_$M,N0002416C2111_$M,N0002417C2100_$M,N0002417C2117_$M,N0002419C2114_$M,N0002419C2115_$M,N0002419C2125_$M,N0002420C4312_$M,N0002421C4106_$M,N0002421C4111_$M,N0002424C2110_$M,FY_TOTAL_$M,N0002413C2128_count,N0002416C2111_count,N0002417C2100_count,N0002417C2117_count,N0002419C2114_count,N0002419C2115_count,N0002419C2125_count,N0002420C4312_count,N0002421C4106_count,N0002421C4111_count,N0002424C2110_count
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0,0,0,0,0,0,1,0,0,0,0
2016,-0.13,0.0,0.94,3.55,0.0,0.0,-0.03,-0.11,0.0,0.0,0.0,4.22,12,0,1,8,0,0,2,1,0,0,0
2017,-0.01,48.12,125.69,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.98,5,9,30,24,0,0,2,0,0,0,0
2018,0.0,-6.24,50.28,8.13,0.0,0.0,0.78,0.0,0.0,0.0,0.0,52.95,0,13,68,88,0,0,8,0,0,0,0
2019,-1.46,5.24,219.43,72.01,29.56,14.98,10.2,0.0,0.0,0.0,0.0,349.97,6,67,368,149,11,12,52,0,0,0,0
2020,1.15,5.38,193.51,60.61,15.35,77.26,18.63,0.04,0.0,0.0,0.0,371.92,6,57,758,161,4,9,83,1,0,0,0
2021,12.6,77.45,353.44,11.91,45.56,73.93,5.85,17.9,0.0,0.0,0.0,598.64,20,27,540,411,24,23,362,108,0,0,0
2022,0.07,-3.24,244.02,302.73,0.0,0.0,66.7,64.5,0.29,0.0,0.0,675.06,5,31,667,754,0,0,216,118,4,0,0
2023,0.0,1.86,937.75,2690.34,0.0,0.0,67.73,29.2,0.29,0.0,0.0,3727.17,0,5,979,1165,0,0,322,145,3,0,0
2024,0.0,-0.08,239.56,3497.3,0.0,0.0,49.39,4.46,0.26,0.05,222.44,4013.38,0,8,695,1034,0,0,169,51,2,1,91
2025,0.0,0.07,61.54,495.77,0.0,0.0,21.65,0.39,0.61,4.65,194.99,779.66,0,1,283,356,0,0,75,6,5,6,276
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0,0,0,0,0,0,0,0,1,0,0
