LI,P-1 Line,Cost Category,FY Headers,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
1045,1,Plan Costs,2021|2024|2026|2027,1,"6,946.282",1,"1,443.300",1,"1,095.773",1,861.527,,,,,,,,
1045,1,Basic Construction/Conversion,2021|2024|2026|2027,"5,979.402","6,356.087","7,159.768","6,853.733",,,,,,,,,,,,
1045,1,Change Orders,2021|2024|2026|2027,238.476,143.242,217.392,207.129,,,,,,,,,,,,
1045,1,Electronics,2021|2024|2026|2027,358.293,349.701,361.283,367.634,,,,,,,,,,,,
1045,1,Propulsion Equipment,2021|2024|2026|2027,"1,700.900","1,613.999","1,294.878","1,541.973",,,,,,,,,,,,
1045,1,"Hull, Mechanical, and Electrical (HM&E)",2021|2024|2026|2027,156.299,119.107,102.496,101.710,,,,,,,,,,,,
1045,1,Ordnance,2021|2024|2026|2027,668.502,596.757,468.840,512.585,,,,,,,,,,,,
1045,1,Other Cost,2021|2024|2026|2027,73.446,66.618,43.887,40.078,,,,,,,,,,,,
1045,1,Total Ship Estimate,2021|2024|2026|2027,"16,121.600","10,688.811","10,744.317","10,486.369",,,,,,,,,,,,
2013,6,Plan Costs,2017|2018|2019|2020|2021|2022|2023|2024,2,180.184,2,187.778,2,472.813,2,394.106,2,303.171,2,252.399,2,192.169,2,207.166
2013,6,Basic Construction/Conversion,2017|2018|2019|2020|2021|2022|2023|2024,"3,773.705","3,915.756","5,140.029","6,126.117","5,870.865","5,525.279","5,369.398","9,070.762",,,,,,,,
2013,6,Change Orders,2017|2018|2019|2020|2021|2022|2023|2024,73.043,74.536,87.952,103.891,100.610,94.912,102.067,185.118,,,,,,,,
2013,6,Electronics,2017|2018|2019|2020|2021|2022|2023|2024,515.852,525.653,482.551,546.354,529.936,540.536,551.346,562.372,,,,,,,,
2013,6,Technology Insertion,2017|2018|2019|2020|2021|2022|2023|2024,12.501,18.000,8.500,15.096,14.800,15.398,15.706,16.020,,,,,,,,
2013,6,Propulsion Equipment,2017|2018|2019|2020|2021|2022|2023|2024,"1,032.500","1,051.100",871.675,"1,047.000","1,083.600","1,046.830","1,083.115","1,121.470",,,,,,,,
2013,6,Other Cost,2017|2018|2019|2020|2021|2022|2023|2024,54.058,55.140,60.070,65.168,66.476,67.806,69.162,70.546,,,,,,,,
2013,6,Total Ship Estimate,2017|2018|2019|2020|2021|2022|2023|2024,"5,752.033","5,940.357","7,242.618","8,423.614","8,097.858","7,682.453","7,524.529","11,377.643",,,,,,,,
2013,6,Plan Costs,2025|2026|2027,1,"2,595.816",1,219.603,2,223.443,,,,,,,,,,
2013,6,Basic Construction/Conversion,2025|2026|2027,"5,326.544","3,136.792","8,889.310",,,,,,,,,,,,,
2013,6,Change Orders,2025|2026|2027,108.705,159.052,181.415,,,,,,,,,,,,,
2013,6,Electronics,2025|2026|2027,313.264,598.515,624.898,,,,,,,,,,,,,
2013,6,Technology Insertion,2025|2026|2027,16.340,16.667,17.001,,,,,,,,,,,,,
2013,6,Propulsion Equipment,2025|2026|2027,"1,004.950","1,035.070","1,273.090",,,,,,,,,,,,,
2013,6,"Hull, Mechanical, and Electrical (HM&E)",2025|2026|2027,98.937,150.015,153.016,,,,,,,,,,,,,
2013,6,Other Cost,2025|2026|2027,35.978,73.395,74.863,,,,,,,,,,,,,
2013,6,Total Ship Estimate,2025|2026|2027,"9,500.534","5,389.109","11,437.036",,,,,,,,,,,,,
