LI,Class,Bucket,FY,Best Value $M,Source PB
1045,Columbia,EOQ,2020,77.793,PB2022
1045,Columbia,EOQ,2021,79.705,PB2023
1045,Columbia,EOQ,2022,176.230,PB2024
1045,Columbia,EOQ,2023,141.512,PB2025
1045,Columbia,EOQ,2024,778.925,PB2026
1045,Columbia,EOQ,2025,494.301,PB2027
1045,Columbia,EOQ,2026,382.154,PB2027
1045,Columbia,EOQ,2027,178.331,PB2027
1045,Columbia,EOQ,2028,191.647,PB2027
1045,Columbia,EOQ,2029,18.570,PB2027
1045,Columbia,EOQ,2030,1017.969,PB2027
1045,Columbia,EOQ,2031,695.466,PB2027
1045,Columbia,Electronics LLTM,2020,36.390,PB2022
1045,Columbia,Electronics LLTM,2022,8.097,PB2024
1045,Columbia,Electronics LLTM,2023,26.587,PB2025
1045,Columbia,Electronics LLTM,2024,8.430,PB2026
1045,Columbia,Electronics LLTM,2025,129.354,PB2027
1045,Columbia,Electronics LLTM,2026,110.601,PB2027
1045,Columbia,Electronics LLTM,2027,81.760,PB2027
1045,Columbia,Electronics LLTM,2028,83.395,PB2027
1045,Columbia,Electronics LLTM,2029,85.063,PB2027
1045,Columbia,Electronics LLTM,2030,86.765,PB2027
1045,Columbia,Electronics LLTM,2031,88.499,PB2027
1045,Columbia,HM&E LLTM,2020,41.948,PB2022
1045,Columbia,HM&E LLTM,2021,3.100,PB2023
1045,Columbia,HM&E LLTM,2022,42.857,PB2024
1045,Columbia,HM&E LLTM,2023,86.285,PB2025
1045,Columbia,HM&E LLTM,2024,66.824,PB2026
1045,Columbia,HM&E LLTM,2025,75.475,PB2027
1045,Columbia,HM&E LLTM,2026,86.202,PB2027
1045,Columbia,HM&E LLTM,2027,74.393,PB2027
1045,Columbia,HM&E LLTM,2028,119.156,PB2027
1045,Columbia,HM&E LLTM,2029,78.284,PB2027
1045,Columbia,HM&E LLTM,2030,79.138,PB2027
1045,Columbia,HM&E LLTM,2031,80.929,PB2027
1045,Columbia,Missile compartment LLTM,2020,83.747,PB2022
1045,Columbia,Missile compartment LLTM,2021,86.288,PB2023
1045,Columbia,Missile compartment LLTM,2022,177.391,PB2024
1045,Columbia,Missile compartment LLTM,2023,221.311,PB2025
1045,Columbia,Missile compartment LLTM,2024,174.136,PB2026
1045,Columbia,Missile compartment LLTM,2025,216.261,PB2027
1045,Columbia,Missile compartment LLTM,2026,261.290,PB2027
1045,Columbia,Missile compartment LLTM,2027,297.347,PB2027
1045,Columbia,Missile compartment LLTM,2028,301.020,PB2027
1045,Columbia,Missile compartment LLTM,2029,309.689,PB2027
1045,Columbia,Missile compartment LLTM,2030,320.267,PB2027
1045,Columbia,Missile compartment LLTM,2031,271.046,PB2027
1045,Columbia,Nuclear plant LLTM,2021,816.737,PB2023
1045,Columbia,Nuclear plant LLTM,2022,797.262,PB2024
1045,Columbia,Nuclear plant LLTM,2023,772.686,PB2025
1045,Columbia,Nuclear plant LLTM,2024,1272.405,PB2026
1045,Columbia,Nuclear plant LLTM,2025,1526.697,PB2027
1045,Columbia,Nuclear plant LLTM,2026,1440.528,PB2027
1045,Columbia,Nuclear plant LLTM,2027,1490.144,PB2027
1045,Columbia,Nuclear plant LLTM,2028,1544.116,PB2027
1045,Columbia,Nuclear plant LLTM,2029,1602.529,PB2027
1045,Columbia,Nuclear plant LLTM,2030,1665.462,PB2027
1045,Columbia,Nuclear plant LLTM,2031,1777.679,PB2027
1045,Columbia,Ordnance LLTM,2020,93.730,PB2022
1045,Columbia,Ordnance LLTM,2021,6.324,PB2023
1045,Columbia,Ordnance LLTM,2022,123.597,PB2024
1045,Columbia,Ordnance LLTM,2023,208.688,PB2025
1045,Columbia,Ordnance LLTM,2024,168.772,PB2026
1045,Columbia,Ordnance LLTM,2025,217.702,PB2027
1045,Columbia,Ordnance LLTM,2026,232.551,PB2027
