vintage,pb_year,li,fy,cost_category,qty,value_$M
FY22,2022,1045,2021,Plan Costs,1,6557.555
FY22,2022,1045,2021,Basic Construction/Conversion,,5297.871
FY22,2022,1045,2021,Change Orders,,299.365
FY22,2022,1045,2021,Electronics,,358.141
FY22,2022,1045,2021,Propulsion Equipment,,1700.896
FY22,2022,1045,2021,"Hull, Mechanical, and Electrical",(HM&E),174.348
FY22,2022,1045,2021,Ordnance,,564.115
FY22,2022,1045,2021,Other Cost,,78.242
FY22,2022,1045,2021,Total Ship Estimate,,15030.533
FY22,2022,2013,2022,Plan Costs,2,252.399
FY22,2022,2013,2022,Basic Construction/Conversion,,4758.283
FY22,2022,2013,2022,Change Orders,,95.212
FY22,2022,2013,2022,Electronics,,540.536
FY22,2022,2013,2022,Technology Insertion,,15.398
FY22,2022,2013,2022,Propulsion Equipment,,1046.830
FY22,2022,2013,2022,"Hull, Mechanical, and Electrical",(HM&E),139.293
FY22,2022,2013,2022,Other Cost,,67.806
FY22,2022,2013,2022,Total Ship Estimate,,6915.757
FY23,2023,1045,2021,Plan Costs,1,6557.555
FY23,2023,1045,2021,Basic Construction/Conversion,,5451.193
FY23,2023,1045,2021,Change Orders,,299.365
FY23,2023,1045,2021,Electronics,,358.141
FY23,2023,1045,2021,Propulsion Equipment,,1700.896
FY23,2023,1045,2021,"Hull, Mechanical, and Electrical",(HM&E),174.348
FY23,2023,1045,2021,Ordnance,,564.115
FY23,2023,1045,2021,Other Cost,,73.445
FY23,2023,1045,2021,Total Ship Estimate,,15179.058
FY23,2023,2013,2023,Plan Costs,2,192.169
FY23,2023,2013,2023,Basic Construction/Conversion,,5095.448
FY23,2023,2013,2023,Change Orders,,102.067
FY23,2023,2013,2023,Electronics,,551.346
FY23,2023,2013,2023,Technology Insertion,,15.706
FY23,2023,2013,2023,Propulsion Equipment,,1083.115
FY23,2023,2013,2023,"Hull, Mechanical, and Electrical",(HM&E),141.566
FY23,2023,2013,2023,Other Cost,,69.162
FY23,2023,2013,2023,Total Ship Estimate,,7250.579
FY24,2024,1045,2021,Plan Costs,1,6557.555
FY24,2024,1045,2024,Plan Costs,1,556.415
