LI,FY,Cost Category,Best Value $M,Source Vintage (PB Year),PB - FY,All Vintages Available
1045,2021,Basic Construction/Conversion,5979.402,PB2027,6,"PB2022=5297.871, PB2023=5451.193, PB2024=5451.193, PB2025=5451.193, PB2026=5979.078, PB2027=5979.402"
1045,2021,Change Orders,238.476,PB2027,6,"PB2022=299.365, PB2023=299.365, PB2024=299.365, PB2025=299.365, PB2026=238.476, PB2027=238.476"
1045,2021,Electronics,358.293,PB2027,6,"PB2022=358.141, PB2023=358.141, PB2024=358.141, PB2025=358.141, PB2026=358.293, PB2027=358.293"
1045,2021,"Hull, Mechanical, and Electrical",156.299,PB2027,6,"PB2022=174.348, PB2023=174.348, PB2024=174.348, PB2025=174.348, PB2026=156.299, PB2027=156.299"
1045,2021,Ordnance,668.502,PB2027,6,"PB2022=564.115, PB2023=564.115, PB2024=564.115, PB2025=564.115, PB2026=668.502, PB2027=668.502"
1045,2021,Other Cost,73.446,PB2027,6,"PB2022=78.242, PB2023=73.445, PB2024=73.445, PB2025=73.445, PB2026=73.446, PB2027=73.446"
1045,2021,Plan Costs,6946.282,PB2027,6,"PB2022=6557.555, PB2023=6557.555, PB2024=6557.555, PB2025=6557.555, PB2026=6946.282, PB2027=6946.282"
1045,2021,Propulsion Equipment,1700.900,PB2027,6,"PB2022=1700.896, PB2023=1700.896, PB2024=1700.896, PB2025=1700.896, PB2026=1700.900, PB2027=1700.900"
1045,2021,Total Ship Estimate,16121.600,PB2027,6,"PB2022=15030.533, PB2023=15179.058, PB2024=15179.058, PB2025=15179.058, PB2026=16121.276, PB2027=16121.600"
1045,2024,Basic Construction/Conversion,6356.087,PB2027,3,"PB2024=5770.476, PB2025=5768.379, PB2026=6355.733, PB2027=6356.087"
1045,2024,Change Orders,143.242,PB2027,3,"PB2024=286.485, PB2025=286.485, PB2026=143.242, PB2027=143.242"
1045,2024,Electronics,349.701,PB2027,3,"PB2024=349.701, PB2025=349.701, PB2026=349.701, PB2027=349.701"
1045,2024,"Hull, Mechanical, and Electrical",119.107,PB2027,3,"PB2024=119.108, PB2025=119.108, PB2026=119.108, PB2027=119.107"
1045,2024,Ordnance,596.757,PB2027,3,"PB2024=522.370, PB2025=522.370, PB2026=596.757, PB2027=596.757"
1045,2024,Other Cost,66.618,PB2027,3,"PB2024=66.728, PB2025=66.618, PB2026=66.618, PB2027=66.618"
1045,2024,Plan Costs,1443.300,PB2027,3,"PB2024=556.415, PB2025=556.415, PB2026=1443.300, PB2027=1443.300"
1045,2024,Propulsion Equipment,1613.999,PB2027,3,"PB2024=1614.000, PB2025=1614.000, PB2026=1613.999, PB2027=1613.999"
1045,2024,Total Ship Estimate,10688.811,PB2027,3,"PB2024=9285.283, PB2025=9283.076, PB2026=10688.458, PB2027=10688.811"
1045,2026,Basic Construction/Conversion,7159.768,PB2027,1,"PB2026=7127.344, PB2027=7159.768"
1045,2026,Change Orders,217.392,PB2027,1,"PB2026=179.217, PB2027=217.392"
1045,2026,Electronics,361.283,PB2027,1,"PB2026=361.283, PB2027=361.283"
1045,2026,"Hull, Mechanical, and Electrical",102.496,PB2027,1,"PB2026=102.496, PB2027=102.496"
1045,2026,Ordnance,468.840,PB2027,1,"PB2026=465.059, PB2027=468.840"
1045,2026,Other Cost,43.887,PB2027,1,"PB2026=43.887, PB2027=43.887"
1045,2026,Plan Costs,1095.773,PB2027,1,"PB2026=969.560, PB2027=1095.773"
1045,2026,Propulsion Equipment,1294.878,PB2027,1,"PB2026=1294.878, PB2027=1294.878"
1045,2026,Total Ship Estimate,10744.317,PB2027,1,"PB2026=10543.724, PB2027=10744.317"
1045,2027,Basic Construction/Conversion,6853.733,PB2027,0,PB2027=6853.733
1045,2027,Change Orders,207.129,PB2027,0,PB2027=207.129
1045,2027,Electronics,367.634,PB2027,0,PB2027=367.634
1045,2027,"Hull, Mechanical, and Electrical",101.710,PB2027,0,PB2027=101.710
1045,2027,Ordnance,512.585,PB2027,0,PB2027=512.585
1045,2027,Other Cost,40.078,PB2027,0,PB2027=40.078
1045,2027,Plan Costs,861.527,PB2027,0,PB2027=861.527
1045,2027,Propulsion Equipment,1541.973,PB2027,0,PB2027=1541.973
1045,2027,Total Ship Estimate,10486.369,PB2027,0,PB2027=10486.369
2013,2022,Basic Construction/Conversion,4758.283,PB2022,0,PB2022=4758.283
2013,2022,Change Orders,95.212,PB2022,0,PB2022=95.212
2013,2022,Electronics,540.536,PB2022,0,PB2022=540.536
2013,2022,"Hull, Mechanical, and Electrical",139.293,PB2022,0,PB2022=139.293
2013,2022,Other Cost,67.806,PB2022,0,PB2022=67.806
2013,2022,Plan Costs,252.399,PB2022,0,PB2022=252.399
2013,2022,Propulsion Equipment,1046.830,PB2022,0,PB2022=1046.830
2013,2022,Technology Insertion,15.398,PB2022,0,PB2022=15.398
2013,2022,Total Ship Estimate,6915.757,PB2022,0,PB2022=6915.757
2013,2023,Basic Construction/Conversion,5095.448,PB2024,1,"PB2023=5095.448, PB2024=5095.448"
2013,2023,Change Orders,102.067,PB2024,1,"PB2023=102.067, PB2024=102.067"
2013,2023,Electronics,551.346,PB2024,1,"PB2023=551.346, PB2024=551.346"
2013,2023,"Hull, Mechanical, and Electrical",141.566,PB2024,1,"PB2023=141.566, PB2024=141.566"
2013,2023,Other Cost,69.162,PB2024,1,"PB2023=69.162, PB2024=69.162"
2013,2023,Plan Costs,192.169,PB2024,1,"PB2023=192.169, PB2024=192.169"
2013,2023,Propulsion Equipment,1083.115,PB2024,1,"PB2023=1083.115, PB2024=1083.115"
2013,2023,Technology Insertion,15.706,PB2024,1,"PB2023=15.706, PB2024=15.706"
2013,2023,Total Ship Estimate,7250.579,PB2024,1,"PB2023=7250.579, PB2024=7250.579"
2013,2024,Basic Construction/Conversion,9070.762,PB2026,2,"PB2024=7159.762, PB2025=7159.762, PB2026=9070.762"
2013,2024,Change Orders,185.118,PB2026,2,"PB2024=146.118, PB2025=146.118, PB2026=185.118"
2013,2024,Electronics,562.372,PB2026,2,"PB2024=562.372, PB2025=562.372, PB2026=562.372"
2013,2024,"Hull, Mechanical, and Electrical",144.189,PB2026,2,"PB2024=144.189, PB2025=144.189, PB2026=144.189"
2013,2024,Other Cost,70.546,PB2026,2,"PB2024=70.546, PB2025=70.546, PB2026=70.546"
2013,2024,Plan Costs,207.166,PB2026,2,"PB2024=207.166, PB2025=207.166, PB2026=207.166"
2013,2024,Propulsion Equipment,1121.470,PB2026,2,"PB2024=1121.470, PB2025=1121.470, PB2026=1121.470"
2013,2024,Technology Insertion,16.020,PB2026,2,"PB2024=16.020, PB2025=16.020, PB2026=16.020"
2013,2024,Total Ship Estimate,11377.643,PB2026,2,"PB2024=9427.643, PB2025=9427.643, PB2026=11377.643"
2013,2025,Basic Construction/Conversion,5326.544,PB2027,2,"PB2025=3829.104, PB2026=5326.544, PB2027=5326.544"
2013,2025,Change Orders,108.705,PB2027,2,"PB2025=78.145, PB2026=108.705, PB2027=108.705"
2013,2025,Electronics,313.264,PB2027,2,"PB2025=313.264, PB2026=313.264, PB2027=313.264"
2013,2025,"Hull, Mechanical, and Electrical",98.937,PB2027,2,"PB2025=98.937, PB2026=98.937, PB2027=98.937"
2013,2025,Other Cost,35.978,PB2027,2,"PB2025=35.978, PB2026=35.978, PB2027=35.978"
