LI,Section,Row Label,FY,Best Value,Source Vintage (PB Year),FYs ahead/behind PB,All Vintages Available
1045,base,Gross/Weapon System Cost ($ in Millions),2020,0.000,PB2022,2,PB2022=0.000
1045,base,Gross/Weapon System Cost ($ in Millions),2021,"15,179.058",PB2023,2,"PB2022=15,030.533, PB2023=15,179.058"
1045,base,Gross/Weapon System Cost ($ in Millions),2022,0.000,PB2024,2,"PB2022=0.000, PB2023=0.000, PB2024=0.000"
1045,base,Gross/Weapon System Cost ($ in Millions),2023,0.000,PB2025,2,"PB2022=-, PB2023=0.000, PB2024=0.000, PB2025=0.000"
1045,base,Gross/Weapon System Cost ($ in Millions),2024,"10,688.458",PB2026,2,"PB2022=-, PB2023=9,280.203, PB2024=9,285.283, PB2025=9,283.076, PB2026=10,688.458"
1045,base,Gross/Weapon System Cost ($ in Millions),2025,0.000,PB2027,2,"PB2022=-, PB2023=0.000, PB2024=0.000, PB2025=0.000, PB2026=0.000, PB2027=0.000"
1045,base,Gross/Weapon System Cost ($ in Millions),2026,"10,744.317",PB2027,1,"PB2022=-, PB2023=8,260.711, PB2024=8,265.235, PB2025=8,755.955, PB2026=10,543.724, PB2027=10,744.317"
1045,base,Gross/Weapon System Cost ($ in Millions),2027,"10,486.369",PB2027,0,"PB2023=8,190.873, PB2024=8,200.770, PB2025=8,955.687, PB2026=-, PB2027=10,486.369"
1045,base,Gross/Weapon System Cost ($ in Millions),2028,"10,137.078",PB2027,-1,"PB2024=8,295.201, PB2025=8,986.039, PB2026=-, PB2027=10,137.078"
1045,base,Gross/Weapon System Cost ($ in Millions),2029,"10,360.998",PB2027,-2,"PB2025=9,187.449, PB2026=-, PB2027=10,360.998"
1045,base,Gross/Weapon System Cost ($ in Millions),2030,"10,441.001",PB2027,-3,"PB2026=-, PB2027=10,441.001"
1045,base,Gross/Weapon System Cost ($ in Millions),2031,"10,693.082",PB2027,-4,"PB2027=10,693.082"
1045,base,Net Procurement (P-1) ($ in Millions),2020,0.000,PB2022,2,PB2022=0.000
1045,base,Net Procurement (P-1) ($ in Millions),2021,-,PB2023,2,"PB2022=2,869.024, PB2023=-"
1045,base,Net Procurement (P-1) ($ in Millions),2022,0.000,PB2024,2,"PB2022=0.000, PB2023=0.000, PB2024=0.000"
1045,base,Net Procurement (P-1) ($ in Millions),2023,0.000,PB2025,2,"PB2022=-, PB2023=0.000, PB2024=0.000, PB2025=0.000"
1045,base,Net Procurement (P-1) ($ in Millions),2024,*.***,PB2026,2,"PB2022=-, PB2023=2,440.264, PB2024=2,443.598, PB2025=2,443.598, PB2026=*.***"
1045,base,Net Procurement (P-1) ($ in Millions),2025,0.000,PB2027,2,"PB2022=-, PB2023=0.000, PB2024=0.000, PB2025=0.000, PB2026=0.000, PB2027=0.000"
1045,base,Net Procurement (P-1) ($ in Millions),2026,"3,928.828",PB2027,1,"PB2022=-, PB2023=4,997.829, PB2024=4,986.454, PB2025=5,269.513, PB2026=3,928.828, PB2027=3,928.828"
1045,base,Net Procurement (P-1) ($ in Millions),2027,"6,904.785",PB2027,0,"PB2023=5,121.543, PB2024=5,128.147, PB2025=5,387.941, PB2026=-, PB2027=6,904.785"
1045,base,Net Procurement (P-1) ($ in Millions),2028,"6,379.022",PB2027,-1,"PB2024=4,946.093, PB2025=5,167.484, PB2026=-, PB2027=6,379.022"
1045,base,Net Procurement (P-1) ($ in Millions),2029,"6,057.819",PB2027,-2,"PB2025=4,800.982, PB2026=-, PB2027=6,057.819"
1045,base,Net Procurement (P-1) ($ in Millions),2030,"6,011.645",PB2027,-3,"PB2026=-, PB2027=6,011.645"
1045,base,Net Procurement (P-1) ($ in Millions),2031,"6,303.401",PB2027,-4,"PB2027=6,303.401"
1045,base,Procurement Quantity (Units in Each),2020,-,PB2022,2,PB2022=-
1045,base,Procurement Quantity (Units in Each),2021,1,PB2023,2,"PB2022=1, PB2023=1"
1045,base,Procurement Quantity (Units in Each),2022,-,PB2024,2,"PB2022=-, PB2023=-, PB2024=-"
1045,base,Procurement Quantity (Units in Each),2023,-,PB2025,2,"PB2022=-, PB2023=-, PB2024=-, PB2025=-"
1045,base,Procurement Quantity (Units in Each),2024,1,PB2026,2,"PB2022=-, PB2023=1, PB2024=1, PB2025=1, PB2026=1"
1045,base,Procurement Quantity (Units in Each),2025,-,PB2027,2,"PB2022=-, PB2023=-, PB2024=-, PB2025=-, PB2026=-, PB2027=-"
1045,base,Procurement Quantity (Units in Each),2026,1,PB2027,1,"PB2022=-, PB2023=1, PB2024=1, PB2025=1, PB2026=1, PB2027=1"
1045,base,Procurement Quantity (Units in Each),2027,1,PB2027,0,"PB2023=1, PB2024=1, PB2025=1, PB2026=-, PB2027=1"
1045,base,Procurement Quantity (Units in Each),2028,1,PB2027,-1,"PB2024=1, PB2025=1, PB2026=-, PB2027=1"
1045,base,Procurement Quantity (Units in Each),2029,1,PB2027,-2,"PB2025=1, PB2026=-, PB2027=1"
1045,base,Procurement Quantity (Units in Each),2030,1,PB2027,-3,"PB2026=-, PB2027=1"
1045,base,Procurement Quantity (Units in Each),2031,1,PB2027,-4,PB2027=1
1045,base,Total Obligation Authority ($ in Millions),2020,"1,820.927",PB2022,2,"PB2022=1,820.927"
1045,base,Total Obligation Authority ($ in Millions),2021,"4,122.199",PB2023,2,"PB2022=4,122.199, PB2023=4,122.199"
1045,base,Total Obligation Authority ($ in Millions),2022,"4,776.980",PB2024,2,"PB2022=4,646.980, PB2023=4,776.980, PB2024=4,776.980"
1045,base,Total Obligation Authority ($ in Millions),2023,"5,857.776",PB2025,2,"PB2022=-, PB2023=5,857.776, PB2024=5,857.776, PB2025=5,857.776"
1045,base,Total Obligation Authority ($ in Millions),2024,"7,789.332",PB2026,2,"PB2022=-, PB2023=5,815.252, PB2024=5,834.332, PB2025=5,834.332, PB2026=7,789.332"
1045,base,Total Obligation Authority ($ in Millions),2025,"9,580.774",PB2027,2,"PB2022=-, PB2023=7,222.907, PB2024=7,275.820, PB2025=9,557.174, PB2026=9,580.774, PB2027=9,580.774"
1045,base,Total Obligation Authority ($ in Millions),2026,"9,279.594",PB2027,1,"PB2022=-, PB2023=8,477.173, PB2024=8,467.564, PB2025=10,421.408, PB2026=8,994.594, PB2027=9,279.594"
1045,base,Total Obligation Authority ($ in Millions),2027,"15,583.102",PB2027,0,"PB2023=8,954.970, PB2024=8,788.208, PB2025=10,234.574, PB2026=-, PB2027=15,583.102"
1045,base,Total Obligation Authority ($ in Millions),2028,"12,834.863",PB2027,-1,"PB2024=8,728.802, PB2025=10,181.937, PB2026=-, PB2027=12,834.863"
