fy,quarter,call_date,source,url,txt_size_chars,filename
2019,4,2020-02-13,fool,https://www.fool.com/earnings/call-transcripts/2020/02/13/huntington-ingalls-industries-inc-hii-q4-2019-earn.aspx,56778,FY2019_Q4_fool.txt
2020,2,2020-08-06,fool,https://www.fool.com/earnings/call-transcripts/2020/08/06/huntington-ingalls-industries-inc-hii-q2-2020-earn.aspx,56580,FY2020_Q2_fool.txt
2020,3,2020-11-05,fool,https://www.fool.com/earnings/call-transcripts/2020/11/05/huntington-ingalls-industries-inc-hii-q3-2020-earn/,57389,FY2020_Q3_fool.txt
2020,4,2021-02-11,fool,https://www.fool.com/earnings/call-transcripts/2021/02/11/huntington-ingalls-industries-inc-hii-q4-2020-earn/,57200,FY2020_Q4_fool.txt
2021,1,2021-05-06,fool,https://www.fool.com/earnings/call-transcripts/2021/05/07/huntington-ingalls-industries-inc-hii-q1-2021-earn/,57950,FY2021_Q1_fool.txt
2021,2,2021-08-05,fool,https://www.fool.com/earnings/call-transcripts/2021/08/05/huntington-ingalls-industries-inc-hii-q2-2021-earn/,44669,FY2021_Q2_fool.txt
2021,3,2021-11-05,fool,https://www.fool.com/earnings/call-transcripts/2021/11/06/huntington-ingalls-industries-inc-hii-q3-2021-earn/,46944,FY2021_Q3_fool.txt
2022,4,2023-02-09,yahoo_partial,https://finance.yahoo.com/news/huntington-ingalls-industries-inc-nyse-193027426.html,20644,FY2022_Q4_yahoo_partial.txt
2023,1,2023-05-04,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q1-2023-earnings-call-transcript-1146780/,35503,FY2023_Q1_insidermonkey.txt
2023,2,2023-08-03,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q2-2023-earnings-call-transcript-1177069/,41443,FY2023_Q2_insidermonkey.txt
2023,3,2023-11-02,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q3-2023-earnings-call-transcript-1216238/,29140,FY2023_Q3_insidermonkey.txt
2023,4,2024-02-01,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q4-2023-earnings-call-transcript-1252909/,34502,FY2023_Q4_insidermonkey.txt
2024,1,2024-05-02,yahoo_partial,https://finance.yahoo.com/news/huntington-ingalls-industries-inc-nyse-153437306.html,12518,FY2024_Q1_yahoo_partial.txt
2024,2,2024-08-01,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q2-2024-earnings-call-transcript-1329301/,54443,FY2024_Q2_insidermonkey.txt
2024,3,2024-10-31,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q3-2024-earnings-call-transcript-1384117/,81283,FY2024_Q3_insidermonkey.txt
2024,4,2025-02-06,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q4-2024-earnings-call-transcript-1446124/,37371,FY2024_Q4_insidermonkey.txt
2025,1,2025-05-01,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q1-2025-earnings-call-transcript-1523872/,57323,FY2025_Q1_insidermonkey.txt
2025,2,2025-07-31,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q2-2025-earnings-call-transcript-1581886/,49857,FY2025_Q2_insidermonkey.txt
2025,3,2025-10-30,fool,https://www.fool.com/earnings/call-transcripts/2025/10/30/huntington-ingalls-hii-earnings-call-transcript/,47781,FY2025_Q3_fool.txt
2025,4,2026-02-05,fool,https://www.fool.com/earnings/call-transcripts/2026/02/05/huntington-ingalls-hii-earnings-call-transcript/,67128,FY2025_Q4_fool.txt
2025,4,2026-02-05,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q4-2025-earnings-call-transcript-1690272/,71030,FY2025_Q4_insidermonkey.txt
2026,1,2026-05-05,fool,https://www.fool.com/earnings/call-transcripts/2026/05/05/hii-q1-2026-earnings-call-transcript/,48552,FY2026_Q1_fool.txt
2026,1,2026-05-05,insidermonkey,https://www.insidermonkey.com/blog/huntington-ingalls-industries-inc-nysehii-q1-2026-earnings-call-transcript-1754830/,54095,FY2026_Q1_insidermonkey.txt
