slug,records,total_dollars,eb_pct,hii_pct,other_us_pct,foreign_pct,unknown_pct
bpmi_navy,97,15392719770.0,0.0,0.0,100.0,0.0,0.0
hii_nns_navy,5731,12671403824.7,0.04,0.1,99.62,0.25,0.0
gdeb_navy,3000,6137751850.19,99.99,0.0,0.01,0.0,0.0
rolls_royce_navy_sub,2980,4301635844.98,-0.0,0.0,97.73,2.27,0.0
bae_navy_sub,2223,3583696277.26,0.0,0.0,99.03,0.97,0.0
blueforge_navy,3901,2229297064.86,0.0,0.0,98.39,1.61,0.0
desc_virginia_class,420,2048029447.29,1.62,0.0,98.38,0.0,0.0
desc_columbia_class,237,1802713711.14,39.88,0.0,60.12,0.0,0.0
desc_submarine_navy_big,7,1027273105.49,8.43,0.0,91.57,0.0,0.0
lockheed_navy_sub,293,882695280.88,0.0,0.0,100.0,0.0,0.0
curtiss_wright_navy,2490,492798664.08,0.1,0.01,96.0,3.89,0.0
northrop_navy_sub,132,273155186.36,-0.01,0.0,100.01,0.0,0.0
l3harris_navy_sub,44,34892203.98,0.0,0.0,100.0,0.0,0.0
