fy,uei,vendor,foreign,amount_M,records
2016,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",,1.8587,2
2016,YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",,0.9523,2
2016,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,,0.8936,2
2016,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,,0.5871,1
2016,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",,0.1940,1
2016,CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",,0.1377,4
2016,XFMBL7A963X9,"OIL STATES INTERNATIONAL, INC.",,0.0216,2
2016,L4ZMKLM4MPL3,MOOG INC.,,0.0093,1
2016,GN84UHWZJMR8,"DAYTON T. BROWN, INC.",,0.0030,3
2016,Z19UP1U6FMT1,INDUSTRIAL TRANSFER AND STORAGE INC.,,-0.0001,2
2016,FLU4K8MGMZX7,"HITACHI, LTD.",,-0.2912,1
2017,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,,136.4146,9
2017,E8LNMDLEKM35,D.C. FABRICATORS INC.,,26.5201,8
2017,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,,7.2832,10
2017,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",,1.9089,2
2017,L8T4R3N7ACL6,COLFAX CORPORATION,,1.7998,1
2017,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,,0.4221,3
2017,TY25RCEB5FF3,"COLLINS & JEWELL COMPANY, INC.",,0.2315,5
2017,N9K8Y7U3RGA9,CATERPILLAR INC.,,0.2200,1
2017,Z8WNV7KTX267,"BURNS & MCDONNELL, INC.",,0.0965,1
2017,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,,0.0601,1
2017,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",,0.0549,2
2017,CMT4S6G76QB5,"BABCOCK & WILCOX COMPANY, THE",,0.0390,1
2017,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",,0.0307,1
2017,PX5GZY3JUU27,HALLMAN SEPTIC SERVICE LLC,,0.0278,1
2017,V1MQFNQB56Z5,RIX INDUSTRIES,,0.0235,1
2017,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,,0.0156,1
2017,RLYHS582JDW8,SCHLUMBERGER TECHNOLOGY CORPORATION,,0.0143,1
2017,JBMKQ8ZH6FN9,DOVER CORPORATION,,0.0118,1
2017,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC",,0.0073,1
2017,WEK3JBN7G6L7,ADMIRAL FILTER COMPANY LLC,,0.0032,1
2017,GLRVV6FC6DB3,GP STRATEGIES CORPORATION,,-0.0019,2
2017,ZPZMCRH2JSA3,"EZEFLOW USA, INC.",,-0.0075,3
2017,LFNVWPJYQKH4,COASTAL DESIGN LLC,,-0.0158,2
2017,DJH3J8S4C481,NTS HOLDING CORPORATION INC,,-0.0188,1
2017,DKNUHVKSM6J3,THE CIANBRO COMPANIES,,-0.0460,2
2017,SQRKBV7ET8S9,ALFA LAVAL AB,,-0.0554,1
2017,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,,-0.0586,5
2018,SQ2DSCE69F15,TELEDYNE TECHNOLOGIES INCORPORATED,,24.6961,14
2018,N1PJDANWUJ61,SCOT FORGE COMPANY,,20.8338,40
2018,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,,8.5430,1
2018,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,,6.2027,7
2018,V1MQFNQB56Z5,RIX INDUSTRIES,,3.3930,1
2018,SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,,3.3822,2
2018,W8PTMRME1496,LEONARDO SPA,,3.0684,3
2018,NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,,2.0000,1
2018,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",,1.8409,2
2018,MU3CM1145E44,PROGENY SYSTEMS CORPORATION,,1.7413,1
2018,MLNKDLL8KKW6,"HITACHI CONSTRUCTION MACHINERY CO., LTD.",,1.4971,1
2018,GLU5BML5XQK2,ROMEY PAUL VENTURES LLC,,1.1600,1
2018,PUG1H9MFJD63,"AMERICAN TANK & FABRICATING CO, THE",,0.8578,1
2018,UMMDFSB4ARJ7,TECHPRECISION CORPORATION,,0.7422,7
2018,UAWKMCFNMNT1,"CRAIG TECHNOLOGIES AEROSPACE SOLUTIONS, LLC",,0.5956,5
2018,GLRVV6FC6DB3,GP STRATEGIES CORPORATION,,0.5400,1
2018,F2KSX22KK1E4,"BLOOMY CONTROLS, INC.",,0.3527,4
2018,EBMBBLNWAZS8,"PRECISION RESOURCES, INC.",,0.2961,2
2018,MTNSMCNJCNE1,"LJM PACKAGING CO., INC.",,0.2040,2
2018,KDNEW5AC1X41,AGI UK ACQUISITION LIMITED,Yes,0.1904,2
2018,PPLZG8J3N9D4,UNITED TECHNOLOGIES CORPORATION,,0.1750,1
2018,JBMKQ8ZH6FN9,DOVER CORPORATION,,0.1639,1
2018,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",,0.1252,3
2018,FR7WWCCNBQZ6,D K MACHINE INC,,0.1082,1
2018,YVBHN7GKLQ44,"GLENAIR, INC.",,0.1049,4
2018,LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",,0.0754,1
2018,CABCB9XBJHK5,"APOLLO PROFESSIONAL SOLUTIONS, INC.",,0.0750,1
2018,W1LDBNHD4EM7,SCHLUMBERGER N.V.,,0.0684,2
2018,UKXMHUWSFLW7,"G.W. LISK COMPANY, INC.",,0.0676,2
2018,QNEXJLA47BM4,"JAMESTOWN METAL MARINE SALES, INC.",,0.0622,1
2018,FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",,0.0455,1
2018,W3KUJLTCRLV1,AMMCON CORP.,,0.0428,2
2018,L4ZMKLM4MPL3,MOOG INC.,,0.0343,2
2018,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",,0.0334,3
2018,C1B6X8AADFB1,"COMSACO, INC.",,0.0319,5
2018,YA7EN5YYJYS8,"APOLLO PROFESSIONAL SOLUTIONS, INC.",,0.0311,1
2018,D3NDZT2XLW83,"MARINE AIR SUPPLY CO., INC.",,0.0299,1
2018,WLEATDDTMCT3,"GRAYCLIFF PARTNERS, LP",,0.0276,1
2018,DNV6ZJNJPLW8,AMERICAN INDUSTRIAL ACQUISITION CORPORATION,,0.0165,2
2018,DJH3J8S4C481,NTS HOLDING CORPORATION INC,,0.0156,3
2018,L7DWM5VV9T97,NTS TECHNICAL SYSTEMS,,0.0155,2
2018,WXRTZLL25AE5,"SEEMANN COMPOSITES, LLC",,0.0130,1
2018,GTP8S87MBPF3,"GREENLAND ENTERPRISES, INC.",,0.0096,1
2018,M6CTHGC91RG4,"MARTINEZ AND TUREK, INC.",,0.0065,1
