state,state_name,amount_M,pct_of_us_total,records,unique_vendors
CA,California,1539.0387115700007,0.25923880788822434,481,56
PA,Pennsylvania,759.5038889100001,0.12793237835235793,966,74
MA,Massachusetts,578.5579855299998,0.09745348270675248,1345,93
WI,Wisconsin,473.3480479499999,0.07973170703522928,245,18
NJ,New Jersey,301.23720686999974,0.050741007236194687,482,37
NY,New York,294.52872306,0.04961101659166587,635,55
IL,Illinois,219.83681841000006,0.0370297603992116,465,17
CT,Connecticut,196.27133448,0.033060342401213146,1080,85
VA,Virginia,184.73829963999998,0.031117694577751313,493,64
FL,Florida,159.43718345999997,0.026855923156775367,522,34
OH,Ohio,138.76447374999995,0.023373769926482192,425,30
SC,South Carolina,135.16790820000003,0.022767957117054736,136,14
TX,Texas,128.37614687000004,0.021623939037837984,176,19
NH,New Hampshire,117.28998714000004,0.01975656376595034,247,12
MI,Michigan,107.63751011,0.018130680921279695,181,17
AL,Alabama,91.34566069999997,0.015386448701783127,37,9
CA,CALIFORNIA,76.14721091,0.012826390936056538,6,4
NC,North Carolina,75.39588721000001,0.012699836445346245,66,20
MN,Minnesota,33.53404309,0.005648542358922038,38,10
KY,Kentucky,31.61481701,0.005325264018158509,42,1
RI,Rhode Island,28.770133519999998,0.004846099750734315,291,30
KS,Kansas,27.94050075,0.004706354721149969,13,4
MS,Mississippi,23.8746548,0.0040214953675733875,25,3
NJ,NEW JERSEY,21.314687629999995,0.0035902892956307273,9,3
LA,Louisiana,20.85313267999999,0.0035125440419776534,28,5
PA,PENNSYLVANIA,20.395709430000004,0.0034354947402681557,6,3
CO,Colorado,18.31381914,0.0030848169094401666,41,7
WI,WISCONSIN,17.17327338,0.0028927010640481124,2,2
AZ,Arizona,16.158434050000004,0.0027217594651594754,68,10
MD,Maryland,15.70820158,0.0026459213930447685,97,23
OR,Oregon,9.773628399999994,0.0016462898276118187,129,4
OH,OHIO,9.684783679999999,0.0016313246424434309,11,6
NY,NEW YORK,8.507028759999999,0.001432941210532333,1,1
WA,Washington,8.310746900000003,0.0013998790951911442,105,12
TN,Tennessee,6.3750886399999995,0.0010738328846383875,14,3
GA,Georgia,5.732381049999999,0.000965573912203349,45,9
OK,Oklahoma,5.568781400000001,0.0009380168547244857,52,4
IL,ILLINOIS,5.03399429,0.0008479362272339906,11,1
NH,NEW HAMPSHIRE,4.795776,0.0008078102544091917,8,1
DC,District of Columbia,4.0,0.0006737681279602648,1,1
IN,Indiana,3.04629066,0.0005131233888027598,8,4
WV,West Virginia,2.6197765,0.00044128047701982366,4,2
MA,MASSACHUSETTS,1.89307876,0.00031887403305163486,10,5
MO,Missouri,1.88832246,0.0003180728722148805,36,8
ME,Maine,1.825886,0.000307555948022214,21,4
IA,Iowa,1.3211521000000002,0.00022253754429194317,4,3
WA,WASHINGTON,1.2547248500000001,0.00021134840332243105,2,1
CT,CONNECTICUT,0.5271463200000001,8.879359729688569e-05,5,4
MI,MICHIGAN,0.38319640000000005,6.454638026727821e-05,2,2
NV,Nevada,0.36898423999999996,6.215245515791026e-05,8,3
VA,VIRGINIA,0.367811,6.195483222829823e-05,2,2
RI,RHODE ISLAND,0.331852,5.5897825199967444e-05,3,3
UT,Utah,0.294064,4.9532737695126826e-05,2,2
SD,South Dakota,0.2575,4.337382323744205e-05,3,1
FL,FLORIDA,0.1472186,2.479780013073276e-05,1,1
ID,Idaho,0.1,1.6844203199006622e-05,1,1
AL,ALABAMA,0.04268294,7.189601144910076e-06,1,1
SD,SOUTH DAKOTA,0.0342,5.760717494060265e-06,1,1
