fy,total_$M,yoy_pct,records,unique_parent_ueis,top5_share,top10_share,hhi_0_to_10000,concentration_label,top3_naics4_$
2016,4.365903650000001,,21,11,1.0274116195853291,1.0667069233192998,2962.392188154609,Highly concentrated,3345=$2M; 3364=$0M
2017,174.98083652999995,39.07895055815076,68,27,0.9939750910390738,0.9998623875020974,6327.101435371498,Highly concentrated,3364=$136M; 3323=$27M; 3329=$7M
2018,52.17688136000002,-0.7018137391802076,169,56,1.220245753108767,1.4508611173536796,6620.243102228609,Highly concentrated,3344=$25M; 3321=$21M; 5511=$8M
2019,339.76981043,5.511884221015848,613,163,0.6087547269083015,0.7267940675702723,973.4423615021997,Competitive,5511=$74M; 3345=$37M; 3366=$33M
2020,353.25565357000016,0.03969111653249291,995,216,0.4542251027504197,0.6003458640697329,522.9690407375269,Competitive,3329=$50M; 3364=$32M; 3321=$24M
2021,574.8903553099999,0.6274059579801778,1045,296,0.4788557892079347,0.6171746619730225,823.4416287327898,Competitive,3364=$159M; 3329=$98M; 3366=$74M
2022,534.1076509200001,-0.07093996970606409,1457,365,0.31449180883416944,0.4344246029622106,322.1172052475627,Competitive,3323=$55M; 3364=$51M; 3339=$46M
2023,2047.5064931599998,2.833509011962609,2144,371,0.5567408768851808,0.6680417142897496,1188.5801742504261,Competitive,3364=$886M; 3323=$106M; 3339=$99M
2024,1300.220636939999,-0.3649736197254664,1827,335,0.42393744878349954,0.5828789796119606,571.6090665634448,Competitive,3364=$376M; 3366=$122M; 3329=$82M
2025,757.6198510500002,-0.41731439301485107,927,210,0.5003084143250418,0.622343448810824,1392.2630180975545,Competitive,3364=$292M; 3323=$57M; 3329=$50M
2026,0.29999,-0.9996040362464312,1,1,1.0,1.0,10000.0,Highly concentrated,3323=$0M
