LI,P-1 Line,Ship,Shipbuilder,FY,Contract Award,Start Construction,Delivery Date
1045,1,SSBN 826,General Dynamics Electric Boat,2021,Oct 2020,Oct 2020,Mar 2029
1045,1,SSBN 827,General Dynamics Electric Boat,2024,Oct 2020,Sep 2023,Apr 2030
1045,1,SSBN 828,General Dynamics Electric Boat,2026,May 2026,Apr 2025,Aug 2031
1045,1,SSBN 829,General Dynamics Electric Boat,2027,May 2026,Jun 2026,Sep 2032
1045,1,SSBN 830,General Dynamics Electric Boat,2028,May 2026,Jun 2027,Aug 2033
1045,1,SSBN 831,General Dynamics Electric Boat,2029,May 2026,Jun 2028,Jul 2034
1045,1,SSBN 832,General Dynamics Electric Boat,2030,May 2026,Jun 2029,Jun 2035
1045,1,SSBN 833,General Dynamics Electric Boat,2031,Nov 2030,Jun 2030,May 2036
2013,6,SSN 799,EB/HII-NNS,2017,Apr 2014,Sep 2017,Dec 2025
2013,6,SSN 800,EB/HII-NNS,2018,Apr 2014,Mar 2018,Dec 2026
2013,6,SSN 801,EB/HII-NNS,2018,Apr 2014,Sep 2018,May 2027
2013,6,SSN 802,EB/HII-NNS,2019,Dec 2019,Sep 2019,Sep 2028
2013,6,SSN 803,EB/HII-NNS,2019,Dec 2019,Mar 2020,Jul 2029
2013,6,SSN 804,EB/HII-NNS,2020,Dec 2019,Sep 2020,Jun 2030
2013,6,SSN 805,EB/HII-NNS,2020,Dec 2019,May 2021,Sep 2030
2013,6,SSN 806,EB/HII-NNS,2021,Dec 2019,Aug 2022,Apr 2031
2013,6,SSN 807,EB/HII-NNS,2021,Dec 2019,Nov 2022,Jan 2032
2013,6,SSN 808,EB/HII-NNS,2022,Dec 2019,Aug 2023,Nov 2031
2013,6,SSN 809,EB/HII-NNS,2022,Dec 2019,Dec 2023,Jul 2032
2013,6,SSN 810,EB/HII-NNS,2023,Dec 2019,May 2024,Nov 2032
2013,6,SSN 811,EB/HII-NNS,2023,Dec 2019,Nov 2024,Apr 2033
2013,6,SSN 812,EB/HII-NNS,2024,Apr 2025,Jan 2026,Dec 2034
2013,6,SSN 813,EB/HII-NNS,2024,Apr 2025,May 2025,Jan 2034
2013,6,SSN 814,EB/HII-NNS,2025,May 2026,Sep 2026,Apr 2035
2013,6,SSN 815,EB/HII-NNS,2026,May 2026,Mar 2027,Sep 2035
2013,6,SSN 816,EB/HII-NNS,2026,May 2026,Sep 2027,Feb 2036
2013,6,SSN 817,EB/HII-NNS,2027,May 2026,Mar 2028,Jul 2036
2013,6,SSN 818,EB/HII-NNS,2027,May 2026,Sep 2028,Dec 2036
2013,6,SSN 819,EB/HII-NNS,2028,May 2026,Mar 2029,May 2037
2013,6,SSN 820,EB/HII-NNS,2028,May 2026,Sep 2029,Oct 2037
2013,6,SSN 821,EB/HII-NNS,2029,May 2026,Mar 2030,Mar 2038
2013,6,SSN 822,EB/HII-NNS,2029,May 2026,Sep 2030,Jul 2038
2013,6,SSN 823,EB/HII-NNS,2030,Dec 2029,Mar 2031,Jun 2038
2013,6,SSN 824,EB/HII-NNS,2030,Dec 2029,Sep 2031,Nov 2038
2013,6,SSN 825,EB/HII-NNS,2031,Dec 2029,Mar 2032,Apr 2039
2013,6,SSN 850,EB/HII-NNS,2031,Dec 2029,Sep 2032,Sep 2039
