LI,Class,Category,Bucket,FY,Best Value $M,Source PB,All Vintages
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2020,460.469,PB2022,PB2022=460.469
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2021,136.000,PB2023,"PB2022=136.000, PB2023=136.000"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2022,225.550,PB2024,"PB2022=225.550, PB2023=225.550, PB2024=225.550"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2023,564.070,PB2025,"PB2023=564.070, PB2024=564.070, PB2025=564.070"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2024,364.957,PB2026,"PB2023=364.546, PB2024=364.957, PB2025=364.957, PB2026=364.957"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2025,822.913,PB2027,"PB2023=589.311, PB2024=594.091, PB2025=863.901, PB2026=810.400, PB2027=822.913"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2026,515.253,PB2027,"PB2023=452.307, PB2024=452.697, PB2025=600.031, PB2026=515.253, PB2027=515.253"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2027,915.421,PB2027,"PB2023=704.323, PB2024=704.787, PB2025=1008.020, PB2027=915.421"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2028,1150.939,PB2027,"PB2024=886.907, PB2025=1245.464, PB2027=1150.939"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2029,1191.642,PB2027,"PB2025=1327.114, PB2027=1191.642"
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2030,1295.917,PB2027,PB2027=1295.917
1045,Columbia,BASIC CONSTRUCTION (3) - SHIPBUILDER PROCURED LLTM,Shipbuilder-procured LLTM,2031,1282.388,PB2027,PB2027=1282.388
1045,Columbia,BASIC CONSTRUCTION (4) - MISSILE TUBE CONTINUOUS PRODUCTION & OUTFITTING,Missile compartment LLTM,2020,83.747,PB2022,PB2022=83.747
