Recipient,Total_$M_across_window
BLUEFORGE ALLIANCE,4213.96
NORTHROP GRUMMAN SYSTEMS CORPORATION,2210.48
CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,515.47
DRS NAVAL POWER SYSTEMS INC,477.15
SCOT FORGE COMPANY,355.3
BAE SYSTEMS LAND & ARMAMENTS L.P.,355.27
"BWXT NUCLEAR OPERATIONS GROUP, INC.",289.87
DC FABRICATORS INC,254.78
BABCOCK MARINE (ROSYTH) LIMITED,240.47
"GLOBE COMPOSITE SOLUTIONS, LLC",223.06
"PRECISION CUSTOM COMPONENTS, LLC",214.53
APCO TECHNOLOGIES SA,202.36
"RHOADS METAL FABRICATIONS, INC.",149.52
"JOHNSON CONTROLS NAVY SYSTEMS, LLC",126.99
CURTISS-WRIGHT FLOW CONTROL CORPORATION,126.49
PORTLAND VALVE LLC,117.33
VACCO INDUSTRIES,109.96
"OIL STATES INDUSTRIES, INC.",104.64
TELEDYNE INSTRUMENTS INC,103.51
HUNTINGTON INGALLS INC,98.09
GRAHAM CORP,91.09
"AUSTAL USA, LLC",88.08
"W INTERNATIONAL, LLC",84.62
"W INTERNATIONAL SC, LLC",84.28
ROSYTH ROYAL DOCKYARD LIMITED,83.98
EMS DEVELOPMENT CORPORATION,80.48
"HUNT VALVE COMPANY, INC.",79.51
PRL INDUSTRIES INC,78.39
"TRAINING MODERNIZATION GROUP, INC.",77.03
"PEGASUS STEEL, LLC",70.63
MOOG INC.,67.54
GOODRICH CORPORATION,66.1
WAUKESHA BEARINGS CORPORATION,64.79
CIRCOR NAVAL SOLUTIONS LLC,64.67
LOCKHEED MARTIN CORPORATION,62.49
"ADVANCE MFG.CO., INC.",60.26
"L3 TECHNOLOGIES, INC.",59.35
"CP INDUSTRIES HOLDINGS, INC",58.3
"PCB PIEZOTRONICS, INC.",57.3
"IMIA, LLC",57.21
"B & F MACHINE CO., INC.",53.39
MAROTTA CONTROLS INC,53.0
"BWX TECHNOLOGIES, INC.",52.66
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",48.99
"KME AMERICA MARINE TUBE & FITTING, LLC",47.45
GOODWIN STEEL CASTINGS LIMITED,46.4
"ALLARD NAZARIAN GROUP, INC.",40.28
"CEPEDA ASSOCIATES, INC.",37.43
CUSTOM ALLOY CORPORATION,37.14
"DRS NAVAL POWER SYSTEMS, INC.",36.06
"PEERLESS INSTRUMENT CO., INC.",36.01
THE AMERICAN TANK & FABRICATING COMPANY,35.82
HANSOME ENERGY SYSTEMS INC,35.15
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",34.74
"L.M. GILL WELDING & MANUFACTURING, L.L.C.",34.11
"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",33.36
"JAMESTOWN METAL MARINE SALES, INC.",31.12
"SARGENT AEROSPACE & DEFENSE, LLC",30.95
CUNICO CORPORATION,30.31
C. H. POWELL COMPANY,30.16
RIX INDUSTRIES,29.43
LOCKHEED MARTIN CORP,29.31
"COLLINS & JEWELL COMPANY, INC.",28.88
"EURO MACHINERY SPECIALISTS, INC",28.04
OCEANEERING INTERNATIONAL INC,27.33
MW JONES & COMPANY INC,26.64
"BRANTNER AND ASSOCIATES, INC.",25.25
AMERICAN STEEL AND ALUMINUM LLC,25.21
CATERPILLAR INC,23.69
TRIDENT MARITIME SYSTEMS UK LIMITED,22.97
HAMILL MANUFACTURING COMPANY,22.29
IMO INDUSTRIES INC.,22.18
ESPEY MFG AND ELECTRONICS CORP,22.07
"PLAINVILLE ELECTRICAL PRODUCTS COMPANY, THE",21.67
BEAST CODE LLC,21.21
ROMEY PAUL VENTURES LLC,20.92
A/Z CORPORATION,20.34
CIRCOR PUMPS NORTH AMERICA LLC,19.33
DELTAK MANUFACTURING INC,18.65
KSARIA CORPORATION,18.42
CURTISS-WRIGHT ELECTRO-MECHANICAL CORP,18.39
PARKER HANNIFIN CORPORATION,18.35
"CRAFT MACHINE WORKS, INC.",18.19
901 D LLC,17.77
"LEIDOS, INC.",17.51
STRYTEN ENERGY LLC,17.04
RANOR INC.,16.88
"FOSTER-MILLER, INC.",16.42
AMERICAST TECHNOLOGIES INC,15.99
"FLUID CONDITIONING PRODUCTS, INC.",15.9
"METALTEK INTERNATIONAL, INC.",15.82
POWER PARAGON INC,15.54
"LYME COMPUTER SYSTEMS, INC.",15.39
SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,15.21
"SEEMANN COMPOSITES, LLC",15.11
"HUTCHINSON AEROSPACE & INDUSTRY, INC.",14.72
"RHOADS INDUSTRIES, INC.",14.38
LEHIGH HEAVY FORGE CORP,14.32
"AGGREKO, LLC",14.28
GENERAL ATOMICS,13.54
AMMCON CORP.,13.19
"FAIRLEAD INTEGRATED, LLC",13.15
THE H R HILLERY COMPANY,12.72
"YOUNG ENGINEERING & MANUFACTURING, INC.",12.58
ELMA ELECTRONIC INCORPORATED,12.57
"NUFLO, INC.",11.95
INGERSOLL MACHINE TOOLS INC,11.92
"TRIDENT MARITIME SYSTEMS - CAC, LLC",11.89
"DEFENSE MARITIME SOLUTIONS, INC.",11.68
CLEVELAND-CLIFFS STEEL LLC,11.36
"KOIKE ARONSON, INC.",10.53
BHI ENERGY I POWER SERVICES LLC,10.41
BAKER SHEET METAL CORPORATION,10.24
"MERRILL TECHNOLOGIES GROUP, LLC",10.14
WARD LEONARD CT LLC,10.1
"D. W. CLARK, INC",10.06
"RTX BBN TECHNOLOGIES, INC.",9.88
"LOCKWOOD BROTHERS, INC.",9.73
EMERSON AUTOMATION SOLUTIONS FINAL CONTROL US LP,9.58
GENERAL TOOL COMPANY,9.44
"INDUSTRIAL TRANSFER AND STORAGE, INC",9.35
"MILWAUKEE VALVE CO, INC",9.2
GP STRATEGIES CORPORATION,9.09
SOPHEON PLC,9.01
"AEROTEK AFFILIATED SERVICES, INC.",8.88
EVONIK CORPORATION,8.85
LENAPE FORGED PRODUCTS CORP,8.82
"LESLIE CONTROLS, INC.",8.66
"GREENLAND ENTERPRISES, INC.",8.59
"CAMERON TECHNOLOGIES US, INC.",8.24
"JAL ENTERPRISES, INC.",8.2
"LANDSTAR INWAY, INC.",8.14
GUILL TOOL & ENGINEERING CO INC,8.11
"MILWAUKEE VALVE COMPANY, LLC",7.76
COMARK LLC,7.66
"COLONNA'S SHIP YARD, INCORPORATED",7.64
TITANIUM FABRICATION CORP,7.2
"MICRO PRECISION, LLC",7.17
"ZAPATA GROUP, INC",7.03
COGITIC CORPORATION,6.85
DK MACHINE INC,6.54
"DRS TRAINING & CONTROL SYSTEMS, LLC",6.46
"TM INDUSTRIES, LLC",6.21
SHERBURN ELECTRONICS INC.,6.17
CONREX STEEL LTD,6.15
"NAVUS AUTOMATION, INC.",6.05
TRIAS CONSTRUCTION LLC,5.91
DERBYSHIRE MACHINE & TOOL CO,5.85
ARTCRAFT FABRICATORS INC,5.82
"CURTISS-WRIGHT DS, INC.",5.8
HAMILTON SUNDSTRAND CORPORATION,5.78
BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,5.77
ITT CORPORATION,5.75
"POWER PARAGON, INC.",5.56
"RIGGINS COMPANY, L.C.",5.38
"APOLLO PROFESSIONAL SOLUTIONS, INC.",5.28
RIVERHEAD BUILDING SUPPLY CORP.,5.26
"AQUA-CHEM, INC.",5.26
"THE NAKOA COMPANIES, INC",5.18
"CLIMAX PORTABLE MACHINE TOOLS, INC",5.17
TAYLOR DEVICES INC,5.15
THE ENTWISTLE COMPANY LLC,5.12
"COMSACO, LLC",5.08
"PENNSYLVANIA MACHINE WORKS, LLC",5.06
"GLENAIR, INC.",5.02
"SYMETRICS INDUSTRIES, LLC",5.01
AMETEK SCP INC,4.97
"MELLINGER ENGINEERING GROUP, LLC",4.82
B N L INDUSTRIES INC,4.81
"TAD PGS, INC.",4.77
LANXESS SOLUTIONS US INC.,4.77
"WOLLASTON ALLOYS, INC.",4.72
ENGINEERED COIL COMPANY,4.72
UNIVERSAL MANUFACTURING CORP.,4.64
"ELECTRO MECHANICAL SPECIALISTS, LLC",4.6
"MELLINGER ENGINEERING, INCORPORATED",4.57
"PRC - DESOTO INTERNATIONAL, INC.",4.38
ROTRON INCORPORATED,4.37
PDS ENGINEERING & CONSTRUCTION INC,4.36
PARADIGM PRECISION HOLDINGS  LLC,4.35
"LJM PACKAGING CO., INC.",4.35
TRILOGIC SYSTEMS CORPORATION,4.34
FEDERAL METAL CO,4.31
TIOGA PIPE INC,4.31
"HTP MEDS, LLC",4.28
GLOBAL EXECUTIVE SOLUTIONS LLC,4.26
"PAROSCIENTIFIC, INC.",4.21
SHELBY SUPPLY CO LLC,4.13
WELLS PROFESSIONAL CONSULTING SERVICES LLC,4.11
RIESBECK CONTRACTING INC,4.08
RILEY POWER GROUP LLC,4.04
OLYMPIC PENINSULA PERSONNEL INC.,4.03
PUROLATOR FACET INC.,4.02
L3HARRIS MARITIME SERVICES INC,4.02
"MMC METROLOGY LAB, INC.",4.02
"MCKINSEY & COMPANY, INC. WASHINGTON D.C.",4.0
"MERRILL TECHNOLOGIES GROUP, INC.",3.88
"IN-PLACE MACHINING COMPANY, LLC",3.88
"COASTAL DESIGN, LLC",3.69
CARLTON NATIONAL RESOURCES INC,3.68
