program,piid,vessel_class,builder,work_type,first_award,last_award,n_vendors,repeat_award_share,shared_vendor_pct,shared_vendor_pct_family,dollars_total,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
virginia,N0002417C2100,Virginia,GDEB,piping,2016-10-26,2025-01-24,70,0.9947,0.5429,0.9429,645.571,0.0,0.0,0.0,0.0,0.0,118.693,111.797,77.911,94.691,35.219,32.417,86.26,70.858,17.726,0.0,0,0,0,0,0,95,112,343,266,142,165,174,131,79,0,1507
virginia,N0002417C2100,Virginia,GDEB,unbucketed,2016-01-28,2025-01-24,308,0.9231,0.4935,0.7078,244.344,0.0,0.0,0.0,0.0,0.94,30.02,37.447,51.825,22.737,11.41,28.237,29.007,21.117,11.605,0.0,0,0,0,0,2,42,155,260,214,140,167,219,181,76,0,1456
virginia,N0002417C2100,Virginia,GDEB,machining,2017-05-26,2025-01-17,25,0.9987,0.6,0.88,109.088,0.0,0.0,0.0,0.0,0.0,0.653,3.787,17.653,26.006,9.229,16.218,12.802,13.773,8.967,0.0,0,0,0,0,0,6,32,113,124,94,124,139,105,38,0,775
virginia,N0002417C2100,Virginia,GDEB,structural,2016-12-05,2025-01-24,43,0.9903,0.5116,0.9302,560.421,0.0,0.0,0.0,0.0,0.0,123.557,20.92,54.233,15.061,50.531,61.458,171.097,51.349,12.215,0.0,0,0,0,0,0,45,35,53,27,68,81,165,112,31,0,617
virginia,N0002417C2100,Virginia,GDEB,castings,2017-01-09,2025-01-08,8,1.0,0.875,1.0,167.436,0.0,0.0,0.0,0.0,0.0,15.599,80.876,20.67,6.936,1.217,5.425,24.168,6.164,6.382,0.0,0,0,0,0,0,40,133,77,36,16,36,71,32,22,0,463
virginia,N0002417C2100,Virginia,GDEB,electrical,2016-12-05,2025-01-22,31,0.9706,0.6129,0.9355,1406.503,0.0,0.0,0.0,0.0,0.0,616.86,57.585,12.52,17.114,199.621,60.112,433.401,7.531,1.758,0.0,0,0,0,0,0,10,18,27,31,23,29,63,27,10,0,238
virginia,N0002417C2100,Virginia,GDEB,coatings,2017-08-25,2025-01-21,12,1.0,0.75,1.0,323.061,0.0,0.0,0.0,0.0,0.0,0.183,30.414,124.947,1.571,6.459,9.027,117.805,31.793,0.862,0.0,0,0,0,0,0,2,8,8,6,12,11,54,26,7,0,134
virginia,N0002417C2100,Virginia,GDEB,hvac,2016-12-06,2023-10-19,9,0.9583,0.6667,1.0,87.219,0.0,0.0,0.0,0.0,0.0,8.573,45.786,1.318,0.509,6.624,3.74,20.311,0.358,0.0,0.0,0,0,0,0,0,12,4,10,2,5,3,11,1,0,0,48
virginia,N0002412C2115,Virginia,GDEB,unbucketed,2013-01-28,2018-11-16,213,0.9222,0.5915,0.6573,112.299,0.0,0.028,0.0,0.104,22.755,52.577,34.156,2.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,131,389,367,37,0,0,0,0,0,0,0,926
virginia,N0002412C2115,Virginia,GDEB,machining,2016-02-01,2018-11-21,10,0.9942,1.0,1.0,12.642,0.0,0.0,0.0,0.0,2.014,6.833,3.243,0.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,68,63,15,0,0,0,0,0,0,0,173
virginia,N0002412C2115,Virginia,GDEB,piping,2016-01-05,2018-11-07,23,0.952,0.913,0.9565,22.066,0.0,0.0,0.0,0.0,3.258,15.712,2.952,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,56,33,3,0,0,0,0,0,0,0,125
