program,role,piid,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total,n_records
virginia,co_prime,N0002417C2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.185,-0.025,0.0,0.348,25
virginia,foreign_fms,N0002416C2111,0.0,0.0,0.0,0.0,0.0,5.395,45.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.91,7
virginia,foreign_fms,N0002417C2100,0.0,0.0,0.0,0.0,0.0,1.072,-1.2,2.854,0.417,2.794,4.164,0.5,0.371,0.436,0.0,11.407,24
virginia,foreign_fms,N0002424C2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.481,0.597,0.0,3.078,3
virginia,foreign_fms,N0002412C2115,0.0,0.0,0.0,0.0,1.181,0.869,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.454,7
virginia,gfe_sib,N0002416C2111,0.0,0.0,0.0,0.0,0.0,0.64,0.608,0.03,1.192,0.0,0.0,0.0,0.0,0.0,0.0,2.47,10
virginia,gfe_sib,N0002417C2100,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.5,0.0,0.0,0.0,0.658,0.0,0.0,0.0,1.603,3
virginia,gfe_sib,N0002412C2115,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,1
virginia,holding,N0002417C2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425,1.455,0.0,1.458,0.753,0.0,0.0,0.0,7.092,23
virginia,mission_systems,N0002417C2100,0.0,0.0,0.0,0.0,0.0,0.196,210.828,176.864,4.806,27.217,15.165,13.274,30.185,0.775,0.0,479.308,189
virginia,mission_systems,N0002424C2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.514,0.0,13.514,10
virginia,mission_systems,N0002412C2115,0.0,0.0,0.0,0.0,0.188,10.293,0.919,0.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.341,33
virginia,mission_systems,N0002416C2111,0.0,0.0,0.0,0.0,0.222,0.898,0.917,0.423,0.252,0.0,0.0,0.0,0.0,0.0,0.0,2.712,23
virginia,prime,N0002417C2100,0.0,0.0,0.0,0.0,0.0,74.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,74.549,4
virginia,prime,N0002416C2111,0.0,0.0,0.0,0.0,1.995,0.0,0.0,0.0,0.0,15.574,6.0,0.0,0.0,0.0,0.0,23.569,4
virginia,service,N0002417C2100,0.0,0.0,0.0,0.0,0.0,0.384,3.454,7.88,2.211,3.114,6.598,27.522,5.877,0.812,0.0,57.852,175
virginia,service,N0002412C2115,0.0,0.0,0.0,0.0,0.862,4.183,11.969,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.153,118
virginia,service,N0002416C2111,0.0,0.0,0.0,0.0,0.188,0.911,11.009,1.47,0.03,0.0,0.0,0.0,0.0,0.0,0.0,13.609,71
virginia,service,N0002424C2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024,0.0,1.024,10
virginia,supplier,N0002417C2100,0.0,0.0,0.0,0.0,0.94,914.137,388.612,361.078,184.624,320.31,216.634,894.851,202.943,59.514,0.0,3543.643,5238
