program,family,piid,work_type,vendor_uei,vendor_name,naics4,capability,first_award,last_award,n_records,dollars,d_le_fy12,d_fy2013,d_fy2014,d_fy2015,d_fy2016,d_fy2017,d_fy2018,d_fy2019,d_fy2020,d_fy2021,d_fy2022,d_fy2023,d_fy2024,d_fy2025,d_fy2026,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026
virginia,Submarines,N0002417C2100,piping,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",3329,Other Metal Valve and Pipe Fitting Manufacturing,2018-05-14,2024-11-22,157,26.063,0.0,0.0,0.0,0.0,0.0,0.0,7.382,4.981,9.888,0.333,0.793,1.084,0.597,1.003,0.0,0,0,0,0,0,0,17,49,29,17,14,10,7,14,0
virginia,Submarines,N0002417C2100,piping,W3KUJLTCRLV1,AMMCON CORP.,3329,Other Metal Valve and Pipe Fitting Manufacturing,2017-02-17,2022-10-27,152,10.005,0.0,0.0,0.0,0.0,0.0,0.08,0.724,4.192,4.098,0.208,0.631,0.072,0.0,0.0,0.0,0,0,0,0,0,1,10,71,46,8,15,1,0,0,0
virginia,Submarines,N0002417C2100,piping,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,3329,Industrial Valve Manufacturing,2016-12-09,2022-02-16,105,160.624,0.0,0.0,0.0,0.0,0.0,94.618,38.712,11.574,7.397,7.774,0.548,0.0,0.0,0.0,0.0,0,0,0,0,0,40,11,29,6,14,5,0,0,0,0
virginia,Submarines,N0002417C2100,piping,CN4DJZSKM3Y3,"PENNSYLVANIA MACHINE WORKS, INC.",3329,Fabricated Pipe and Pipe Fitting Manufacturing,2018-07-19,2022-03-21,99,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.112,1.96,0.426,0.24,0.453,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,47,33,9,4,0,0,0,0
virginia,Submarines,N0002417C2100,piping,U45EH8WMNF55,"CIRCOR INTERNATIONAL, INC.",3329,Industrial Valve Manufacturing,2016-12-06,2022-02-18,79,81.265,0.0,0.0,0.0,0.0,0.0,14.768,12.154,13.121,36.812,3.274,1.136,0.0,0.0,0.0,0.0,0,0,0,0,0,11,13,24,16,10,5,0,0,0,0
virginia,Submarines,N0002417C2100,piping,N79NY6FRL2F3,CUSTOM ALLOY CORPORATION,3329,Fabricated Pipe and Pipe Fitting Manufacturing,2017-06-23,2024-12-17,67,17.208,0.0,0.0,0.0,0.0,0.0,1.542,0.424,1.496,5.249,7.112,1.281,0.099,0.0,0.005,0.0,0,0,0,0,0,7,6,11,20,8,12,2,0,1,0
virginia,Submarines,N0002417C2100,piping,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",,,2017-01-27,2024-11-06,65,19.462,0.0,0.0,0.0,0.0,0.0,1.208,2.571,9.28,6.225,-0.419,0.0,0.0,0.377,0.22,0.0,0,0,0,0,0,11,10,16,21,4,0,0,2,1,0
virginia,Submarines,N0002417C2100,piping,FMC8BKMNMKF2,"FLUID CONDITIONING PRODUCTS, INC.",3399,All Other Miscellaneous Manufacturing,2018-03-07,2025-01-24,47,10.526,0.0,0.0,0.0,0.0,0.0,0.0,0.116,1.953,1.973,0.357,0.154,0.654,4.709,0.61,0.0,0,0,0,0,0,0,3,9,14,3,4,4,7,3,0
virginia,Submarines,N0002417C2100,piping,MKRBJA6JXXS7,EMERSON ELECTRIC CO.,3329,Industrial Valve Manufacturing,2019-03-08,2022-02-17,44,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.586,-0.786,0.102,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6,3,15,20,0,0,0,0
virginia,Submarines,N0002417C2100,piping,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,3329,Other Metal Valve and Pipe Fitting Manufacturing,2017-08-01,2025-01-15,43,5.611,0.0,0.0,0.0,0.0,0.0,0.668,0.063,3.197,0.883,0.154,0.198,0.177,0.039,0.231,0.0,0,0,0,0,0,4,1,9,13,3,4,3,1,5,0
