program,family,piid,work_type,prior_wave_seq,wave_seq,vendor_retention,allocation_similarity,same_top_vendor,capability_match
virginia,Submarines,N0002412C2115,castings,1,2,1.0,0.9291,yes,yes
virginia,Submarines,N0002412C2115,castings,2,3,0.5,0.9868,yes,yes
virginia,Submarines,N0002412C2115,castings,3,4,1.0,0.1621,no,no
virginia,Submarines,N0002412C2115,castings,4,5,0.3333,0.1963,no,no
virginia,Submarines,N0002412C2115,coatings,1,2,1.0,1.0,yes,yes
virginia,Submarines,N0002412C2115,coatings,2,3,0.0,0.0,no,no
virginia,Submarines,N0002412C2115,coatings,3,4,0.5,0.9993,yes,yes
virginia,Submarines,N0002412C2115,coatings,4,5,1.0,0.9993,yes,yes
virginia,Submarines,N0002412C2115,electrical,1,2,0.0,0.0,no,no
virginia,Submarines,N0002412C2115,electrical,2,3,0.0714,0.1448,no,no
virginia,Submarines,N0002412C2115,hvac,1,2,1.0,1.0,yes,yes
virginia,Submarines,N0002412C2115,hvac,2,3,0.0,0.0,no,no
virginia,Submarines,N0002412C2115,hvac,3,4,0.5,0.4003,no,no
virginia,Submarines,N0002412C2115,hvac,4,5,0.5,0.2455,no,yes
virginia,Submarines,N0002412C2115,hvac,5,6,1.0,0.3618,no,no
virginia,Submarines,N0002412C2115,unbucketed,1,2,0.0,0.0,no,no
virginia,Submarines,N0002412C2115,unbucketed,2,3,0.0047,0.0637,no,no
virginia,Submarines,N0002416C2111,castings,1,2,0.0,,no,no
virginia,Submarines,N0002416C2111,coatings,1,2,1.0,0.9123,no,no
virginia,Submarines,N0002416C2111,coatings,2,3,0.5,0.9025,yes,yes
virginia,Submarines,N0002416C2111,coatings,3,4,1.0,0.2832,no,no
virginia,Submarines,N0002416C2111,coatings,4,5,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,coatings,5,6,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,coatings,6,7,0.0,0.0,no,yes
virginia,Submarines,N0002416C2111,electrical,1,2,0.8,0.0091,no,yes
virginia,Submarines,N0002416C2111,electrical,2,3,0.6667,0.0011,no,yes
virginia,Submarines,N0002416C2111,electrical,3,4,0.25,0.0005,no,no
virginia,Submarines,N0002416C2111,electrical,4,5,0.2,0.0,no,no
virginia,Submarines,N0002416C2111,electrical,5,6,0.5,0.2055,no,no
virginia,Submarines,N0002416C2111,electrical,6,7,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,electrical,7,8,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,hvac,1,2,1.0,1.0,yes,yes
virginia,Submarines,N0002416C2111,hvac,2,3,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,hvac,3,4,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,hvac,4,5,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,machining,1,2,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,machining,2,3,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,machining,3,4,1.0,0.9938,yes,yes
virginia,Submarines,N0002416C2111,machining,4,5,0.0,0.0,no,yes
virginia,Submarines,N0002416C2111,piping,1,2,0.5,0.3727,no,no
virginia,Submarines,N0002416C2111,piping,2,3,0.375,0.0673,no,no
virginia,Submarines,N0002416C2111,piping,3,4,1.0,0.18,no,yes
virginia,Submarines,N0002416C2111,piping,4,5,0.0,0.0,no,yes
virginia,Submarines,N0002416C2111,piping,5,6,0.0,,no,no
virginia,Submarines,N0002416C2111,piping,6,7,0.0,,no,no
virginia,Submarines,N0002416C2111,piping,7,8,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,piping,8,9,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,structural,1,2,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,structural,2,3,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,structural,3,4,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,structural,4,5,0.3333,0.0031,no,no
virginia,Submarines,N0002416C2111,unbucketed,1,2,1.0,0.0978,no,no
virginia,Submarines,N0002416C2111,unbucketed,2,3,0.0,0.0,no,no
virginia,Submarines,N0002416C2111,unbucketed,3,4,0.0,0.0,no,no
virginia,Submarines,N0002417C2100,castings,1,2,0.75,0.9983,yes,yes
virginia,Submarines,N0002417C2100,castings,2,3,0.5,0.2792,no,no
virginia,Submarines,N0002417C2100,castings,3,4,0.2857,0.2998,no,no
virginia,Submarines,N0002417C2100,coatings,1,2,1.0,1.0,yes,yes
virginia,Submarines,N0002417C2100,coatings,2,3,0.0,0.0,no,no
virginia,Submarines,N0002417C2100,coatings,3,4,0.5,0.0008,no,yes
virginia,Submarines,N0002417C2100,coatings,4,5,1.0,0.7618,yes,yes
virginia,Submarines,N0002417C2100,coatings,5,6,0.0909,0.4564,no,yes
virginia,Submarines,N0002417C2100,coatings,6,7,1.0,0.114,no,no
virginia,Submarines,N0002417C2100,electrical,1,2,0.0,0.0,no,no
virginia,Submarines,N0002417C2100,electrical,2,3,0.1,0.011,no,no
virginia,Submarines,N0002417C2100,hvac,1,2,1.0,0.7895,no,no
virginia,Submarines,N0002417C2100,hvac,2,3,0.5,0.9835,yes,yes
