program,cut,work_type,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total
ddg,GD-BIW,all,3.698,0.0,0.0,0.0,2.982,14.062,24.1,29.85,4.381,4.409,21.256,38.402,9.423,33.184,0.0,185.746
ddg,GD-BIW,machining,0.0,0.0,0.0,0.0,0.0,3.582,10.646,26.464,0.0,0.0,1.093,11.914,0.958,1.317,0.0,55.975
ddg,GD-BIW,unbucketed,3.698,0.0,0.0,0.0,2.175,8.576,12.742,2.16,4.252,0.617,3.779,3.919,0.918,0.783,0.0,43.618
ddg,GD-BIW,hvac,0.0,0.0,0.0,0.0,0.0,1.904,0.0,0.025,0.0,0.0,0.2,2.329,1.858,24.738,0.0,31.055
ddg,GD-BIW,structural,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.742,0.036,3.368,3.897,7.503,2.012,2.857,0.0,20.83
ddg,GD-BIW,electrical,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.347,0.05,0.318,4.92,6.353,3.486,3.489,0.0,19.016
ddg,GD-BIW,piping,0.0,0.0,0.0,0.0,0.807,0.0,0.0,0.112,0.044,0.105,6.919,5.487,0.191,0.0,0.0,13.665
ddg,GD-BIW,coatings,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.448,0.898,0.0,0.0,0.0,1.587
ddg,HII-Ingalls,all,0.0,160.4,163.998,90.575,93.993,109.035,36.024,415.729,167.236,144.758,118.302,248.96,483.209,619.871,57.571,2909.662
ddg,HII-Ingalls,machining,0.0,70.194,41.304,3.253,28.397,39.639,1.787,130.874,85.796,21.467,44.428,100.856,134.57,289.446,0.569,992.579
ddg,HII-Ingalls,hvac,0.0,19.897,23.438,21.037,11.891,23.033,7.324,102.456,10.586,27.634,14.567,62.362,51.254,86.747,0.549,462.775
ddg,HII-Ingalls,piping,0.0,22.801,27.868,15.652,13.503,11.407,3.651,64.489,21.605,19.22,15.293,34.284,86.851,81.85,3.552,422.026
ddg,HII-Ingalls,electrical,0.0,8.034,12.831,7.054,9.624,13.395,3.055,42.326,23.228,33.16,13.308,16.276,115.335,60.342,13.711,371.679
ddg,HII-Ingalls,structural,0.0,5.905,9.522,16.634,10.29,6.595,5.598,21.981,8.68,13.868,19.251,18.255,55.809,69.502,30.861,292.753
ddg,HII-Ingalls,unbucketed,0.0,32.451,46.138,25.433,18.103,14.612,14.143,22.538,11.466,15.605,5.974,11.921,9.29,14.054,6.864,248.59
ddg,HII-Ingalls,castings,0.0,0.795,2.324,0.8,0.075,0.0,0.027,31.022,5.833,11.968,3.025,0.13,29.607,16.418,0.308,102.334
ddg,HII-Ingalls,coatings,0.0,0.324,0.572,0.711,2.11,0.354,0.439,0.043,0.043,1.836,2.457,4.876,0.492,1.512,1.158,16.926
submarines,Virginia,all,0.0,0.028,0.0,0.104,37.736,1094.201,466.746,401.264,188.528,382.186,207.683,897.003,423.136,244.686,0.3,4343.602
submarines,Virginia,electrical,0.0,0.0,0.0,0.0,1.129,692.264,72.216,18.532,17.173,260.879,50.975,435.18,100.471,12.515,0.0,1661.335
submarines,Virginia,piping,0.0,0.0,0.0,0.0,3.255,136.528,118.354,82.828,95.623,35.355,32.417,86.342,135.01,74.931,0.0,800.644
submarines,Virginia,structural,0.0,0.0,0.0,0.0,6.479,146.335,26.696,55.058,15.061,50.531,61.458,171.097,78.93,66.596,0.3,678.541
submarines,Virginia,unbucketed,0.0,0.028,0.0,0.104,24.086,85.168,74.752,75.503,23.607,11.42,28.527,29.298,21.87,22.208,0.0,396.573
submarines,Virginia,coatings,0.0,0.0,0.0,0.0,0.029,0.904,39.774,127.838,3.053,6.931,9.028,117.805,31.793,15.315,0.0,352.471
submarines,Virginia,castings,0.0,0.0,0.0,0.0,0.554,16.447,81.289,20.981,6.936,1.217,5.321,24.168,11.878,33.223,0.0,202.013
submarines,Virginia,machining,0.0,0.0,0.0,0.0,2.014,7.716,7.264,18.911,26.538,9.229,16.218,12.802,28.502,17.721,0.0,146.916
submarines,Virginia,hvac,0.0,0.0,0.0,0.0,0.188,8.839,46.4,1.612,0.538,6.624,3.74,20.311,14.682,2.176,0.0,105.11
submarines,Columbia,all,0.0,0.0,0.0,0.0,51.115,82.783,224.883,372.046,94.286,112.276,214.404,1008.61,703.219,478.608,0.0,3342.228
submarines,Columbia,electrical,0.0,0.0,0.0,0.0,1.381,6.65,30.514,48.723,45.345,-83.347,17.699,501.622,314.403,304.611,0.0,1187.602
submarines,Columbia,piping,0.0,0.0,0.0,0.0,10.424,30.638,40.32,120.422,9.774,69.92,86.966,171.543,181.827,57.774,0.0,779.606
submarines,Columbia,structural,0.0,0.0,0.0,0.0,10.996,9.514,11.354,117.293,1.656,38.509,43.073,224.919,105.623,42.718,0.0,605.653
submarines,Columbia,unbucketed,0.0,0.0,0.0,0.0,18.788,31.378,47.499,53.32,8.17,57.614,9.889,14.026,17.124,11.93,0.0,269.738
submarines,Columbia,castings,0.0,0.0,0.0,0.0,0.892,1.136,70.824,5.022,21.328,-5.358,27.951,37.43,25.935,34.942,0.0,220.102
submarines,Columbia,machining,0.0,0.0,0.0,0.0,0.079,1.557,0.965,10.741,5.861,25.29,9.603,23.654,26.773,3.642,0.0,108.165
submarines,Columbia,hvac,0.0,0.0,0.0,0.0,3.928,0.565,1.697,15.441,0.226,2.658,13.868,20.202,12.636,16.303,0.0,87.524
submarines,Columbia,coatings,0.0,0.0,0.0,0.0,4.627,1.345,21.71,1.084,1.926,6.99,5.354,15.215,18.897,6.688,0.0,83.837
