program,work_type,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total,n_le_fy12,n_fy2013,n_fy2014,n_fy2015,n_fy2016,n_fy2017,n_fy2018,n_fy2019,n_fy2020,n_fy2021,n_fy2022,n_fy2023,n_fy2024,n_fy2025,n_fy2026,n_total
ddg,machining,0.0,70.194,41.304,3.253,28.397,43.221,12.433,157.338,85.796,21.467,45.52,112.77,135.528,290.764,0.569,1048.554,0,11,18,16,23,34,37,47,15,27,22,36,31,38,5,360
ddg,hvac,0.0,19.897,23.438,21.037,11.891,24.937,7.324,102.481,10.586,27.634,14.767,64.691,53.112,111.485,0.549,493.83,0,17,21,17,17,29,12,57,27,23,19,43,73,34,4,393
ddg,piping,0.0,22.801,27.868,15.652,14.31,11.407,3.651,64.601,21.649,19.326,22.212,39.771,87.043,81.85,3.552,435.691,0,70,91,65,86,63,27,181,77,86,107,200,182,194,26,1455
ddg,electrical,0.0,8.034,12.831,7.054,9.624,13.395,3.109,42.673,23.278,33.478,18.228,22.629,118.821,63.83,13.711,390.695,0,37,32,22,41,22,18,89,62,82,53,85,121,93,29,786
ddg,structural,0.0,5.905,9.522,16.634,10.29,6.595,6.014,22.723,8.716,17.236,23.148,25.758,57.822,72.359,30.861,313.583,0,17,28,60,52,42,44,82,51,57,41,115,163,117,34,903
ddg,unbucketed,3.698,32.451,46.138,25.433,20.277,23.188,26.885,24.698,15.717,16.222,9.752,15.84,10.208,14.837,6.864,292.209,1,104,125,137,171,164,121,128,89,109,105,149,79,124,49,1655
ddg,castings,0.0,0.795,2.324,0.8,0.075,0.0,0.027,31.022,5.833,11.968,3.025,0.13,29.607,16.418,0.308,102.334,0,3,9,3,2,0,1,16,6,5,8,1,8,16,2,80
ddg,coatings,0.0,0.324,0.572,0.711,2.11,0.354,0.68,0.043,0.043,1.836,2.906,5.774,0.492,1.512,1.158,18.513,0,3,5,6,13,6,6,1,1,12,11,25,3,10,7,109
submarines,electrical,0.0,0.0,0.0,0.0,2.51,698.915,102.73,67.255,62.518,177.532,68.674,936.803,414.874,317.126,0.0,2848.937,0,0,0,0,10,88,125,95,48,68,89,126,90,41,0,780
submarines,piping,0.0,0.0,0.0,0.0,13.679,167.166,158.674,203.25,105.397,105.275,119.383,257.885,316.837,132.705,0.0,1580.25,0,0,0,0,75,303,329,634,315,226,440,467,493,275,0,3557
submarines,structural,0.0,0.0,0.0,0.0,17.475,155.848,38.05,172.35,16.717,89.04,104.531,396.015,184.553,109.314,0.3,1284.195,0,0,0,0,23,152,108,108,33,104,156,362,264,94,1,1405
submarines,unbucketed,0.0,0.028,0.0,0.104,42.874,116.545,122.252,128.823,31.777,69.034,38.416,43.324,38.994,34.138,0.0,666.311,0,1,0,1,221,644,818,612,281,320,342,464,386,208,0,4298
submarines,coatings,0.0,0.0,0.0,0.0,4.656,2.249,61.484,128.923,4.979,13.922,14.383,133.019,50.691,22.003,0.0,436.308,0,0,0,0,15,20,58,41,19,26,36,93,55,41,0,404
submarines,castings,0.0,0.0,0.0,0.0,1.446,17.583,152.113,26.003,28.263,-4.141,33.272,61.598,37.813,68.165,0.0,422.115,0,0,0,0,10,64,266,128,50,37,88,150,121,98,0,1012
submarines,machining,0.0,0.0,0.0,0.0,2.094,9.272,8.229,29.652,32.399,34.519,25.821,36.456,55.275,21.363,0.0,255.081,0,0,0,0,29,85,115,152,149,109,169,231,230,107,0,1376
submarines,hvac,0.0,0.0,0.0,0.0,4.116,9.405,48.097,17.053,0.764,9.282,17.607,40.513,27.318,18.48,0.0,192.634,0,0,0,0,9,21,19,23,4,30,17,33,15,3,0,174
