Hull Designator,Vessel Name,Category,Class/Length
WAGB-20,Healy,Icebreaker (WAGB),420' Healy-class
WAGB-10,Polar Star,Icebreaker (WAGB),399' Polar-class
WMSL-750,Bertholf,National Security Cutter (WMSL),418' Legend-class
WMSL-751,Waesche,National Security Cutter (WMSL),418' Legend-class
WMSL-752,Stratton,National Security Cutter (WMSL),418' Legend-class
WMSL-753,Hamilton,National Security Cutter (WMSL),418' Legend-class
WMSL-754,James,National Security Cutter (WMSL),418' Legend-class
WMSL-755,Munro,National Security Cutter (WMSL),418' Legend-class
WMSL-756,Kimball,National Security Cutter (WMSL),418' Legend-class
WMSL-757,Midgett,National Security Cutter (WMSL),418' Legend-class
WMSL-758,Stone,National Security Cutter (WMSL),418' Legend-class
WMSL-759,Calhoun,National Security Cutter (WMSL),418' Legend-class
WMSL-760,Friedman,National Security Cutter (WMSL),418' Legend-class
WMSM-915,Argus,Offshore Patrol Cutter (WMSM),360' Heritage-class
WMSM-916,Chase,Offshore Patrol Cutter (WMSM),360' Heritage-class
WMSM-917,Ingham,Offshore Patrol Cutter (WMSM),360' Heritage-class
WMSM-918,Rush,Offshore Patrol Cutter (WMSM),360' Heritage-class
WMSM-919,Pickering,Offshore Patrol Cutter (WMSM),360' Heritage-class
WIX-327,Eagle,Training Barque (WIX),295'
WMEC-39,Alex Haley,Medium Endurance Cutter (WMEC),282'
WMEC-901,Bear,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-902,Tampa,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-903,Harriet Lane,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-904,Northland,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-905,Spencer,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-906,Seneca,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-907,Escanaba,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-908,Tahoma,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-909,Campbell,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-910,Thetis,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-911,Forward,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-912,Legare,Medium Endurance Cutter (WMEC),270' Famous-class
WMEC-913,Mohawk,Medium Endurance Cutter (WMEC),270' Famous-class
WLBB-30,Mackinaw,Seagoing Buoy Tender (WLBB),240'
WLB-201,Juniper,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-202,Willow,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-203,Kukui,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-204,Elm,Seagoing Buoy Tender (WLB),225' Juniper-class
WLB-205,Walnut,Seagoing Buoy Tender (WLB),225' Juniper-class
