Service,PIID,PSC,PSC Description,Recipient,Ultimate Parent,Corporate Parent,FY2025 Obligation,Total Obligation,FY2025 Actions,Mod Count,Hull Program,Vessel Class,Vessel Category,Vessel Type,Matched Ship Name,Hull Number,Availability Type,Availability Group,RMC,Contractor Tier,IDV Scope Type,IDV Scope Group,NAICS,Contracting Office,POP State,Start Date,End Date
Navy,N0002425C4411,J999,NON-NUCLEAR SHIP REPAIR (WEST),BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,BAE Systems,247576288.65,249802921.14,32,32,LPD,LPD-17 San Antonio,Amphibious Warfare Ships,Amphibious Warfare Ships,USS GREEN BAY,LPD-20,DSRA,Drydocked Availability,SWRMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Amphibious Ships,Full-Ship Availability,336611,SOUTHWEST REGIONAL MAINT CENTER,CA,2024-11-22,2026-12-01
Navy,N0002425C4404,J999,NON-NUCLEAR SHIP REPAIR (WEST),NATIONAL STEEL AND SHIPBUILDING COMPANY,GENERAL DYNAMICS CORPORATION,General Dynamics,200194596.54,198476426.56,6,6,LHA,LHA-6 America,Amphibious Warfare Ships,Amphibious Warfare Ships,USS AMERICA,LHA-6,DSRA,Drydocked Availability,SWRMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Amphibious Ships,Full-Ship Availability,336611,SOUTHWEST REGIONAL MAINT CENTER,CA,2025-05-20,2027-09-17
Navy,N0002425C4415,J999,NON-NUCLEAR SHIP REPAIR (WEST),BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,BAE Systems,173441692.6,173349921.4,6,6,,,Amphibious Warfare Ships,,,,DSRA,Drydocked Availability,SWRMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Amphibious Ships,Full-Ship Availability,336611,SOUTHWEST REGIONAL MAINT CENTER,CA,2025-06-12,2027-01-20
Navy,N4523A25F0302,J999,NON-NUCLEAR SHIP REPAIR (WEST),METRO MACHINE CORP.,METRO MACHINE CORP,Huntington Ingalls Industries,166346069,169175616,17,17,CVN,CVN-68/78 Carrier,Aircraft Carriers,Aircraft Carriers,,CVN-76,DPIA,Drydocked Availability,NW RMC / Puget Sound,Tier 1 - CONUS Complex Repair Prime,CVN Private Sector Maintenance,Full-Ship Availability,336611,PUGET SOUND NAVAL SHIPYARD IMF,WA,2025-01-17,2026-08-30
Navy,N0002425C4402,J999,NON-NUCLEAR SHIP REPAIR (WEST),VIGOR MARINE LLC,VIGOR MARINE LLC,VIGOR MARINE LLC,159725168,267634415,15,15,DDG,DDG-51 Arleigh Burke,Surface Combatants,Surface Combatants,USS KIDD,DDG-100,DMP,Drydocked Availability,NW RMC / Puget Sound,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Surface Combatants,Full-Ship Availability,336611,PUGET SOUND NAVAL SHIPYARD IMF,WA,2024-10-25,2026-08-03
Navy,N0002425C4400,J998,NON-NUCLEAR SHIP REPAIR (EAST),METRO MACHINE CORP.,GENERAL DYNAMICS CORPORATION,General Dynamics,128273904,128219409,7,7,,,Amphibious Warfare Ships,,,,DSRA,Drydocked Availability,MARMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Amphibious Ships,Full-Ship Availability,336611,MID ATLANTIC REG MAINT CTR,VA,2025-04-18,2027-02-03
Navy,N0002425C4412,J998,NON-NUCLEAR SHIP REPAIR (EAST),BAE SYSTEMS NORFOLK SHIP REPAIR INC.,BAE SYSTEMS NORFOLK SHIP REPAIR INC.,BAE Systems,122556869.82,123103354.14,23,23,DDG,DDG-51 Arleigh Burke,Surface Combatants,Surface Combatants,USS LABOON,DDG-58,DSRA,Drydocked Availability,MARMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Surface Combatants,Full-Ship Availability,336611,MID ATLANTIC REG MAINT CTR,VA,2024-10-18,2026-05-10
Navy,N0002424C4423,J999,NON-NUCLEAR SHIP REPAIR (WEST),BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,BAE Systems,121200156.83,215024896.22,35,35,DDG,DDG-51 Arleigh Burke,Surface Combatants,Surface Combatants,USS HALSEY,DDG-97,DMP,Drydocked Availability,SWRMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Surface Combatants,Full-Ship Availability,336611,SOUTHWEST REGIONAL MAINT CENTER,CA,2024-06-08,2026-04-01
Navy,N0002425C4427,J998,NON-NUCLEAR SHIP REPAIR (EAST),METRO MACHINE CORP.,GENERAL DYNAMICS CORPORATION,General Dynamics,119241970.11,123991556.11,29,29,DDG,DDG-51 Arleigh Burke,Surface Combatants,Surface Combatants,USS PORTER,DDG-78,EDSRA,Drydocked Availability,MARMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Surface Combatants,Full-Ship Availability,336611,MID ATLANTIC REG MAINT CTR,VA,2025-05-05,2026-10-02
Navy,N0002425C4421,J998,NON-NUCLEAR SHIP REPAIR (EAST),BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,BAE Systems,111610154.91,111346295.26,10,10,DDG,DDG-51 Arleigh Burke,Surface Combatants,Surface Combatants,,DDG-68,DSRA,Drydocked Availability,SERMC,Tier 1 - CONUS Complex Repair Prime,CNO Avails - Surface Combatants,Full-Ship Availability,336611,SOUTHEAST REGIONAL MAINT CENTER,FL,2025-05-07,2027-03-16
